project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Alpha,TSK-001,Task 001,2025-04-02,,2025-04-04,2025-05-28,54,False,0,0.0,,Started,False,False,True,H,2,Risk Level: H (+2 points),Update_004
Alpha,TSK-002,Task 002,2025-09-08,2025-11-01,2025-09-09,2025-11-03,55,False,0,0.0,100%,Complete,False,True,False,Medium,0,,Update_004
Alpha,TSK-003,Task 003,2025-07-02,2025-08-04,2025-07-03,2025-07-29,26,True,6,23.1,100%,Complete,False,False,False,,1,Delayed by 6 days (+1 points),Update_004
Alpha,TSK-004,Task 004,2025-10-23,2025-12-05,2025-10-20,2025-11-15,26,False,0,0.0,100%,Complete,False,True,False,H,0,,Update_004
Alpha,TSK-005,Task 005,2024-11-29,2025-03-10,2024-11-26,2025-01-21,56,True,48,85.7,Complete,Complete,False,True,False,H,9,Delayed by 48 days (+5 points); Risk Level: H (+2 points); On Critical Path (+2 points),Update_004
Alpha,TSK-006,Task 006,2025-04-12,2025-05-13,2025-04-09,2025-05-06,27,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_004
Alpha,TSK-007,Task 007,2024-11-12,2025-01-17,2024-11-13,2024-12-13,30,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_004
Alpha,TSK-008,Task 008,2025-10-03,2025-12-30,2025-10-02,2025-11-26,55,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_004
Alpha,TSK-009,Task 009,2025-03-13,2025-05-14,2025-03-14,2025-04-03,20,False,0,0.0,100%,Complete,True,False,False,High,0,,Update_004
Alpha,TSK-010,Task 010,2025-01-05,,2025-01-03,2025-02-02,30,False,0,0.0,59%,Started,False,False,True,,0,,Update_004
Alpha,TSK-011,Task 011,2025-06-12,,2025-06-13,2025-08-08,56,False,0,0.0,,IP,False,False,True,Low,0,,Update_004
Alpha,TSK-012,Task 012,2025-01-13,,2025-01-16,2025-02-01,16,False,0,0.0,,Started,True,True,True,Low,3,On Critical Path (+2 points); Milestone Task (+1 point),Update_004
Alpha,TSK-013,Task 013,2025-03-25,2025-04-28,2025-03-22,2025-04-09,18,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_004
Alpha,TSK-014,Task 014,2025-09-04,,2025-09-02,2025-10-07,35,False,0,0.0,28%,In Progress,True,True,True,H,5,Risk Level: H (+2 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_004
Alpha,TSK-015,Task 015,2024-12-13,,2024-12-11,2025-01-07,27,False,0,0.0,,IP,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_004
Alpha,TSK-016,Task 016,2024-12-16,2025-04-11,2024-12-13,2025-01-21,39,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_004
Alpha,TSK-017,Task 017,2025-05-04,,2025-05-02,2025-05-19,17,False,0,0.0,0.33824102057173633,Started,False,False,True,H,2,Risk Level: H (+2 points),Update_004
Alpha,TSK-018,Task 018,2025-08-12,2025-10-14,2025-08-11,2025-10-08,58,False,0,0.0,100%,Complete,False,True,False,L,0,,Update_004
Alpha,TSK-019,Task 019,2024-12-30,2025-02-12,2025-01-02,2025-02-11,40,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_004
Alpha,TSK-020,Task 020,2025-10-04,,2025-10-05,2025-11-12,38,False,0,0.0,0.6616942695002999,IP,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_004
Alpha,TSK-021,Task 021,2025-09-19,,2025-09-20,2025-10-23,33,False,0,0.0,82%,Started,False,True,True,,2,On Critical Path (+2 points),Update_004
Alpha,TSK-022,Task 022,2025-02-18,2025-05-12,2025-02-18,2025-04-18,59,False,0,0.0,100%,Complete,True,False,False,Medium,0,,Update_004
Alpha,TSK-023,Task 023,2025-09-14,2025-10-18,2025-09-15,2025-10-14,29,False,0,0.0,100%,Complete,False,False,False,H,0,,Update_004
Alpha,TSK-024,Task 024,2024-12-23,2025-02-15,2024-12-22,2025-01-25,34,False,0,0.0,100%,Complete,False,False,False,,0,,Update_004
Alpha,TSK-025,Task 025,2025-05-02,2025-07-20,2025-04-29,2025-06-15,47,False,0,0.0,100%,Complete,True,False,False,Low,0,,Update_004
Alpha,TSK-026,Task 026,2025-08-15,2025-10-16,2025-08-16,2025-09-06,21,True,39,185.7,100%,Complete,True,True,False,High,9,Delayed by 39 days (+4 points); Risk Level: High (+2 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_004
Alpha,TSK-027,Task 027,2025-05-20,2025-07-23,2025-05-17,2025-06-09,23,False,0,0.0,100%,Complete,False,False,False,H,0,,Update_004
Alpha,TSK-028,Task 028,2025-09-22,2025-10-31,2025-09-19,2025-10-01,12,True,29,241.7,Complete,Complete,False,False,False,Medium,4,Delayed by 29 days (+3 points); Risk Level: Medium (+1 points),Update_004
Alpha,TSK-029,Task 029,2024-12-26,2025-01-29,2024-12-25,2025-01-04,10,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_004
Alpha,TSK-030,Task 030,2025-10-20,2026-01-10,2025-10-21,2025-12-07,47,False,0,0.0,100%,Complete,True,False,False,L,0,,Update_004
Alpha,TSK-031,Task 031,2025-09-15,2025-11-07,2025-09-13,2025-09-26,13,False,0,0.0,100%,Complete,True,True,False,High,0,,Update_004
Alpha,TSK-032,Task 032,2025-06-25,2025-07-19,2025-06-25,2025-07-23,28,False,-4,-14.3,100%,Complete,False,False,False,,0,,Update_004
Alpha,TSK-033,Task 033,2025-06-25,2025-07-16,2025-06-23,2025-07-12,19,True,4,21.1,100%,Complete,False,True,False,Low,3,Delayed by 4 days (+1 points); On Critical Path (+2 points),Update_004
Alpha,TSK-034,Task 034,2025-10-06,,2025-10-09,2025-12-07,59,False,0,0.0,0.83,Started,False,False,True,Low,0,,Update_004
Alpha,TSK-035,Task 035,2024-12-30,2025-02-13,2024-12-27,2025-01-20,24,False,0,0.0,100%,Complete,False,False,False,Low,0,,Update_004
Alpha,TSK-036,Task 036,2025-10-22,2026-01-10,2025-10-23,2025-12-21,59,False,0,0.0,100%,Complete,True,False,False,Low,0,,Update_004
Alpha,TSK-037,Task 037,2025-10-23,,2025-10-26,2025-12-11,46,False,0,0.0,24%,In Progress,False,False,True,L,0,,Update_004
Alpha,TSK-038,Task 038,2025-10-05,2025-10-16,2025-10-06,2025-10-27,21,False,0,0.0,100%,Complete,False,True,False,Low,0,,Update_004
