project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Delta,TSK-001,Task 001,2024-12-20,,2024-12-22,2025-02-20,60,False,0,0.0,9%,IP,False,False,True,,0,,Update_002
Delta,TSK-002,Task 002,2025-03-23,2025-05-16,2025-03-22,2025-04-12,21,True,34,161.9,100%,Complete,True,False,False,High,7,Delayed by 34 days (+4 points); Risk Level: High (+2 points); Milestone Task (+1 point),Update_002
Delta,TSK-003,Task 003,2025-04-13,,2025-04-10,2025-04-20,10,False,0,0.0,99%,Started,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_002
Delta,TSK-004,Task 004,2025-03-22,,2025-03-22,2025-04-21,30,False,0,0.0,7%,Started,False,False,True,H,2,Risk Level: H (+2 points),Update_002
Delta,TSK-005,Task 005,2025-03-09,,2025-03-12,2025-04-08,27,False,0,0.0,11%,Started,False,False,True,Low,0,,Update_002
Delta,TSK-006,Task 006,2024-12-30,,2024-12-30,2025-01-28,29,False,0,0.0,10%,Started,False,False,True,High,2,Risk Level: High (+2 points),Update_002
Delta,TSK-007,Task 007,2024-11-19,2025-01-19,2024-11-20,2024-12-03,13,True,47,361.5,100%,Complete,True,True,False,,8,Delayed by 47 days (+5 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_002
Delta,TSK-008,Task 008,2025-05-01,2025-07-16,2025-05-02,2025-06-22,51,True,24,47.1,100%,Complete,False,True,False,L,5,Delayed by 24 days (+3 points); On Critical Path (+2 points),Update_002
Delta,TSK-009,Task 009,2025-03-14,,2025-03-13,2025-03-27,14,False,0,0.0,73%,IP,False,True,True,,2,On Critical Path (+2 points),Update_002
Delta,TSK-010,Task 010,2025-10-17,2025-12-19,2025-10-18,2025-11-24,37,False,0,0.0,100%,Complete,True,False,False,H,0,,Update_002
