project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Gamma,TSK-001,Task 001,2025-01-12,,2025-01-10,2025-02-23,44,False,0,0.0,,In Progress,False,True,True,L,2,On Critical Path (+2 points),Update_001
Gamma,TSK-002,Task 002,2025-04-28,,2025-04-28,2025-06-11,44,False,0,0.0,74%,Complete,False,False,False,L,0,,Update_001
Gamma,TSK-003,Task 003,2025-01-19,,2025-01-21,2025-02-22,32,False,0,0.0,,IP,False,True,True,,2,On Critical Path (+2 points),Update_001
Gamma,TSK-004,Task 004,2025-03-06,,2025-03-03,2025-04-04,32,False,0,0.0,0.2430191434158533,In Progress,False,True,True,L,2,On Critical Path (+2 points),Update_001
Gamma,TSK-005,Task 005,2025-08-27,,2025-08-25,2025-10-10,46,False,0,0.0,1%,Not Started,False,False,True,H,2,Risk Level: H (+2 points),Update_001
Gamma,TSK-006,Task 006,2024-11-09,,2024-11-12,2024-12-20,38,False,0,0.0,87,Not Started,False,False,True,L,0,,Update_001
Gamma,TSK-007,Task 007,2025-09-22,,2025-09-23,2025-10-16,23,False,0,0.0,60%,In Progress,False,True,True,H,4,Risk Level: H (+2 points); On Critical Path (+2 points),Update_001
Gamma,TSK-008,Task 008,2025-02-28,,2025-03-01,2025-03-15,14,False,0,0.0,,Complete,True,False,False,Low,1,Milestone Task (+1 point),Update_001
Gamma,TSK-009,Task 009,2025-05-30,,2025-05-29,2025-06-17,19,False,0,0.0,64,,False,True,True,H,4,Risk Level: H (+2 points); On Critical Path (+2 points),Update_001
Gamma,TSK-010,Task 010,2025-04-23,,2025-04-26,2025-06-13,48,False,0,0.0,58%,IP,False,False,True,L,0,,Update_001
Gamma,TSK-011,Task 011,2025-06-04,,2025-06-02,2025-07-20,48,False,0,0.0,21%,,True,False,True,Medium,2,Risk Level: Medium (+1 points); Milestone Task (+1 point),Update_001
Gamma,TSK-012,Task 012,2025-07-28,,2025-07-25,2025-08-15,21,False,0,0.0,0.1923487300841199,In Progress,False,False,True,High,2,Risk Level: High (+2 points),Update_001
Gamma,TSK-013,Task 013,2025-07-24,,2025-07-25,2025-08-28,34,False,0,0.0,0.8914709224661951,IP,False,False,True,H,2,Risk Level: H (+2 points),Update_001
Gamma,TSK-014,Task 014,2025-06-15,,2025-06-12,2025-07-10,28,False,0,0.0,23%,In Progress,False,False,True,L,0,,Update_001
Gamma,TSK-015,Task 015,2025-03-10,,2025-03-10,2025-04-30,51,False,0,0.0,,Not Started,False,False,True,Low,0,,Update_001
Gamma,TSK-016,Task 016,2025-01-05,,2025-01-03,2025-01-17,14,False,0,0.0,48%,Not Started,False,True,True,,2,On Critical Path (+2 points),Update_001
Gamma,TSK-017,Task 017,2025-04-12,,2025-04-15,2025-05-05,20,False,0,0.0,64%,Not Started,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_001
Gamma,TSK-018,Task 018,2025-07-12,,2025-07-13,2025-07-26,13,False,0,0.0,,,False,False,True,High,2,Risk Level: High (+2 points),Update_001
Gamma,TSK-019,Task 019,2025-07-10,,2025-07-13,2025-08-13,31,False,0,0.0,94%,In Progress,False,False,True,H,2,Risk Level: H (+2 points),Update_001
Gamma,TSK-020,Task 020,2025-09-10,,2025-09-12,2025-10-14,32,False,0,0.0,34%,Complete,False,False,False,High,2,Risk Level: High (+2 points),Update_001
Gamma,TSK-021,Task 021,2024-12-16,2025-02-10,2024-12-18,2025-01-16,29,True,25,86.2,100%,Complete,False,False,False,High,5,Delayed by 25 days (+3 points); Risk Level: High (+2 points),Update_001
Gamma,TSK-022,Task 022,2025-01-15,2025-03-18,2025-01-13,2025-03-13,59,True,5,8.5,100%,Complete,False,False,False,High,3,Delayed by 5 days (+1 points); Risk Level: High (+2 points),Update_001
Gamma,TSK-023,Task 023,2025-08-19,,2025-08-17,2025-10-14,58,False,0,0.0,,Complete,False,True,False,,2,On Critical Path (+2 points),Update_001
Gamma,TSK-024,Task 024,2025-07-16,,2025-07-19,2025-08-09,21,False,0,0.0,77%,,False,True,True,L,2,On Critical Path (+2 points),Update_001
Gamma,TSK-025,Task 025,2025-05-04,,2025-05-05,2025-05-16,11,False,0,0.0,Complete,Complete,False,False,False,,0,,Update_001
Gamma,TSK-026,Task 026,2025-08-10,,2025-08-11,2025-08-21,10,False,0,0.0,92%,,False,True,True,High,4,Risk Level: High (+2 points); On Critical Path (+2 points),Update_001
Gamma,TSK-027,Task 027,2025-08-10,,2025-08-07,2025-08-22,15,False,0,0.0,,Complete,False,True,False,High,4,Risk Level: High (+2 points); On Critical Path (+2 points),Update_001
Gamma,TSK-028,Task 028,2024-11-22,,2024-11-24,2025-01-05,42,False,0,0.0,0%,In Progress,False,False,True,,0,,Update_001
Gamma,TSK-029,Task 029,2024-12-11,,2024-12-13,2024-12-31,18,False,0,0.0,0,In Progress,True,True,True,Low,3,On Critical Path (+2 points); Milestone Task (+1 point),Update_001
Gamma,TSK-030,Task 030,2025-01-03,,2025-01-01,2025-02-02,32,False,0,0.0,79%,Complete,True,False,False,Medium,2,Risk Level: Medium (+1 points); Milestone Task (+1 point),Update_001
