project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Slippages,TSK-001,Task 001,2025-05-21,2025-06-20,2025-05-22,2025-06-05,14,False,0,0.0,100%,Complete,False,True,False,H,0,,Update_004
Slippages,TSK-002,Task 002,2025-03-02,2025-03-10,2025-03-04,2025-04-03,30,False,-25,-83.3,Complete,Complete,True,False,False,,1,Milestone Task (+1 point),Update_004
Slippages,TSK-003,Task 003,2025-06-13,2025-09-09,2025-06-12,2025-07-23,41,False,0,0.0,100%,Complete,False,False,False,,0,,Update_004
Slippages,TSK-004,Task 004,2025-04-27,2025-08-20,2025-04-28,2025-06-07,40,True,73,182.5,Complete,Complete,False,True,False,High,9,Delayed by 73 days (+5 points); Risk Level: High (+2 points); On Critical Path (+2 points),Update_004
Slippages,TSK-005,Task 005,2025-08-31,2025-12-12,2025-09-02,2025-10-17,45,False,0,0.0,100%,Complete,True,False,False,High,0,,Update_004
Slippages,TSK-006,Task 006,2025-07-13,,2025-07-16,2025-08-10,25,False,0,0.0,13%,In Progress,True,False,True,Medium,2,Risk Level: Medium (+1 points); Milestone Task (+1 point),Update_004
Slippages,TSK-007,Task 007,2025-03-14,2025-05-04,2025-03-17,2025-04-22,36,False,0,0.0,100%,Complete,False,True,False,High,0,,Update_004
Slippages,TSK-008,Task 008,2024-12-10,2025-02-05,2024-12-10,2025-01-14,35,False,0,0.0,100%,Complete,False,True,False,Medium,0,,Update_004
Slippages,TSK-009,Task 009,2025-10-03,2025-12-21,2025-10-02,2025-11-09,38,True,41,107.9,Complete,Complete,False,False,False,Medium,6,Delayed by 41 days (+5 points); Risk Level: Medium (+1 points),Update_004
Slippages,TSK-010,Task 010,2025-05-02,,2025-05-01,2025-06-28,58,False,0,0.0,19%,IP,False,False,True,Low,0,,Update_004
Slippages,TSK-011,Task 011,2025-08-18,2025-11-14,2025-08-21,2025-10-03,43,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_004
Slippages,TSK-012,Task 012,2025-03-16,2025-05-03,2025-03-16,2025-04-01,16,True,32,200.0,100%,Complete,False,True,False,L,6,Delayed by 32 days (+4 points); On Critical Path (+2 points),Update_004
Slippages,TSK-013,Task 013,2025-10-14,2026-01-19,2025-10-13,2025-12-07,55,False,0,0.0,100%,Complete,True,True,False,L,0,,Update_004
Slippages,TSK-014,Task 014,2025-03-01,,2025-03-01,2025-03-26,25,False,0,0.0,35%,In Progress,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_004
Slippages,TSK-015,Task 015,2025-07-11,2025-09-06,2025-07-08,2025-09-02,56,True,4,7.1,Complete,Complete,False,True,False,High,5,Delayed by 4 days (+1 points); Risk Level: High (+2 points); On Critical Path (+2 points),Update_004
Slippages,TSK-016,Task 016,2025-04-16,,2025-04-16,2025-05-25,39,False,0,0.0,20%,Started,False,False,True,High,2,Risk Level: High (+2 points),Update_004
