task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2025-10-02,,2025-09-30,2025-10-31,,4 wks,IP,TRUE,TRUE,,0.62,Update_001
TSK-002,Task 002,2025-09-23,,2025-09-26,2025-10-23,27,3 wks,In Progress,1,True,Medium,0.47,Update_001
TSK-003,Task 003,2024-12-19,,2024-12-18,2025-02-01,0.845373378890275,1 wks,Complete,0,TRUE,Medium,0.93,Update_001
TSK-004,Task 004,2025-08-28,,2025-08-27,2025-09-10,,5 days,,No,0,Medium,0.85,Update_001
TSK-005,Task 005,2025-05-15,2025-06-20,2025-05-16,2025-06-15,1.0,39,Complete,False,No,Low,,Update_001
TSK-006,Task 006,2024-12-15,,2024-12-14,2024-12-26,,2 days,IP,FALSE,,Medium,0.46,Update_001
TSK-007,Task 007,2025-10-13,,2025-10-10,2025-11-16,Complete,7 days,Complete,0,TRUE,Low,,Update_001
TSK-008,Task 008,2025-02-23,,2025-02-23,2025-04-21,,4 wks,In Progress,No,FALSE,L,0.56,Update_001
TSK-009,Task 009,2025-08-11,2025-09-21,2025-08-14,2025-09-22,1.0,6 days,Complete,0,FALSE,H,,Update_001
TSK-010,Task 010,2025-06-22,,2025-06-21,2025-08-02,,,Complete,No,Yes,,,Update_001
TSK-011,Task 011,2025-08-27,2025-10-31,2025-08-30,2025-10-20,1.0,14,Complete,FALSE,0,H,0.18,Update_001
TSK-012,Task 012,2025-01-25,,2025-01-28,2025-03-19,0.33772824455568184,5 wks,,,,High,0.48,Update_001
TSK-013,Task 013,2025-09-07,,2025-09-07,2025-11-05,,,Not Started,Yes,,High,0.33,Update_001
TSK-014,Task 014,2024-12-05,2025-01-22,2024-12-05,2025-01-09,Complete,3 wks,Complete,1,TRUE,L,,Update_001
TSK-015,Task 015,2025-06-08,,2025-06-06,2025-07-11,88%,38,,0,,L,,Update_001
TSK-016,Task 016,2024-12-10,,2024-12-07,2025-01-01,,40,In Progress,TRUE,1,L,,Update_001
TSK-017,Task 017,2025-05-02,,2025-04-29,2025-05-20,63,2 wks,,FALSE,FALSE,,,Update_001
