project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Alpha,TSK-001,Task 001,2025-07-17,,2025-07-16,2025-09-08,54,False,0,0.0,0.10779986063124175,IP,False,True,True,Medium,3,Risk Level: Medium (+1 points); On Critical Path (+2 points),Update_002
Alpha,TSK-002,Task 002,2025-06-25,2025-07-26,2025-06-25,2025-07-24,29,False,0,0.0,100%,Complete,False,False,False,Low,0,,Update_002
Alpha,TSK-003,Task 003,2025-02-11,,2025-02-09,2025-03-16,35,False,0,0.0,47%,In Progress,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_002
Alpha,TSK-004,Task 004,2025-07-07,,2025-07-05,2025-07-30,25,False,0,0.0,0.10061763923257218,Started,False,True,True,L,2,On Critical Path (+2 points),Update_002
Alpha,TSK-005,Task 005,2025-03-12,2025-05-14,2025-03-11,2025-04-14,34,True,30,88.2,Complete,Complete,False,False,False,H,5,Delayed by 30 days (+3 points); Risk Level: H (+2 points),Update_002
Alpha,TSK-006,Task 006,2025-04-02,2025-07-22,2025-03-30,2025-05-27,58,True,56,96.6,1.0,Complete,False,False,False,H,7,Delayed by 56 days (+5 points); Risk Level: H (+2 points),Update_002
Alpha,TSK-007,Task 007,2025-04-26,2025-07-22,2025-04-23,2025-05-27,34,True,56,164.7,100%,Complete,True,False,False,High,8,Delayed by 56 days (+5 points); Risk Level: High (+2 points); Milestone Task (+1 point),Update_002
Alpha,TSK-008,Task 008,2025-06-23,,2025-06-21,2025-08-20,60,False,0,0.0,8%,In Progress,False,False,True,High,2,Risk Level: High (+2 points),Update_002
Alpha,TSK-009,Task 009,2024-11-23,,2024-11-25,2024-12-10,15,False,0,0.0,10%,In Progress,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_002
Alpha,TSK-010,Task 010,2025-07-30,,2025-07-30,2025-09-02,34,False,0,0.0,,In Progress,False,False,True,,0,,Update_002
Alpha,TSK-011,Task 011,2025-09-20,2025-12-03,2025-09-17,2025-10-17,30,True,47,156.7,Complete,Complete,False,False,False,,5,Delayed by 47 days (+5 points),Update_002
Alpha,TSK-012,Task 012,2024-11-02,,2024-11-05,2024-12-25,50,False,0,0.0,0.7,IP,False,False,True,H,2,Risk Level: H (+2 points),Update_002
Alpha,TSK-013,Task 013,2025-03-18,,2025-03-15,2025-04-02,18,False,0,0.0,65%,In Progress,True,False,True,High,3,Risk Level: High (+2 points); Milestone Task (+1 point),Update_002
Alpha,TSK-014,Task 014,2025-02-19,2025-04-11,2025-02-20,2025-03-04,12,True,38,316.7,Complete,Complete,True,True,False,H,9,Delayed by 38 days (+4 points); Risk Level: H (+2 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_002
Alpha,TSK-015,Task 015,2025-09-20,2025-12-20,2025-09-20,2025-11-04,45,True,46,102.2,100%,Complete,False,False,False,H,7,Delayed by 46 days (+5 points); Risk Level: H (+2 points),Update_002
Alpha,TSK-016,Task 016,2025-09-29,,2025-09-29,2025-11-03,35,False,0,0.0,,IP,True,False,True,Medium,2,Risk Level: Medium (+1 points); Milestone Task (+1 point),Update_002
Alpha,TSK-017,Task 017,2025-02-27,,2025-02-24,2025-04-24,59,False,0,0.0,,In Progress,True,False,True,,1,Milestone Task (+1 point),Update_002
Alpha,TSK-018,Task 018,2025-07-06,2025-09-08,2025-07-04,2025-08-01,28,True,38,135.7,100%,Complete,False,False,False,L,4,Delayed by 38 days (+4 points),Update_002
Alpha,TSK-019,Task 019,2025-05-30,2025-07-17,2025-05-27,2025-06-18,22,True,29,131.8,100%,Complete,False,False,False,Low,3,Delayed by 29 days (+3 points),Update_002
Alpha,TSK-020,Task 020,2025-08-20,,2025-08-20,2025-09-18,29,False,0,0.0,0.43,IP,True,False,True,H,3,Risk Level: H (+2 points); Milestone Task (+1 point),Update_002
Alpha,TSK-021,Task 021,2025-08-31,,2025-08-31,2025-10-16,46,False,0,0.0,10%,Started,False,False,True,Low,0,,Update_002
Alpha,TSK-022,Task 022,2025-01-19,,2025-01-21,2025-01-31,10,False,0,0.0,,Started,False,False,True,H,2,Risk Level: H (+2 points),Update_002
Alpha,TSK-023,Task 023,2025-08-24,,2025-08-23,2025-10-07,45,False,0,0.0,10%,Started,False,False,True,High,2,Risk Level: High (+2 points),Update_002
Alpha,TSK-024,Task 024,2025-03-10,,2025-03-07,2025-04-23,47,False,0,0.0,47%,Started,False,False,True,L,0,,Update_002
Alpha,TSK-025,Task 025,2025-06-13,,2025-06-12,2025-07-06,24,False,0,0.0,0.5612462119704793,IP,False,False,True,L,0,,Update_002
Alpha,TSK-026,Task 026,2024-12-14,,2024-12-13,2025-02-11,60,False,0,0.0,10%,In Progress,False,False,True,,0,,Update_002
Alpha,TSK-027,Task 027,2025-08-27,2025-10-08,2025-08-27,2025-09-24,28,False,0,0.0,100%,Complete,False,True,False,High,0,,Update_002
Alpha,TSK-028,Task 028,2025-04-08,,2025-04-05,2025-05-20,45,False,0,0.0,11%,Started,False,True,True,L,2,On Critical Path (+2 points),Update_002
Alpha,TSK-029,Task 029,2025-09-16,2025-10-27,2025-09-13,2025-10-03,20,True,24,120.0,100%,Complete,False,False,False,,3,Delayed by 24 days (+3 points),Update_002
Alpha,TSK-030,Task 030,2025-10-27,,2025-10-25,2025-12-14,50,False,0,0.0,49%,IP,False,False,True,High,2,Risk Level: High (+2 points),Update_002
Alpha,TSK-031,Task 031,2025-07-12,2025-10-11,2025-07-11,2025-09-09,60,True,32,53.3,100%,Complete,False,False,False,,4,Delayed by 32 days (+4 points),Update_002
Alpha,TSK-032,Task 032,2024-11-23,2025-02-15,2024-11-24,2024-12-24,30,True,53,176.7,100%,Complete,False,False,False,H,7,Delayed by 53 days (+5 points); Risk Level: H (+2 points),Update_002
Alpha,TSK-033,Task 033,2025-07-20,2025-09-01,2025-07-18,2025-08-11,24,True,21,87.5,Complete,Complete,False,True,False,Medium,6,Delayed by 21 days (+3 points); Risk Level: Medium (+1 points); On Critical Path (+2 points),Update_002
Alpha,TSK-034,Task 034,2025-03-10,2025-06-16,2025-03-12,2025-05-11,60,True,36,60.0,100%,Complete,False,False,False,L,4,Delayed by 36 days (+4 points),Update_002
Alpha,TSK-035,Task 035,2025-10-07,,2025-10-06,2025-11-21,46,False,0,0.0,14%,In Progress,True,False,True,,1,Milestone Task (+1 point),Update_002
Alpha,TSK-036,Task 036,2025-05-26,,2025-05-26,2025-07-13,48,False,0,0.0,33%,IP,True,True,True,Low,3,On Critical Path (+2 points); Milestone Task (+1 point),Update_002
Alpha,TSK-037,Task 037,2025-05-18,,2025-05-16,2025-07-07,52,False,0,0.0,11%,IP,False,False,True,,0,,Update_002
