project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Beta,TSK-001,Task 001,2025-01-08,2025-02-22,2025-01-06,2025-01-29,23,True,24,104.3,100%,Complete,True,True,False,,6,Delayed by 24 days (+3 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_002
Beta,TSK-002,Task 002,2025-02-20,,2025-02-18,2025-04-19,60,False,0,0.0,9%,IP,False,False,True,L,0,,Update_002
Beta,TSK-003,Task 003,2025-04-28,,2025-04-30,2025-06-14,45,False,0,0.0,10%,IP,True,False,True,Low,1,Milestone Task (+1 point),Update_002
Beta,TSK-004,Task 004,2025-07-18,,2025-07-21,2025-09-05,46,False,0,0.0,,IP,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_002
Beta,TSK-005,Task 005,2025-06-07,,2025-06-04,2025-07-16,42,False,0,0.0,10%,In Progress,False,True,True,L,2,On Critical Path (+2 points),Update_002
Beta,TSK-006,Task 006,2025-09-04,,2025-09-03,2025-11-02,60,False,0,0.0,36%,In Progress,True,False,True,H,3,Risk Level: H (+2 points); Milestone Task (+1 point),Update_002
Beta,TSK-007,Task 007,2025-06-01,,2025-05-29,2025-06-15,17,False,0,0.0,73%,IP,False,False,True,,0,,Update_002
Beta,TSK-008,Task 008,2025-02-11,2025-04-29,2025-02-13,2025-03-07,22,True,53,240.9,100%,Complete,True,False,False,H,8,Delayed by 53 days (+5 points); Risk Level: H (+2 points); Milestone Task (+1 point),Update_002
Beta,TSK-009,Task 009,2025-09-08,,2025-09-10,2025-10-03,23,False,0,0.0,,Started,True,False,True,L,1,Milestone Task (+1 point),Update_002
Beta,TSK-010,Task 010,2025-10-11,,2025-10-13,2025-11-18,36,False,0,0.0,8%,In Progress,False,False,True,L,0,,Update_002
Beta,TSK-011,Task 011,2024-11-20,,2024-11-17,2024-12-13,26,False,0,0.0,,In Progress,False,False,True,H,2,Risk Level: H (+2 points),Update_002
Beta,TSK-012,Task 012,2025-05-13,,2025-05-15,2025-06-23,39,False,0,0.0,0.88,In Progress,True,True,True,High,5,Risk Level: High (+2 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_002
Beta,TSK-013,Task 013,2025-10-26,,2025-10-28,2025-11-13,16,False,0,0.0,,In Progress,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_002
Beta,TSK-014,Task 014,2024-12-10,,2024-12-09,2025-02-06,59,False,0,0.0,9%,Started,False,True,True,L,2,On Critical Path (+2 points),Update_002
Beta,TSK-015,Task 015,2025-07-12,,2025-07-10,2025-07-21,11,False,0,0.0,100%,IP,True,False,True,,1,Milestone Task (+1 point),Update_002
Beta,TSK-016,Task 016,2025-10-25,,2025-10-25,2025-11-15,21,False,0,0.0,26%,In Progress,False,False,True,H,2,Risk Level: H (+2 points),Update_002
Beta,TSK-017,Task 017,2024-12-04,2025-01-07,2024-12-04,2024-12-15,11,True,23,209.1,100%,Complete,True,False,False,Low,4,Delayed by 23 days (+3 points); Milestone Task (+1 point),Update_002
Beta,TSK-018,Task 018,2025-02-11,,2025-02-11,2025-02-22,11,False,0,0.0,83%,In Progress,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_002
Beta,TSK-019,Task 019,2025-04-06,,2025-04-06,2025-05-26,50,False,0,0.0,26%,Started,False,False,True,H,2,Risk Level: H (+2 points),Update_002
Beta,TSK-020,Task 020,2025-01-15,,2025-01-17,2025-02-18,32,False,0,0.0,61%,IP,False,False,True,,0,,Update_002
Beta,TSK-021,Task 021,2024-12-05,,2024-12-03,2025-01-21,49,False,0,0.0,10%,In Progress,False,True,True,Low,2,On Critical Path (+2 points),Update_002
Beta,TSK-022,Task 022,2025-03-08,2025-06-17,2025-03-11,2025-04-30,50,True,48,96.0,100%,Complete,False,True,False,H,9,Delayed by 48 days (+5 points); Risk Level: H (+2 points); On Critical Path (+2 points),Update_002
Beta,TSK-023,Task 023,2025-10-21,,2025-10-22,2025-11-13,22,False,0,0.0,21%,Started,False,True,True,Medium,3,Risk Level: Medium (+1 points); On Critical Path (+2 points),Update_002
Beta,TSK-024,Task 024,2025-02-15,2025-05-08,2025-02-13,2025-04-01,47,True,37,78.7,Complete,Complete,False,False,False,High,6,Delayed by 37 days (+4 points); Risk Level: High (+2 points),Update_002
Beta,TSK-025,Task 025,2025-06-28,,2025-06-25,2025-07-18,23,False,0,0.0,29%,Started,True,False,True,,1,Milestone Task (+1 point),Update_002
Beta,TSK-026,Task 026,2025-07-08,2025-07-22,2025-07-10,2025-07-20,10,True,2,20.0,100%,Complete,False,False,False,High,3,Delayed by 2 days (+1 points); Risk Level: High (+2 points),Update_002
Beta,TSK-027,Task 027,2024-12-10,2025-03-11,2024-12-11,2025-01-20,40,True,50,125.0,Complete,Complete,False,False,False,,5,Delayed by 50 days (+5 points),Update_002
Beta,TSK-028,Task 028,2025-06-08,2025-07-05,2025-06-11,2025-07-02,21,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_002
Beta,TSK-029,Task 029,2025-02-05,,2025-02-04,2025-04-02,57,False,0,0.0,10%,IP,False,False,True,High,2,Risk Level: High (+2 points),Update_002
Beta,TSK-030,Task 030,2025-06-01,2025-08-08,2025-05-29,2025-07-25,57,True,14,24.6,100%,Complete,False,True,False,H,6,Delayed by 14 days (+2 points); Risk Level: H (+2 points); On Critical Path (+2 points),Update_002
Beta,TSK-031,Task 031,2025-10-16,,2025-10-14,2025-11-06,23,False,0,0.0,9%,Started,False,False,True,H,2,Risk Level: H (+2 points),Update_002
Beta,TSK-032,Task 032,2025-10-10,2025-11-30,2025-10-11,2025-11-15,35,True,15,42.9,1.0,Complete,True,False,False,Low,3,Delayed by 15 days (+2 points); Milestone Task (+1 point),Update_002
Beta,TSK-033,Task 033,2025-02-18,2025-05-01,2025-02-20,2025-03-30,38,True,32,84.2,100%,Complete,False,False,False,High,6,Delayed by 32 days (+4 points); Risk Level: High (+2 points),Update_002
Beta,TSK-034,Task 034,2025-04-26,,2025-04-23,2025-05-20,27,False,0,0.0,,IP,False,True,True,,2,On Critical Path (+2 points),Update_002
Beta,TSK-035,Task 035,2025-03-29,2025-04-30,2025-03-31,2025-04-15,15,True,15,100.0,100%,Complete,False,False,False,Medium,3,Delayed by 15 days (+2 points); Risk Level: Medium (+1 points),Update_002
Beta,TSK-036,Task 036,2024-11-24,2024-12-21,2024-11-25,2024-12-05,10,True,16,160.0,100%,Complete,True,True,False,Medium,6,Delayed by 16 days (+2 points); Risk Level: Medium (+1 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_002
Beta,TSK-037,Task 037,2024-11-20,,2024-11-23,2025-01-12,50,False,0,0.0,,IP,False,True,True,Medium,3,Risk Level: Medium (+1 points); On Critical Path (+2 points),Update_002
Beta,TSK-038,Task 038,2024-12-08,2025-01-11,2024-12-10,2025-01-13,34,False,-2,-5.9,1.0,Complete,False,False,False,Low,0,,Update_002
Beta,TSK-039,Task 039,2025-01-16,,2025-01-17,2025-02-14,28,False,0,0.0,64%,IP,False,False,True,Low,0,,Update_002
Beta,TSK-040,Task 040,2024-11-27,,2024-11-27,2024-12-08,11,False,0,0.0,,IP,False,False,True,High,2,Risk Level: High (+2 points),Update_002
Beta,TSK-041,Task 041,2025-04-03,2025-06-02,2025-04-05,2025-04-29,24,True,34,141.7,1.0,Complete,False,False,False,Medium,5,Delayed by 34 days (+4 points); Risk Level: Medium (+1 points),Update_002
