task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2024-12-01,2025-04-06,2024-11-28,2025-01-09,1.0,11,Complete,,No,Low,0.85,Update_009
TSK-002,Task 002,2025-03-04,2025-04-24,2025-03-07,2025-04-13,100%,36,Complete,,,H,,Update_009
TSK-003,Task 003,2025-09-14,2025-10-27,2025-09-12,2025-09-28,Complete,1 wks,Complete,No,FALSE,High,,Update_009
TSK-004,Task 004,2025-04-21,2025-05-15,2025-04-22,2025-05-10,1.0,4 wks,Complete,True,FALSE,L,,Update_009
TSK-005,Task 005,2025-08-24,2025-10-29,2025-08-23,2025-10-09,100%,1 days,Complete,True,True,H,0.11,Update_009
TSK-006,Task 006,2025-06-08,2025-07-01,2025-06-08,2025-06-18,Complete,4 days,Complete,0,,Medium,,Update_009
TSK-007,Task 007,2025-07-17,2025-09-28,2025-07-20,2025-09-08,100%,,Complete,False,,H,,Update_009
TSK-008,Task 008,2025-07-19,2025-09-11,2025-07-20,2025-08-07,100%,,Complete,False,0,Low,0.81,Update_009
TSK-009,Task 009,2025-05-05,2025-06-16,2025-05-03,2025-05-25,100%,42,Complete,FALSE,FALSE,,,Update_009
TSK-010,Task 010,2025-04-17,2025-05-02,2025-04-18,2025-05-02,Complete,,Complete,No,False,,0.49,Update_009
TSK-011,Task 011,2025-08-07,2025-09-27,2025-08-09,2025-09-26,1.0,,Complete,,,L,0.17,Update_009
TSK-012,Task 012,2025-05-11,2025-06-14,2025-05-10,2025-06-16,100%,4 wks,Complete,0,0,L,,Update_009
TSK-013,Task 013,2025-06-01,2025-07-17,2025-06-04,2025-07-21,1.0,2 wks,Complete,0,,,0.18,Update_009
TSK-014,Task 014,2025-09-21,2025-12-07,2025-09-24,2025-11-13,Complete,35,Complete,No,,L,0.08,Update_009
TSK-015,Task 015,2024-12-22,2025-02-09,2024-12-20,2025-01-23,100%,,Complete,1,False,,,Update_009
TSK-016,Task 016,2025-05-21,2025-07-29,2025-05-19,2025-06-23,100%,9 days,Complete,False,False,Low,,Update_009
TSK-017,Task 017,2024-12-25,2025-02-27,2024-12-22,2025-02-13,100%,,Complete,No,False,Medium,0.02,Update_009
TSK-018,Task 018,2025-02-11,2025-02-27,2025-02-11,2025-03-02,Complete,10 days,Complete,,FALSE,Low,0.89,Update_009
TSK-019,Task 019,2025-07-11,2025-08-07,2025-07-10,2025-07-29,Complete,1 wks,Complete,True,TRUE,Low,0.46,Update_009
TSK-020,Task 020,2025-07-18,2025-08-08,2025-07-20,2025-08-01,1.0,35,Complete,True,0,H,,Update_009
TSK-021,Task 021,2025-06-12,2025-06-24,2025-06-11,2025-06-28,1.0,9 days,Complete,Yes,1,Low,,Update_009
TSK-022,Task 022,2025-01-07,2025-04-01,2025-01-09,2025-03-02,100%,2 wks,Complete,FALSE,,,0.1,Update_009
TSK-023,Task 023,2024-11-03,2024-12-24,2024-11-05,2024-12-08,1.0,,Complete,False,0,Low,,Update_009
TSK-024,Task 024,2025-07-10,2025-08-28,2025-07-10,2025-08-25,Complete,23,Complete,True,False,L,0.98,Update_009
TSK-025,Task 025,2025-09-28,2025-12-11,2025-09-30,2025-11-25,Complete,2 days,Complete,0,0,L,,Update_009
TSK-026,Task 026,2024-12-29,2025-01-28,2024-12-27,2025-01-28,Complete,9 days,Complete,No,Yes,High,0.71,Update_009
TSK-027,Task 027,2025-09-12,2025-10-26,2025-09-15,2025-10-17,1.0,38,Complete,1,Yes,High,0.36,Update_009
TSK-028,Task 028,2025-10-10,2025-11-05,2025-10-13,2025-11-06,100%,2 wks,Complete,0,0,H,,Update_009
TSK-029,Task 029,2025-08-18,2025-10-01,2025-08-17,2025-10-02,1.0,4 wks,Complete,False,No,,,Update_009
TSK-030,Task 030,2025-06-19,2025-07-15,2025-06-18,2025-07-19,1.0,,Complete,0,,Low,,Update_009
TSK-031,Task 031,2025-02-13,2025-04-01,2025-02-11,2025-03-14,1.0,6 days,Complete,FALSE,No,,,Update_009
TSK-032,Task 032,2025-07-13,2025-09-07,2025-07-11,2025-08-30,Complete,9 days,Complete,No,FALSE,Low,,Update_009
TSK-033,Task 033,2025-05-23,2025-07-15,2025-05-26,2025-07-15,100%,34,Complete,False,No,High,,Update_009
TSK-034,Task 034,2025-08-01,2025-08-10,2025-08-02,2025-08-12,1.0,38,Complete,False,,High,0.25,Update_009
TSK-035,Task 035,2025-10-07,2025-12-03,2025-10-09,2025-11-02,1.0,,Complete,Yes,0,H,0.34,Update_009
TSK-036,Task 036,2025-03-04,2025-04-02,2025-03-05,2025-03-29,100%,1 wks,Complete,False,True,H,,Update_009
TSK-037,Task 037,2025-10-07,2025-11-07,2025-10-08,2025-10-23,1.0,,Complete,No,No,Low,,Update_009
TSK-038,Task 038,2025-10-14,2025-12-25,2025-10-11,2025-12-06,100%,2 wks,Complete,0,Yes,H,0.85,Update_009
TSK-039,Task 039,2025-01-09,2025-01-28,2025-01-07,2025-01-21,100%,,Complete,True,Yes,,,Update_009
TSK-040,Task 040,2025-05-20,2025-06-19,2025-05-17,2025-06-02,1.0,,Complete,0,True,Low,,Update_009
TSK-041,Task 041,2024-12-25,2025-03-24,2024-12-22,2025-02-10,100%,,Complete,Yes,No,Low,,Update_009
TSK-042,Task 042,2025-04-28,2025-06-11,2025-04-28,2025-06-03,1.0,3 wks,Complete,FALSE,Yes,Medium,,Update_009
TSK-043,Task 043,2025-06-01,2025-06-24,2025-06-01,2025-06-13,1.0,1 days,Complete,False,1,High,,Update_009
TSK-044,Task 044,2024-11-18,2024-12-20,2024-11-17,2024-12-07,Complete,3 days,Complete,False,TRUE,H,0.65,Update_009
TSK-045,Task 045,2025-05-19,2025-06-16,2025-05-20,2025-06-02,100%,2 days,Complete,TRUE,No,,0.88,Update_009
TSK-046,Task 046,2024-11-12,2024-12-30,2024-11-12,2024-12-22,100%,,Complete,1,0,Low,0.86,Update_009
TSK-047,Task 047,2025-05-19,2025-07-17,2025-05-21,2025-06-29,Complete,21,Complete,,FALSE,H,0.97,Update_009
