task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2025-08-25,2025-10-29,2025-08-24,2025-10-04,100%,3 days,Complete,0,FALSE,Medium,0.64,Update_003
TSK-002,Task 002,2025-07-12,,2025-07-09,2025-07-29,,40,In Progress,FALSE,TRUE,Medium,,Update_003
TSK-003,Task 003,2025-07-28,,2025-07-28,2025-09-05,,10 days,IP,True,0,,,Update_003
TSK-004,Task 004,2025-01-29,2025-04-09,2025-01-28,2025-03-06,1.0,2 wks,Complete,FALSE,Yes,Medium,0.1,Update_003
TSK-005,Task 005,2025-03-01,2025-04-26,2025-02-27,2025-04-12,1.0,,Complete,No,FALSE,H,0.57,Update_003
TSK-006,Task 006,2025-03-21,,2025-03-23,2025-05-14,,4 days,In Progress,False,1,L,0.99,Update_003
TSK-007,Task 007,2025-05-03,2025-06-01,2025-05-05,2025-05-18,1.0,,Complete,,,H,,Update_003
TSK-008,Task 008,2024-12-23,,2024-12-25,2025-02-17,37%,38,IP,False,,L,,Update_003
TSK-009,Task 009,2025-08-27,,2025-08-25,2025-10-24,0.5640693824542529,43,IP,0,FALSE,Medium,0.49,Update_003
TSK-010,Task 010,2025-06-14,2025-07-11,2025-06-14,2025-07-01,Complete,2 wks,Complete,No,,,0.92,Update_003
TSK-011,Task 011,2025-06-08,2025-07-22,2025-06-07,2025-07-19,Complete,42,Complete,Yes,,L,,Update_003
TSK-012,Task 012,2025-06-12,,2025-06-12,2025-08-10,53,,IP,False,False,L,0.42,Update_003
TSK-013,Task 013,2025-09-25,2025-10-18,2025-09-23,2025-10-08,Complete,5 wks,Complete,TRUE,False,Medium,,Update_003
TSK-014,Task 014,2025-06-08,,2025-06-10,2025-07-12,,2 wks,In Progress,FALSE,False,,,Update_003
TSK-015,Task 015,2025-06-09,2025-07-27,2025-06-11,2025-07-11,1.0,1 wks,Complete,False,FALSE,H,0.9,Update_003
TSK-016,Task 016,2025-08-14,2025-09-11,2025-08-11,2025-08-28,Complete,21,Complete,1,,High,,Update_003
TSK-017,Task 017,2025-08-13,2025-09-20,2025-08-14,2025-08-24,1.0,21,Complete,True,No,Low,,Update_003
TSK-018,Task 018,2025-03-23,,2025-03-24,2025-04-17,,3 wks,IP,No,1,Medium,0.05,Update_003
TSK-019,Task 019,2025-02-11,2025-03-09,2025-02-12,2025-03-13,1.0,46,Complete,1,Yes,,,Update_003
TSK-020,Task 020,2025-03-23,,2025-03-26,2025-04-22,100%,6 days,IP,0,Yes,Low,,Update_003
TSK-021,Task 021,2025-09-20,2025-10-26,2025-09-23,2025-10-23,100%,41,Complete,No,,H,0.32,Update_003
TSK-022,Task 022,2025-04-02,2025-05-25,2025-04-03,2025-05-19,100%,6 days,Complete,0,FALSE,H,0.12,Update_003
TSK-023,Task 023,2025-09-06,2025-11-09,2025-09-08,2025-10-27,Complete,,Complete,True,0,Medium,0.69,Update_003
TSK-024,Task 024,2025-04-21,2025-06-26,2025-04-20,2025-06-18,Complete,3 days,Complete,No,True,High,,Update_003
TSK-025,Task 025,2025-10-09,2025-11-30,2025-10-09,2025-11-29,100%,,Complete,No,1,Medium,,Update_003
TSK-026,Task 026,2025-08-07,,2025-08-10,2025-09-23,,4 wks,IP,No,True,,0.63,Update_003
TSK-027,Task 027,2025-01-23,,2025-01-23,2025-03-13,,14,In Progress,True,FALSE,High,,Update_003
TSK-028,Task 028,2025-08-21,,2025-08-20,2025-10-16,57%,5 days,In Progress,,0,High,0.33,Update_003
TSK-029,Task 029,2025-03-20,,2025-03-19,2025-05-05,44,,IP,FALSE,Yes,Low,,Update_003
TSK-030,Task 030,2024-11-26,,2024-11-26,2025-01-03,50,3 wks,In Progress,,No,,0.77,Update_003
TSK-031,Task 031,2025-05-10,2025-07-02,2025-05-09,2025-06-15,1.0,7,Complete,0,Yes,High,0.41,Update_003
TSK-032,Task 032,2025-09-04,2025-11-07,2025-09-06,2025-10-22,1.0,,Complete,No,FALSE,Low,,Update_003
TSK-033,Task 033,2025-10-22,2025-11-13,2025-10-20,2025-11-10,100%,3 wks,Complete,FALSE,FALSE,,,Update_003
TSK-034,Task 034,2024-10-30,,2024-11-02,2024-12-05,66,,In Progress,No,No,Low,,Update_003
TSK-035,Task 035,2024-11-19,,2024-11-18,2024-12-12,,3 days,IP,False,FALSE,H,0.46,Update_003
TSK-036,Task 036,2025-06-29,,2025-07-02,2025-08-31,96,40,In Progress,,FALSE,Medium,,Update_003
TSK-037,Task 037,2024-11-15,2024-12-14,2024-11-15,2024-12-01,1.0,6 days,Complete,0,0,Medium,,Update_003
TSK-038,Task 038,2025-06-12,,2025-06-13,2025-07-18,,29,IP,False,FALSE,Low,,Update_003
TSK-039,Task 039,2025-01-24,2025-04-10,2025-01-26,2025-03-23,Complete,,Complete,FALSE,TRUE,High,,Update_003
TSK-040,Task 040,2024-12-22,,2024-12-22,2025-02-03,0.24089458427731825,5 days,IP,,No,,,Update_003
TSK-041,Task 041,2024-12-18,2024-12-28,2024-12-16,2025-01-02,1.0,,Complete,Yes,No,Low,,Update_003
TSK-042,Task 042,2025-01-16,,2025-01-14,2025-02-04,59%,3 wks,In Progress,No,,L,0.81,Update_003
TSK-043,Task 043,2025-07-30,2025-08-22,2025-07-28,2025-08-10,1.0,20,Complete,No,No,,0.77,Update_003
TSK-044,Task 044,2024-11-05,,2024-11-08,2024-12-15,,4 days,In Progress,,1,Medium,0.51,Update_003
TSK-045,Task 045,2025-07-31,2025-08-19,2025-07-29,2025-08-13,Complete,27,Complete,False,True,,,Update_003
TSK-046,Task 046,2025-09-15,2025-10-27,2025-09-18,2025-10-23,Complete,1 days,Complete,No,Yes,H,,Update_003
TSK-047,Task 047,2025-09-18,,2025-09-21,2025-11-15,75,6 days,IP,TRUE,0,H,0.37,Update_003
TSK-048,Task 048,2025-09-05,,2025-09-06,2025-10-14,0.6973761058720728,2 days,IP,No,,,0.04,Update_003
TSK-049,Task 049,2024-12-26,,2024-12-24,2025-01-12,,10 days,In Progress,True,1,L,,Update_003
TSK-050,Task 050,2025-01-14,,2025-01-16,2025-01-26,,,IP,No,False,,,Update_003
