project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Delta,TSK-001,Task 001,2025-06-13,2025-09-13,2025-06-12,2025-08-04,53,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_004
Delta,TSK-002,Task 002,2025-01-02,,2025-01-02,2025-01-19,17,False,0,0.0,28%,In Progress,False,False,True,,0,,Update_004
Delta,TSK-003,Task 003,2025-03-07,2025-05-10,2025-03-10,2025-03-24,14,True,46,328.6,100%,Complete,False,False,False,,5,Delayed by 46 days (+5 points),Update_004
Delta,TSK-004,Task 004,2025-03-13,2025-06-18,2025-03-12,2025-04-24,43,True,55,127.9,100%,Complete,False,False,False,H,7,Delayed by 55 days (+5 points); Risk Level: H (+2 points),Update_004
Delta,TSK-005,Task 005,2025-06-22,2025-09-14,2025-06-23,2025-08-13,51,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_004
Delta,TSK-006,Task 006,2025-07-11,,2025-07-13,2025-07-29,16,False,0,0.0,47%,Started,True,False,True,Low,1,Milestone Task (+1 point),Update_004
Delta,TSK-007,Task 007,2025-06-18,2025-08-26,2025-06-16,2025-07-22,36,True,35,97.2,Complete,Complete,False,False,False,Medium,5,Delayed by 35 days (+4 points); Risk Level: Medium (+1 points),Update_004
Delta,TSK-008,Task 008,2025-07-11,2025-09-15,2025-07-13,2025-07-23,10,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_004
Delta,TSK-009,Task 009,2025-06-23,2025-08-18,2025-06-22,2025-08-04,43,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_004
Delta,TSK-010,Task 010,2025-09-12,2025-11-18,2025-09-14,2025-10-26,42,False,0,0.0,100%,Complete,False,False,False,Low,0,,Update_004
Delta,TSK-011,Task 011,2025-06-12,2025-09-17,2025-06-15,2025-08-10,56,False,0,0.0,100%,Complete,False,False,False,,0,,Update_004
Delta,TSK-012,Task 012,2025-09-05,2025-12-07,2025-09-02,2025-10-22,50,False,0,0.0,100%,Complete,False,True,False,L,0,,Update_004
Delta,TSK-013,Task 013,2025-04-20,2025-07-01,2025-04-23,2025-06-08,46,False,0,0.0,100%,Complete,True,True,False,,0,,Update_004
Delta,TSK-014,Task 014,2025-10-20,2026-01-07,2025-10-19,2025-12-13,55,False,0,0.0,100%,Complete,False,False,False,,0,,Update_004
Delta,TSK-015,Task 015,2025-05-21,2025-08-14,2025-05-23,2025-06-30,38,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_004
Delta,TSK-016,Task 016,2025-08-31,2025-11-11,2025-08-28,2025-10-14,47,False,0,0.0,100%,Complete,False,False,False,,0,,Update_004
Delta,TSK-017,Task 017,2025-04-29,,2025-05-02,2025-06-29,58,False,0,0.0,100%,In Progress,False,False,True,Medium,1,Risk Level: Medium (+1 points),Update_004
Delta,TSK-018,Task 018,2025-02-06,2025-05-22,2025-02-07,2025-04-02,54,False,0,0.0,100%,Complete,True,False,False,,0,,Update_004
