task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2024-11-22,2025-01-10,2024-11-21,2025-01-02,100%,6 days,Complete,FALSE,True,Medium,0.55,Update_004
TSK-002,Task 002,2025-02-23,2025-04-16,2025-02-21,2025-04-04,Complete,4 days,Complete,FALSE,TRUE,Low,0.14,Update_004
TSK-003,Task 003,2025-09-24,2025-11-19,2025-09-26,2025-11-17,Complete,,Complete,,0,,0.9,Update_004
TSK-004,Task 004,2025-08-06,2025-10-10,2025-08-09,2025-10-07,100%,,Complete,,True,Medium,,Update_004
TSK-005,Task 005,2025-07-19,,2025-07-16,2025-08-28,,4 days,IP,TRUE,True,Low,,Update_004
TSK-006,Task 006,2024-10-26,,2024-10-29,2024-12-02,39%,4 days,IP,No,0,High,,Update_004
TSK-007,Task 007,2025-07-12,2025-09-07,2025-07-14,2025-09-06,Complete,3 wks,Complete,TRUE,,H,0.3,Update_004
TSK-008,Task 008,2025-03-25,2025-04-17,2025-03-24,2025-04-03,Complete,17,Complete,TRUE,FALSE,Medium,0.55,Update_004
TSK-009,Task 009,2024-12-14,2025-02-09,2024-12-12,2025-01-30,100%,,Complete,False,FALSE,,,Update_004
TSK-010,Task 010,2025-08-11,,2025-08-12,2025-09-02,,,IP,TRUE,No,Low,,Update_004
TSK-011,Task 011,2025-05-12,2025-07-14,2025-05-13,2025-06-21,Complete,4 wks,Complete,True,TRUE,Low,0.81,Update_004
TSK-012,Task 012,2025-03-16,,2025-03-14,2025-04-19,0.6769180570454351,4 wks,IP,1,No,H,0.61,Update_004
TSK-013,Task 013,2025-01-14,2025-03-04,2025-01-11,2025-02-17,1.0,7 days,Complete,0,No,,0.73,Update_004
TSK-014,Task 014,2025-04-23,2025-05-19,2025-04-25,2025-05-20,100%,8,Complete,No,No,Low,,Update_004
TSK-015,Task 015,2025-01-18,2025-02-02,2025-01-20,2025-02-02,1.0,,Complete,FALSE,0,L,0.56,Update_004
TSK-016,Task 016,2025-10-08,,2025-10-09,2025-10-30,,8 days,In Progress,No,FALSE,,0.9,Update_004
TSK-017,Task 017,2024-11-21,,2024-11-20,2025-01-03,69,5 days,IP,No,1,Medium,,Update_004
TSK-018,Task 018,2025-03-23,2025-05-19,2025-03-26,2025-05-14,Complete,5,Complete,False,False,L,0.2,Update_004
TSK-019,Task 019,2025-07-07,,2025-07-07,2025-08-22,74,,In Progress,,False,Low,,Update_004
TSK-020,Task 020,2024-12-09,2025-02-13,2024-12-08,2025-02-01,Complete,,Complete,FALSE,,High,0.71,Update_004
TSK-021,Task 021,2025-01-14,,2025-01-17,2025-02-17,76,7 days,IP,No,1,L,0.78,Update_004
TSK-022,Task 022,2025-10-08,2025-11-25,2025-10-06,2025-10-26,1.0,,Complete,,0,,0.15,Update_004
TSK-023,Task 023,2024-11-26,2025-01-16,2024-11-28,2025-01-15,1.0,3 days,Complete,,TRUE,Medium,0.25,Update_004
TSK-024,Task 024,2024-10-26,,2024-10-28,2024-11-07,,20,In Progress,1,False,H,0.7,Update_004
TSK-025,Task 025,2025-02-17,,2025-02-18,2025-03-13,28,5 wks,IP,Yes,0,Low,,Update_004
TSK-026,Task 026,2025-07-25,,2025-07-25,2025-08-05,61%,21,IP,1,Yes,L,,Update_004
TSK-027,Task 027,2025-05-09,2025-05-28,2025-05-10,2025-05-31,100%,,Complete,Yes,,Medium,0.67,Update_004
TSK-028,Task 028,2025-02-20,2025-04-05,2025-02-20,2025-04-02,1.0,3 wks,Complete,Yes,Yes,High,0.42,Update_004
TSK-029,Task 029,2025-07-19,,2025-07-16,2025-08-03,19,,IP,Yes,No,High,,Update_004
TSK-030,Task 030,2025-10-21,2025-12-27,2025-10-23,2025-12-07,Complete,26,Complete,,True,Low,,Update_004
TSK-031,Task 031,2025-05-11,2025-06-18,2025-05-14,2025-06-02,100%,11,Complete,1,No,H,,Update_004
TSK-032,Task 032,2025-09-01,,2025-08-31,2025-10-06,74%,7,IP,FALSE,,,,Update_004
TSK-033,Task 033,2025-10-19,2025-11-13,2025-10-19,2025-11-15,Complete,9 days,Complete,1,0,High,,Update_004
TSK-034,Task 034,2025-04-12,2025-05-20,2025-04-12,2025-05-17,1.0,,Complete,FALSE,0,L,,Update_004
TSK-035,Task 035,2024-10-30,2024-11-22,2024-11-01,2024-11-27,Complete,6 days,Complete,True,TRUE,,,Update_004
TSK-036,Task 036,2025-08-05,2025-10-03,2025-08-04,2025-09-19,Complete,2 wks,Complete,TRUE,True,,,Update_004
TSK-037,Task 037,2025-03-31,2025-05-15,2025-04-02,2025-05-09,100%,,Complete,No,,L,0.54,Update_004
TSK-038,Task 038,2024-11-14,2025-01-21,2024-11-12,2025-01-11,100%,5 wks,Complete,,TRUE,Medium,,Update_004
TSK-039,Task 039,2025-07-23,,2025-07-24,2025-08-08,,,In Progress,0,,Medium,0.09,Update_004
TSK-040,Task 040,2024-11-28,2025-01-06,2024-11-30,2025-01-08,100%,7 days,Complete,FALSE,False,L,,Update_004
TSK-041,Task 041,2025-01-29,2025-04-04,2025-01-31,2025-03-24,100%,,Complete,No,0,High,0.8,Update_004
TSK-042,Task 042,2025-06-13,,2025-06-12,2025-06-24,,1 wks,In Progress,,False,Low,0.69,Update_004
TSK-043,Task 043,2025-03-25,2025-05-12,2025-03-25,2025-05-01,100%,13,Complete,FALSE,1,H,0.61,Update_004
TSK-044,Task 044,2024-11-26,2025-01-12,2024-11-24,2025-01-03,Complete,3 wks,Complete,,,,0.86,Update_004
TSK-045,Task 045,2025-02-15,2025-04-13,2025-02-13,2025-03-13,100%,1 wks,Complete,,False,High,0.28,Update_004
TSK-046,Task 046,2025-10-07,2025-11-15,2025-10-07,2025-11-09,100%,3 wks,Complete,False,False,H,,Update_004
TSK-047,Task 047,2025-08-09,2025-09-27,2025-08-12,2025-09-25,Complete,3 days,Complete,False,False,L,0.45,Update_004
TSK-048,Task 048,2025-04-10,2025-06-07,2025-04-12,2025-06-09,1.0,2 wks,Complete,No,False,H,,Update_004
TSK-049,Task 049,2025-02-07,2025-04-06,2025-02-06,2025-03-25,Complete,2 wks,Complete,True,False,High,,Update_004
