project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Gamma,TSK-001,Task 001,2025-08-14,2025-10-25,2025-08-11,2025-09-21,41,False,0,0.0,100%,Complete,False,True,False,Low,0,,Update_014
Gamma,TSK-002,Task 002,2025-10-26,2025-12-09,2025-10-25,2025-11-15,21,False,0,0.0,100%,Complete,False,True,False,H,0,,Update_014
Gamma,TSK-003,Task 003,2025-04-15,2025-05-20,2025-04-15,2025-04-29,14,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_014
Gamma,TSK-004,Task 004,2025-08-06,2025-08-16,2025-08-08,2025-09-04,27,False,0,0.0,100%,Complete,False,False,False,Low,0,,Update_014
Gamma,TSK-005,Task 005,2025-05-17,2025-06-09,2025-05-14,2025-05-24,10,True,15,150.0,Complete,Complete,False,True,False,Medium,5,Delayed by 15 days (+2 points); Risk Level: Medium (+1 points); On Critical Path (+2 points),Update_014
Gamma,TSK-006,Task 006,2025-02-26,2025-04-19,2025-02-27,2025-03-19,20,False,0,0.0,100%,Complete,True,False,False,Low,0,,Update_014
Gamma,TSK-007,Task 007,2024-12-21,2025-02-16,2024-12-21,2025-01-08,18,False,0,0.0,100%,Complete,False,True,False,L,0,,Update_014
Gamma,TSK-008,Task 008,2025-03-28,2025-05-14,2025-03-25,2025-05-09,45,False,0,0.0,100%,Complete,False,False,False,Low,0,,Update_014
Gamma,TSK-009,Task 009,2024-11-05,2024-12-15,2024-11-05,2024-11-21,16,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_014
Gamma,TSK-010,Task 010,2024-12-24,2025-01-29,2024-12-23,2025-01-16,24,False,0,0.0,100%,Complete,True,True,False,H,0,,Update_014
Gamma,TSK-011,Task 011,2024-11-07,2024-12-17,2024-11-05,2024-11-20,15,False,0,0.0,100%,Complete,True,False,False,Medium,0,,Update_014
Gamma,TSK-012,Task 012,2025-01-04,2025-01-26,2025-01-05,2025-03-02,56,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_014
Gamma,TSK-013,Task 013,2025-02-08,2025-04-05,2025-02-08,2025-03-09,29,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_014
Gamma,TSK-014,Task 014,2025-09-26,2025-11-17,2025-09-24,2025-11-05,42,True,11,26.2,100%,Complete,False,False,False,,2,Delayed by 11 days (+2 points),Update_014
Gamma,TSK-015,Task 015,2025-06-04,2025-09-07,2025-06-02,2025-07-27,55,False,0,0.0,100%,Complete,True,False,False,H,0,,Update_014
Gamma,TSK-016,Task 016,2025-05-06,2025-08-12,2025-05-03,2025-06-26,54,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_014
Gamma,TSK-017,Task 017,2025-06-23,2025-07-06,2025-06-25,2025-08-04,40,False,0,0.0,100%,Complete,False,True,False,L,0,,Update_014
