project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Slippages,TSK-001,Task 001,2025-03-22,,2025-03-21,2025-05-01,41,False,0,0.0,,In Progress,False,False,True,L,0,,Update_001
Slippages,TSK-002,Task 002,2025-05-21,,2025-05-23,2025-07-11,49,False,0,0.0,0.5287484003361841,Not Started,True,False,True,Medium,2,Risk Level: Medium (+1 points); Milestone Task (+1 point),Update_001
Slippages,TSK-003,Task 003,2024-11-15,2025-01-08,2024-11-12,2025-01-06,55,True,2,3.6,100%,Complete,False,False,False,L,1,Delayed by 2 days (+1 points),Update_001
Slippages,TSK-004,Task 004,2025-02-13,,2025-02-16,2025-03-17,29,False,0,0.0,78%,IP,False,False,True,L,0,,Update_001
Slippages,TSK-005,Task 005,2025-09-04,,2025-09-03,2025-09-22,19,False,0,0.0,96%,,False,False,True,High,2,Risk Level: High (+2 points),Update_001
Slippages,TSK-006,Task 006,2025-05-05,,2025-05-02,2025-05-19,17,False,0,0.0,74%,In Progress,False,False,True,High,2,Risk Level: High (+2 points),Update_001
Slippages,TSK-007,Task 007,2024-12-24,,2024-12-26,2025-02-19,55,False,0,0.0,,In Progress,False,False,True,H,2,Risk Level: H (+2 points),Update_001
Slippages,TSK-008,Task 008,2024-12-26,,2024-12-24,2025-02-05,43,False,0,0.0,14%,Complete,False,True,False,Low,2,On Critical Path (+2 points),Update_001
Slippages,TSK-009,Task 009,2025-07-07,,2025-07-09,2025-07-24,15,False,0,0.0,,IP,False,True,True,H,4,Risk Level: H (+2 points); On Critical Path (+2 points),Update_001
Slippages,TSK-010,Task 010,2025-04-19,,2025-04-17,2025-05-14,27,False,0,0.0,52%,Not Started,False,True,True,Medium,3,Risk Level: Medium (+1 points); On Critical Path (+2 points),Update_001
Slippages,TSK-011,Task 011,2025-06-12,,2025-06-10,2025-07-08,28,False,0,0.0,,Not Started,False,False,True,H,2,Risk Level: H (+2 points),Update_001
Slippages,TSK-012,Task 012,2024-11-02,,2024-11-05,2024-11-16,11,False,0,0.0,,,True,True,True,Low,3,On Critical Path (+2 points); Milestone Task (+1 point),Update_001
Slippages,TSK-013,Task 013,2025-03-19,,2025-03-21,2025-04-29,39,False,0,0.0,97%,Not Started,False,False,True,,0,,Update_001
Slippages,TSK-014,Task 014,2025-10-11,,2025-10-11,2025-11-09,29,False,0,0.0,23,Complete,True,False,False,Medium,2,Risk Level: Medium (+1 points); Milestone Task (+1 point),Update_001
Slippages,TSK-015,Task 015,2025-06-24,2025-08-16,2025-06-23,2025-08-01,39,True,15,38.5,100%,Complete,False,True,False,Low,4,Delayed by 15 days (+2 points); On Critical Path (+2 points),Update_001
Slippages,TSK-016,Task 016,2025-05-18,,2025-05-18,2025-06-15,28,False,0,0.0,,,False,False,True,Low,0,,Update_001
Slippages,TSK-017,Task 017,2025-05-31,,2025-05-28,2025-06-08,11,False,0,0.0,,Not Started,False,False,True,H,2,Risk Level: H (+2 points),Update_001
Slippages,TSK-018,Task 018,2024-12-25,,2024-12-25,2025-01-22,28,False,0,0.0,78,,False,True,True,L,2,On Critical Path (+2 points),Update_001
Slippages,TSK-019,Task 019,2024-12-22,2025-03-05,2024-12-19,2025-02-12,55,True,21,38.2,Complete,Complete,True,False,False,Low,4,Delayed by 21 days (+3 points); Milestone Task (+1 point),Update_001
Slippages,TSK-020,Task 020,2025-09-09,,2025-09-12,2025-11-07,56,False,0,0.0,,IP,False,False,True,,0,,Update_001
Slippages,TSK-021,Task 021,2025-02-03,,2025-02-03,2025-03-26,51,False,0,0.0,,In Progress,False,False,True,,0,,Update_001
Slippages,TSK-022,Task 022,2025-02-26,,2025-02-27,2025-03-13,14,False,0,0.0,93%,Not Started,False,True,True,H,4,Risk Level: H (+2 points); On Critical Path (+2 points),Update_001
Slippages,TSK-023,Task 023,2024-12-19,,2024-12-18,2025-02-15,59,False,0,0.0,100,Complete,False,False,False,,0,,Update_001
Slippages,TSK-024,Task 024,2025-02-27,,2025-03-02,2025-03-20,18,False,0,0.0,64%,IP,False,False,True,H,2,Risk Level: H (+2 points),Update_001
Slippages,TSK-025,Task 025,2025-05-15,,2025-05-18,2025-07-13,56,False,0,0.0,39%,IP,False,False,True,Low,0,,Update_001
Slippages,TSK-026,Task 026,2025-06-16,,2025-06-15,2025-06-28,13,False,0,0.0,19,Complete,False,False,False,Medium,1,Risk Level: Medium (+1 points),Update_001
Slippages,TSK-027,Task 027,2025-09-29,,2025-09-30,2025-11-04,35,False,0,0.0,,Complete,True,False,False,H,3,Risk Level: H (+2 points); Milestone Task (+1 point),Update_001
Slippages,TSK-028,Task 028,2025-01-14,,2025-01-13,2025-02-02,20,False,0,0.0,53%,In Progress,True,True,True,High,5,Risk Level: High (+2 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_001
Slippages,TSK-029,Task 029,2024-11-10,,2024-11-10,2024-12-07,27,False,0,0.0,,In Progress,False,True,True,Low,2,On Critical Path (+2 points),Update_001
Slippages,TSK-030,Task 030,2025-05-07,,2025-05-06,2025-05-22,16,False,0,0.0,,Complete,False,True,False,,2,On Critical Path (+2 points),Update_001
Slippages,TSK-031,Task 031,2024-11-25,,2024-11-22,2024-12-04,12,False,0,0.0,56%,IP,False,False,True,,0,,Update_001
Slippages,TSK-032,Task 032,2025-05-18,,2025-05-18,2025-07-07,50,False,0,0.0,,Complete,True,True,False,,3,On Critical Path (+2 points); Milestone Task (+1 point),Update_001
