task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2025-08-24,2025-09-16,2025-08-26,2025-09-07,Complete,1 days,Complete,FALSE,False,Medium,,Update_008
TSK-002,Task 002,2025-08-29,2025-09-27,2025-08-29,2025-09-12,100%,5 wks,Complete,0,No,,0.05,Update_008
TSK-003,Task 003,2024-11-07,2024-12-24,2024-11-05,2024-12-10,1.0,17,Complete,FALSE,No,High,0.01,Update_008
TSK-004,Task 004,2025-06-11,2025-08-20,2025-06-12,2025-08-07,1.0,,Complete,,0,Medium,0.23,Update_008
TSK-005,Task 005,2025-02-18,2025-04-06,2025-02-15,2025-04-07,Complete,4 wks,Complete,0,,High,,Update_008
TSK-006,Task 006,2025-02-27,2025-04-29,2025-03-01,2025-04-26,1.0,2 days,Complete,False,0,H,,Update_008
TSK-007,Task 007,2025-09-20,2025-10-11,2025-09-20,2025-10-07,100%,3 wks,Complete,,FALSE,Low,0.72,Update_008
TSK-008,Task 008,2025-07-01,2025-08-21,2025-07-03,2025-08-12,Complete,,Complete,,1,,,Update_008
TSK-009,Task 009,2025-05-28,2025-07-05,2025-05-25,2025-06-15,Complete,,Complete,1,0,,0.61,Update_008
TSK-010,Task 010,2024-11-08,2024-12-16,2024-11-08,2024-12-08,100%,5 wks,Complete,,False,Medium,0.07,Update_008
TSK-011,Task 011,2025-08-07,2025-10-07,2025-08-07,2025-10-06,Complete,,Complete,0,Yes,High,,Update_008
TSK-012,Task 012,2025-05-01,2025-06-17,2025-04-29,2025-06-15,100%,,Complete,FALSE,0,,0.86,Update_008
TSK-013,Task 013,2025-02-13,2025-03-30,2025-02-15,2025-03-19,100%,,Complete,FALSE,False,Medium,,Update_008
TSK-014,Task 014,2025-03-12,2025-05-05,2025-03-15,2025-04-02,100%,5 wks,Complete,,1,L,,Update_008
TSK-015,Task 015,2025-02-28,2025-03-28,2025-03-01,2025-03-18,1.0,3 wks,Complete,No,True,L,0.94,Update_008
TSK-016,Task 016,2024-11-23,2025-01-24,2024-11-25,2024-12-26,100%,4 wks,Complete,Yes,Yes,H,0.18,Update_008
TSK-017,Task 017,2025-07-31,2025-09-06,2025-08-02,2025-09-04,100%,2 wks,Complete,FALSE,False,,0.69,Update_008
TSK-018,Task 018,2025-07-10,2025-07-28,2025-07-07,2025-07-30,1.0,,Complete,FALSE,,,,Update_008
TSK-019,Task 019,2025-09-21,2025-11-15,2025-09-22,2025-11-01,Complete,42,Complete,TRUE,,L,0.14,Update_008
TSK-020,Task 020,2025-08-11,2025-09-16,2025-08-10,2025-09-18,Complete,2 wks,Complete,,FALSE,,0.21,Update_008
TSK-021,Task 021,2025-06-05,2025-07-08,2025-06-08,2025-07-06,1.0,42,Complete,True,1,H,0.45,Update_008
TSK-022,Task 022,2025-01-09,2025-03-27,2025-01-10,2025-02-10,Complete,34,Complete,FALSE,False,H,0.66,Update_008
TSK-023,Task 023,2025-06-17,2025-07-30,2025-06-20,2025-07-28,Complete,,Complete,False,1,Medium,,Update_008
TSK-024,Task 024,2025-02-20,2025-03-11,2025-02-22,2025-03-16,100%,,Complete,No,0,L,0.11,Update_008
TSK-025,Task 025,2025-09-17,2025-11-08,2025-09-19,2025-11-12,Complete,,Complete,False,FALSE,High,0.69,Update_008
TSK-026,Task 026,2025-03-08,2025-04-21,2025-03-08,2025-04-22,100%,,Complete,0,No,H,,Update_008
TSK-027,Task 027,2025-09-14,2025-11-04,2025-09-15,2025-10-28,Complete,41,Complete,,False,Medium,,Update_008
TSK-028,Task 028,2024-12-31,2025-02-27,2025-01-01,2025-02-22,Complete,47,Complete,0,0,Low,,Update_008
TSK-029,Task 029,2025-03-29,2025-05-24,2025-03-26,2025-05-03,100%,,Complete,False,No,,,Update_008
TSK-030,Task 030,2025-02-28,2025-05-01,2025-02-25,2025-04-11,100%,14,Complete,TRUE,No,,0.31,Update_008
TSK-031,Task 031,2024-12-15,2025-01-26,2024-12-14,2025-01-28,Complete,1 wks,Complete,FALSE,,High,,Update_008
TSK-032,Task 032,2025-06-24,2025-07-31,2025-06-25,2025-07-25,Complete,4 wks,Complete,True,False,L,0.58,Update_008
TSK-033,Task 033,2025-08-30,2025-10-02,2025-08-29,2025-09-24,1.0,5 wks,Complete,,False,H,,Update_008
TSK-034,Task 034,2025-09-24,,2025-09-27,2025-11-01,0.8556775704010952,5 wks,In Progress,TRUE,True,H,0.86,Update_008
TSK-035,Task 035,2024-11-16,2024-12-20,2024-11-16,2024-12-18,Complete,19,Complete,FALSE,FALSE,,,Update_008
TSK-036,Task 036,2025-03-23,2025-04-25,2025-03-20,2025-04-29,1.0,4 wks,Complete,False,0,Medium,,Update_008
TSK-037,Task 037,2025-05-06,2025-06-09,2025-05-04,2025-05-29,Complete,2 days,Complete,FALSE,0,High,,Update_008
TSK-038,Task 038,2025-06-17,2025-07-24,2025-06-18,2025-07-04,Complete,1 wks,Complete,No,No,Low,,Update_008
TSK-039,Task 039,2024-12-07,2025-02-20,2024-12-10,2025-01-13,Complete,15,Complete,True,FALSE,L,0.8,Update_008
TSK-040,Task 040,2025-01-13,2025-02-19,2025-01-12,2025-02-07,100%,17,Complete,No,No,H,0.38,Update_008
TSK-041,Task 041,2025-03-17,2025-05-28,2025-03-20,2025-05-18,1.0,,Complete,,Yes,High,0.81,Update_008
TSK-042,Task 042,2024-11-29,2025-01-21,2024-11-28,2025-01-12,Complete,4 wks,Complete,0,TRUE,Low,0.45,Update_008
TSK-043,Task 043,2025-08-03,2025-09-13,2025-08-03,2025-08-26,1.0,,Complete,TRUE,False,Low,,Update_008
TSK-044,Task 044,2025-01-31,2025-03-02,2025-01-30,2025-02-27,Complete,6 days,Complete,No,TRUE,H,,Update_008
TSK-045,Task 045,2025-03-26,2025-04-27,2025-03-27,2025-04-29,100%,,Complete,No,,H,,Update_008
TSK-046,Task 046,2025-05-16,2025-07-15,2025-05-18,2025-07-07,100%,3 wks,Complete,No,FALSE,Low,0.1,Update_008
TSK-047,Task 047,2025-09-07,2025-11-07,2025-09-06,2025-10-25,Complete,1 wks,Complete,TRUE,0,,,Update_008
TSK-048,Task 048,2025-03-19,2025-05-04,2025-03-17,2025-04-16,100%,40,Complete,TRUE,No,Medium,,Update_008
TSK-049,Task 049,2025-03-30,2025-04-25,2025-03-27,2025-04-12,1.0,2 wks,Complete,0,0,H,0.24,Update_008
TSK-050,Task 050,2025-06-12,2025-07-27,2025-06-14,2025-07-19,Complete,36,Complete,0,0,L,,Update_008
