task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2025-05-31,2025-07-04,2025-06-01,2025-06-19,Complete,,Complete,False,False,Low,,Update_008
TSK-002,Task 002,2025-07-10,2025-09-06,2025-07-11,2025-08-27,1.0,5 wks,Complete,0,,Low,0.16,Update_008
TSK-003,Task 003,2024-11-30,2024-12-25,2024-11-28,2024-12-08,1.0,2 wks,Complete,No,Yes,,0.09,Update_008
TSK-004,Task 004,2025-06-16,2025-06-27,2025-06-19,2025-07-02,1.0,8 days,Complete,No,No,,0.23,Update_008
TSK-005,Task 005,2025-01-20,2025-02-25,2025-01-18,2025-02-11,100%,5 wks,Complete,False,1,Medium,,Update_008
TSK-006,Task 006,2025-08-15,2025-09-10,2025-08-17,2025-09-08,100%,2 days,Complete,Yes,1,,,Update_008
TSK-007,Task 007,2025-05-28,2025-08-01,2025-05-27,2025-07-26,100%,3 days,Complete,FALSE,Yes,High,,Update_008
TSK-008,Task 008,2025-05-03,2025-07-14,2025-05-06,2025-06-28,1.0,,Complete,False,FALSE,High,0.95,Update_008
TSK-009,Task 009,2025-04-22,2025-05-24,2025-04-19,2025-05-01,100%,,Complete,FALSE,No,L,,Update_008
TSK-010,Task 010,2024-10-28,2024-12-21,2024-10-30,2024-11-30,100%,,Complete,No,TRUE,High,,Update_008
TSK-011,Task 011,2025-08-04,2025-09-10,2025-08-03,2025-08-18,1.0,,Complete,FALSE,Yes,Low,0.43,Update_008
TSK-012,Task 012,2025-10-17,2025-12-31,2025-10-14,2025-11-30,100%,21,Complete,No,No,Low,,Update_008
TSK-013,Task 013,2025-10-01,2025-10-30,2025-10-02,2025-10-31,Complete,10 days,Complete,False,0,High,0.42,Update_008
TSK-014,Task 014,2025-07-15,2025-09-21,2025-07-12,2025-09-06,100%,4 wks,Complete,0,0,L,,Update_008
TSK-015,Task 015,2025-06-06,2025-07-09,2025-06-07,2025-07-04,1.0,2 wks,Complete,FALSE,0,Medium,,Update_008
TSK-016,Task 016,2025-06-07,2025-08-05,2025-06-08,2025-07-20,Complete,27,Complete,No,0,High,0.7,Update_008
TSK-017,Task 017,2025-06-01,2025-06-30,2025-05-30,2025-06-24,Complete,3 wks,Complete,0,,L,,Update_008
TSK-018,Task 018,2025-05-01,2025-06-16,2025-04-29,2025-06-13,1.0,2 wks,Complete,0,,H,,Update_008
TSK-019,Task 019,2025-06-07,2025-08-21,2025-06-10,2025-08-07,1.0,,Complete,FALSE,,Medium,0.56,Update_008
TSK-020,Task 020,2025-08-28,2025-09-23,2025-08-26,2025-09-12,100%,7 days,Complete,FALSE,Yes,,0.27,Update_008
TSK-021,Task 021,2025-05-26,,2025-05-28,2025-06-14,0.8007309032758055,5 days,In Progress,No,,Medium,0.84,Update_008
TSK-022,Task 022,2025-07-11,2025-08-27,2025-07-11,2025-08-16,100%,33,Complete,1,No,L,0.39,Update_008
TSK-023,Task 023,2025-09-05,2025-10-10,2025-09-06,2025-10-13,100%,50,Complete,0,FALSE,High,0.54,Update_008
TSK-024,Task 024,2025-02-23,2025-05-20,2025-02-25,2025-04-26,Complete,36,Complete,0,0,H,0.59,Update_008
TSK-025,Task 025,2024-12-21,2025-01-27,2024-12-20,2025-01-14,100%,4 wks,Complete,1,0,Medium,,Update_008
TSK-026,Task 026,2025-05-05,2025-06-02,2025-05-07,2025-06-05,Complete,,Complete,FALSE,0,High,,Update_008
TSK-027,Task 027,2025-03-19,2025-04-10,2025-03-18,2025-04-08,1.0,49,Complete,0,FALSE,Low,,Update_008
TSK-028,Task 028,2025-06-06,2025-07-29,2025-06-04,2025-07-30,Complete,,Complete,No,Yes,L,0.99,Update_008
TSK-029,Task 029,2024-11-18,2024-12-22,2024-11-17,2024-12-13,Complete,5 days,Complete,FALSE,False,Medium,,Update_008
TSK-030,Task 030,2025-07-24,2025-08-15,2025-07-25,2025-08-10,1.0,1 days,Complete,No,0,,,Update_008
TSK-031,Task 031,2024-11-07,2024-12-20,2024-11-05,2024-12-07,1.0,,Complete,FALSE,True,H,,Update_008
TSK-032,Task 032,2025-09-30,2025-10-29,2025-10-02,2025-10-20,Complete,5 wks,Complete,False,No,High,0.03,Update_008
TSK-033,Task 033,2025-08-22,2025-10-19,2025-08-23,2025-09-22,100%,1 wks,Complete,No,True,Medium,0.54,Update_008
TSK-034,Task 034,2025-08-23,2025-09-09,2025-08-23,2025-09-05,Complete,8 days,Complete,FALSE,False,Low,0.99,Update_008
TSK-035,Task 035,2025-01-06,2025-04-07,2025-01-06,2025-02-24,100%,4 wks,Complete,False,FALSE,Low,0.1,Update_008
TSK-036,Task 036,2025-07-03,2025-09-06,2025-06-30,2025-08-27,100%,,Complete,No,FALSE,Medium,,Update_008
TSK-037,Task 037,2025-06-01,2025-06-21,2025-06-03,2025-06-16,1.0,5,Complete,No,,L,,Update_008
TSK-038,Task 038,2025-09-01,2025-11-22,2025-09-01,2025-10-01,Complete,,Complete,False,TRUE,L,,Update_008
TSK-039,Task 039,2025-03-10,2025-04-05,2025-03-11,2025-04-04,1.0,,Complete,TRUE,True,High,0.51,Update_008
TSK-040,Task 040,2024-12-04,2024-12-24,2024-12-03,2024-12-26,100%,,Complete,False,,Low,,Update_008
TSK-041,Task 041,2025-09-26,2025-11-23,2025-09-29,2025-11-12,100%,10 days,Complete,False,TRUE,L,,Update_008
TSK-042,Task 042,2025-01-02,2025-02-10,2024-12-31,2025-02-05,1.0,2 wks,Complete,False,Yes,,0.52,Update_008
TSK-043,Task 043,2025-02-25,2025-04-24,2025-02-23,2025-03-19,1.0,,Complete,0,1,L,0.49,Update_008
TSK-044,Task 044,2025-04-07,2025-05-04,2025-04-10,2025-05-03,1.0,29,Complete,,,Medium,0.03,Update_008
TSK-045,Task 045,2025-02-13,2025-03-17,2025-02-11,2025-03-06,Complete,24,Complete,TRUE,,High,0.69,Update_008
TSK-046,Task 046,2025-05-06,2025-06-10,2025-05-04,2025-05-27,1.0,20,Complete,False,FALSE,L,0.73,Update_008
TSK-047,Task 047,2025-01-01,2025-03-16,2024-12-30,2025-02-24,100%,29,Complete,No,0,,,Update_008
TSK-048,Task 048,2025-06-26,2025-09-21,2025-06-25,2025-08-19,Complete,,Complete,1,1,,0.21,Update_008
TSK-049,Task 049,2025-05-25,2025-06-04,2025-05-23,2025-06-03,1.0,,Complete,1,TRUE,Medium,0.34,Update_008
TSK-050,Task 050,2025-07-24,2025-10-13,2025-07-22,2025-09-08,Complete,,Complete,0,False,High,,Update_008
