project_name,task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,baseline_duration,is_delayed,delay_days,delay_percentage,percent_complete,status,is_milestone,is_critical,is_active,risk_flag,severity_score,severity_factors,update_phase
Updates,TSK-001,Task 001,2025-07-09,2025-08-24,2025-07-11,2025-07-29,18,False,0,0.0,100%,Complete,False,False,False,Low,0,,Update_011
Updates,TSK-002,Task 002,2025-05-04,2025-07-14,2025-05-07,2025-06-19,43,False,0,0.0,100%,Complete,False,False,False,,0,,Update_011
Updates,TSK-003,Task 003,2025-04-27,2025-05-27,2025-04-30,2025-05-10,10,True,16,160.0,100%,Complete,False,True,False,High,6,Delayed by 16 days (+2 points); Risk Level: High (+2 points); On Critical Path (+2 points),Update_011
Updates,TSK-004,Task 004,2025-05-25,2025-09-10,2025-05-24,2025-07-20,57,False,0,0.0,100%,Complete,False,True,False,L,0,,Update_011
Updates,TSK-005,Task 005,2025-01-20,2025-04-29,2025-01-17,2025-02-28,42,True,59,140.5,Complete,Complete,False,False,False,High,7,Delayed by 59 days (+5 points); Risk Level: High (+2 points),Update_011
Updates,TSK-006,Task 006,2024-11-25,2024-12-12,2024-11-26,2024-12-09,13,False,0,0.0,100%,Complete,False,False,False,,0,,Update_011
Updates,TSK-007,Task 007,2025-02-09,2025-04-18,2025-02-08,2025-03-22,42,False,0,0.0,100%,Complete,False,False,False,H,0,,Update_011
Updates,TSK-008,Task 008,2025-01-28,2025-03-03,2025-01-28,2025-03-08,39,False,0,0.0,100%,Complete,False,True,False,High,0,,Update_011
Updates,TSK-009,Task 009,2025-04-08,2025-05-16,2025-04-07,2025-04-29,22,True,16,72.7,Complete,Complete,False,True,False,High,6,Delayed by 16 days (+2 points); Risk Level: High (+2 points); On Critical Path (+2 points),Update_011
Updates,TSK-010,Task 010,2025-04-23,2025-09-05,2025-04-24,2025-06-12,49,False,0,0.0,100%,Complete,False,True,False,High,0,,Update_011
Updates,TSK-011,Task 011,2025-10-10,2025-11-18,2025-10-07,2025-10-21,14,True,27,192.9,Complete,Complete,True,True,False,L,6,Delayed by 27 days (+3 points); On Critical Path (+2 points); Milestone Task (+1 point),Update_011
Updates,TSK-012,Task 012,2025-03-09,2025-04-21,2025-03-12,2025-04-16,35,False,0,0.0,100%,Complete,False,False,False,H,0,,Update_011
Updates,TSK-013,Task 013,2025-04-17,2025-07-09,2025-04-14,2025-06-08,55,False,0,0.0,100%,Complete,False,True,False,L,0,,Update_011
Updates,TSK-014,Task 014,2024-12-12,2025-03-19,2024-12-14,2025-02-10,58,False,0,0.0,100%,Complete,False,False,False,Low,0,,Update_011
Updates,TSK-015,Task 015,2025-05-12,2025-08-04,2025-05-15,2025-06-05,21,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_011
Updates,TSK-016,Task 016,2025-06-16,2025-10-03,2025-06-17,2025-07-16,29,False,0,0.0,100%,Complete,True,False,False,Low,0,,Update_011
Updates,TSK-017,Task 017,2025-02-17,2025-03-28,2025-02-15,2025-03-03,16,False,0,0.0,100%,Complete,False,False,False,H,0,,Update_011
Updates,TSK-018,Task 018,2024-12-31,2025-02-11,2024-12-31,2025-01-19,19,False,0,0.0,100%,Complete,True,False,False,H,0,,Update_011
Updates,TSK-019,Task 019,2025-07-17,2025-10-02,2025-07-18,2025-08-14,27,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_011
Updates,TSK-020,Task 020,2025-04-10,2025-07-08,2025-04-07,2025-05-24,47,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_011
Updates,TSK-021,Task 021,2024-12-21,2025-02-25,2024-12-23,2025-02-04,43,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_011
Updates,TSK-022,Task 022,2025-08-22,2025-09-21,2025-08-21,2025-09-01,11,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_011
Updates,TSK-023,Task 023,2025-01-11,2025-01-30,2025-01-14,2025-01-30,16,False,0,0.0,100%,Complete,True,False,False,High,0,,Update_011
Updates,TSK-024,Task 024,2025-02-11,2025-06-19,2025-02-14,2025-03-27,41,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_011
Updates,TSK-025,Task 025,2025-05-06,2025-09-09,2025-05-07,2025-06-21,45,True,79,175.6,Complete,Complete,True,False,False,High,8,Delayed by 79 days (+5 points); Risk Level: High (+2 points); Milestone Task (+1 point),Update_011
Updates,TSK-026,Task 026,2025-06-22,2025-08-14,2025-06-19,2025-07-25,36,False,0,0.0,100%,Complete,True,False,False,Medium,0,,Update_011
Updates,TSK-027,Task 027,2025-08-29,2025-11-19,2025-08-29,2025-10-27,59,False,0,0.0,100%,Complete,False,True,False,L,0,,Update_011
Updates,TSK-028,Task 028,2025-07-25,2025-09-03,2025-07-22,2025-08-11,20,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_011
Updates,TSK-029,Task 029,2025-03-22,2025-04-25,2025-03-22,2025-04-13,22,False,0,0.0,100%,Complete,False,False,False,Medium,0,,Update_011
Updates,TSK-030,Task 030,2024-12-02,2024-12-20,2024-12-04,2024-12-17,13,False,0,0.0,100%,Complete,False,False,False,H,0,,Update_011
Updates,TSK-031,Task 031,2025-05-26,2025-08-05,2025-05-26,2025-07-01,36,False,0,0.0,100%,Complete,False,False,False,H,0,,Update_011
Updates,TSK-032,Task 032,2025-04-12,2025-06-01,2025-04-15,2025-05-17,32,True,14,43.8,100%,Complete,False,True,False,H,6,Delayed by 14 days (+2 points); Risk Level: H (+2 points); On Critical Path (+2 points),Update_011
Updates,TSK-033,Task 033,2025-06-03,2025-07-22,2025-06-03,2025-07-08,35,False,0,0.0,100%,Complete,False,False,False,L,0,,Update_011
Updates,TSK-034,Task 034,2025-05-30,2025-07-13,2025-05-30,2025-07-16,47,False,0,0.0,100%,Complete,False,False,False,Low,0,,Update_011
Updates,TSK-035,Task 035,2024-12-20,2025-04-21,2024-12-20,2025-02-02,44,False,0,0.0,100%,Complete,False,False,False,High,0,,Update_011
Updates,TSK-036,Task 036,2025-08-14,2025-10-01,2025-08-12,2025-08-29,17,False,0,0.0,100%,Complete,True,True,False,High,0,,Update_011
