project_name,task_id,update_phase,task_name,baseline_end,end_date,slip_days,severity_score,change_type
Alpha,tsk-005,update_1,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-009,update_1,Task 009,2025-09-22,2025-09-21,-1,0,Early Finish
Alpha,tsk-011,update_1,Task 011,2025-10-20,2025-10-31,11,2,Delay
Alpha,tsk-014,update_1,Task 014,2025-01-09,2025-01-22,13,2,Delay
Alpha,tsk-042,update_1,Task 042,2025-03-13,2025-03-27,14,2,Delay
Alpha,tsk-049,update_1,Task 049,2025-03-15,2025-03-29,14,2,Delay
Alpha,tsk-003,update_2,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-005,update_2,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-006,update_2,Task 006,2024-12-26,2025-01-08,13,2,Delay
Alpha,tsk-009,update_2,Task 009,2025-09-22,2025-09-21,-1,0,Early Finish
Alpha,tsk-011,update_2,Task 011,2025-10-20,2025-10-31,11,2,Delay
Alpha,tsk-012,update_2,Task 012,2025-03-19,2025-03-30,11,2,Delay
Alpha,tsk-014,update_2,Task 014,2025-01-09,2025-01-22,13,2,Delay
Alpha,tsk-025,update_2,Task 025,2025-03-23,2025-04-09,17,2,Delay
Alpha,tsk-026,update_2,Task 026,2025-01-22,2025-02-01,10,2,Delay
Alpha,tsk-030,update_2,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-035,update_2,Task 035,2025-06-23,2025-07-01,8,2,Delay
Alpha,tsk-036,update_2,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-042,update_2,Task 042,2025-03-13,2025-04-02,20,2,Delay
Alpha,tsk-046,update_2,Task 046,2025-01-23,2025-01-25,2,1,Delay
Alpha,tsk-048,update_2,Task 048,2025-02-09,2025-02-20,11,2,Delay
Alpha,tsk-049,update_2,Task 049,2025-03-15,2025-03-29,14,2,Delay
Alpha,tsk-003,update_3,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-005,update_3,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-006,update_3,Task 006,2024-12-26,2025-01-08,13,2,Delay
Alpha,tsk-009,update_3,Task 009,2025-09-22,2025-09-28,6,1,Delay
Alpha,tsk-011,update_3,Task 011,2025-10-20,2025-10-31,11,2,Delay
Alpha,tsk-012,update_3,Task 012,2025-03-19,2025-03-30,11,2,Delay
Alpha,tsk-014,update_3,Task 014,2025-01-09,2025-01-23,14,2,Delay
Alpha,tsk-015,update_3,Task 015,2025-07-11,2025-07-19,8,2,Delay
Alpha,tsk-017,update_3,Task 017,2025-05-20,2025-05-19,-1,0,Early Finish
Alpha,tsk-018,update_3,Task 018,2025-11-26,2025-11-21,-5,0,Early Finish
Alpha,tsk-023,update_3,Task 023,2025-06-03,2025-06-10,7,1,Delay
Alpha,tsk-025,update_3,Task 025,2025-03-23,2025-04-09,17,2,Delay
Alpha,tsk-026,update_3,Task 026,2025-01-22,2025-02-06,15,2,Delay
Alpha,tsk-030,update_3,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-035,update_3,Task 035,2025-06-23,2025-07-01,8,2,Delay
Alpha,tsk-036,update_3,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-037,update_3,Task 037,2025-01-01,2025-01-14,13,2,Delay
Alpha,tsk-039,update_3,Task 039,2025-05-03,2025-05-11,8,2,Delay
Alpha,tsk-042,update_3,Task 042,2025-03-13,2025-04-02,20,2,Delay
Alpha,tsk-045,update_3,Task 045,2025-10-28,2025-11-24,27,2,Delay
Alpha,tsk-046,update_3,Task 046,2025-01-23,2025-01-25,2,1,Delay
Alpha,tsk-048,update_3,Task 048,2025-02-09,2025-02-20,11,2,Delay
Alpha,tsk-049,update_3,Task 049,2025-03-15,2025-04-01,17,2,Delay
Alpha,tsk-050,update_3,Task 050,2025-12-13,2025-12-22,9,2,Delay
Alpha,tsk-001,update_4,Task 001,2025-10-31,2025-11-15,15,2,Delay
Alpha,tsk-002,update_4,Task 002,2025-10-23,2025-11-12,20,2,Delay
Alpha,tsk-003,update_4,Task 003,2025-02-01,2025-02-24,23,2,Delay
Alpha,tsk-005,update_4,Task 005,2025-06-15,2025-06-20,5,1,Delay
Alpha,tsk-006,update_4,Task 006,2024-12-26,2025-01-08,13,2,Delay
Alpha,tsk-009,update_4,Task 009,2025-09-22,2025-10-05,13,2,Delay
Alpha,tsk-011,update_4,Task 011,2025-10-20,2025-11-02,13,2,Delay
Alpha,tsk-012,update_4,Task 012,2025-03-19,2025-04-02,14,2,Delay
Alpha,tsk-014,update_4,Task 014,2025-01-09,2025-01-23,14,2,Delay
Alpha,tsk-015,update_4,Task 015,2025-07-11,2025-07-25,14,2,Delay
Alpha,tsk-017,update_4,Task 017,2025-05-20,2025-05-19,-1,0,Early Finish
Alpha,tsk-018,update_4,Task 018,2025-11-26,2025-11-21,-5,0,Early Finish
Alpha,tsk-023,update_4,Task 023,2025-06-03,2025-06-15,12,2,Delay
Alpha,tsk-025,update_4,Task 025,2025-03-23,2025-04-09,17,2,Delay
Alpha,tsk-026,update_4,Task 026,2025-01-22,2025-02-06,15,2,Delay
Alpha,tsk-027,update_4,Task 027,2025-07-31,2025-08-15,15,2,Delay
Alpha,tsk-030,update_4,Task 030,2025-02-25,2025-03-28,31,3,Delay
Alpha,tsk-033,update_4,Task 033,2025-09-26,2025-10-02,6,1,Delay
Alpha,tsk-035,update_4,Task 035,2025-06-23,2025-07-01,8,2,Delay
Alpha,tsk-036,update_4,Task 036,2025-04-28,2025-05-08,10,2,Delay
Alpha,tsk-037,update_4,Task 037,2025-01-01,2025-01-21,20,2,Delay
Alpha,tsk-039,update_4,Task 039,2025-05-03,2025-05-11,8,2,Delay
Alpha,tsk-041,update_4,Task 041,2025-08-20,2025-09-25,36,3,Delay
Alpha,tsk-042,update_4,Task 042,2025-03-13,2025-04-09,27,2,Delay
