project_name,task_id,task_name,start_date,end_date,baseline_start,baseline_end,duration,percent_complete,update_phase,is_critical,slip_days,severity_score,change_type
Alpha,tsk-001,Task 001,2025-07-17,2025-10-02,2025-07-16,2025-09-08,77.0,0.5981965264824795,Update_008,True,24.0,10.0,Initial
Alpha,tsk-002,Task 002,2025-06-25,2025-07-26,2025-06-25,2025-07-24,31.0,1.0,Update_008,False,2.0,2.0,Initial
Alpha,tsk-003,Task 003,2025-02-11,2025-03-22,2025-02-09,2025-03-16,39.0,0.4972688763997817,Update_008,False,6.0,6.0,Initial
Alpha,tsk-004,Task 004,2025-07-07,2025-07-26,2025-07-05,2025-07-30,19.0,1.0,Update_008,True,-4.0,1.0,Initial
Alpha,tsk-005,Task 005,2025-03-12,2025-05-14,2025-03-11,2025-04-14,63.0,1.0,Update_008,False,30.0,10.0,Initial
Alpha,tsk-006,Task 006,2025-04-02,2025-07-22,2025-03-30,2025-05-27,111.0,0.6672340546282585,Update_008,False,56.0,10.0,Initial
Alpha,tsk-007,Task 007,2025-04-26,2025-08-22,2025-04-23,2025-05-27,118.0,0.904613040087026,Update_008,False,87.0,10.0,Initial
Alpha,tsk-008,Task 008,2025-06-23,2025-09-07,2025-06-21,2025-08-20,76.0,0.5675082099568293,Update_008,False,18.0,10.0,Initial
Alpha,tsk-009,Task 009,2024-11-23,2025-01-24,2024-11-25,2024-12-10,62.0,1.0,Update_008,False,45.0,10.0,Initial
Alpha,tsk-010,Task 010,2025-07-30,2025-09-12,2025-07-30,2025-09-02,44.0,1.0,Update_008,False,10.0,10.0,Initial
Alpha,tsk-011,Task 011,2025-09-20,2025-12-03,2025-09-17,2025-10-17,74.0,0.5072254563291505,Update_008,False,47.0,10.0,Initial
Alpha,tsk-012,Task 012,2024-11-02,2025-01-31,2024-11-05,2024-12-25,90.0,1.0,Update_008,False,37.0,10.0,Initial
Alpha,tsk-013,Task 013,2025-03-18,2025-05-21,2025-03-15,2025-04-02,64.0,0.8026810902100121,Update_008,False,49.0,10.0,Initial
Alpha,tsk-014,Task 014,2025-02-19,2025-04-11,2025-02-20,2025-03-04,51.0,1.0,Update_008,True,38.0,10.0,Initial
Alpha,tsk-015,Task 015,2025-09-20,2026-01-31,2025-09-20,2025-11-04,133.0,1.0,Update_008,False,88.0,10.0,Initial
Alpha,tsk-016,Task 016,2025-09-29,2025-12-25,2025-09-29,2025-11-03,87.0,1.0,Update_008,False,52.0,10.0,Initial
Alpha,tsk-017,Task 017,2025-02-27,2025-05-17,2025-02-24,2025-04-24,79.0,1.0,Update_008,False,23.0,10.0,Initial
Alpha,tsk-018,Task 018,2025-07-06,2025-09-08,2025-07-04,2025-08-01,64.0,1.0,Update_008,False,38.0,10.0,Initial
Alpha,tsk-019,Task 019,2025-05-30,2025-07-17,2025-05-27,2025-06-18,48.0,0.8941258194827555,Update_008,False,29.0,10.0,Initial
Alpha,tsk-020,Task 020,2025-08-20,2025-09-13,2025-08-20,2025-09-18,24.0,1.0,Update_008,False,-5.0,0.0,Initial
Alpha,tsk-021,Task 021,2025-08-31,2025-11-17,2025-08-31,2025-10-16,78.0,1.0,Update_008,False,32.0,10.0,Initial
Alpha,tsk-022,Task 022,2025-01-19,2025-03-09,2025-01-21,2025-01-31,49.0,1.0,Update_008,False,37.0,10.0,Initial
Alpha,tsk-023,Task 023,2025-08-24,2025-12-05,2025-08-23,2025-10-07,103.0,1.0,Update_008,False,59.0,10.0,Initial
Alpha,tsk-024,Task 024,2025-03-10,2025-05-30,2025-03-07,2025-04-23,81.0,0.03854270542704949,Update_008,False,37.0,10.0,Initial
Alpha,tsk-025,Task 025,2025-06-13,2025-07-04,2025-06-12,2025-07-06,21.0,0.8923794782273456,Update_008,False,-2.0,0.0,Initial
Alpha,tsk-026,Task 026,2024-12-14,2025-04-12,2024-12-13,2025-02-11,119.0,0.5518769632669068,Update_008,False,60.0,10.0,Initial
Alpha,tsk-027,Task 027,2025-08-27,2025-10-08,2025-08-27,2025-09-24,42.0,1.0,Update_008,True,14.0,10.0,Initial
Alpha,tsk-028,Task 028,2025-04-08,2025-07-21,2025-04-05,2025-05-20,104.0,1.0,Update_008,True,62.0,10.0,Initial
Alpha,tsk-029,Task 029,2025-09-16,2025-10-27,2025-09-13,2025-10-03,41.0,0.948150201199497,Update_008,False,24.0,10.0,Initial
Alpha,tsk-030,Task 030,2025-10-27,2026-02-25,2025-10-25,2025-12-14,121.0,0.5949724792998055,Update_008,False,73.0,10.0,Initial
Alpha,tsk-031,Task 031,2025-07-12,2025-10-20,2025-07-11,2025-09-09,100.0,0.042620732959932385,Update_008,False,41.0,10.0,Initial
Alpha,tsk-032,Task 032,2024-11-23,2025-02-15,2024-11-24,2024-12-24,84.0,0.5634936684392386,Update_008,False,53.0,10.0,Initial
Alpha,tsk-033,Task 033,2025-07-20,2025-09-08,2025-07-18,2025-08-11,50.0,0.01,Update_008,True,28.0,10.0,Initial
Alpha,tsk-034,Task 034,2025-03-10,2025-06-16,2025-03-12,2025-05-11,98.0,1.0,Update_008,False,36.0,10.0,Initial
Alpha,tsk-035,Task 035,2025-10-07,2025-12-15,2025-10-06,2025-11-21,69.0,0.6575998172956063,Update_008,False,24.0,10.0,Initial
Alpha,tsk-036,Task 036,2025-05-26,2025-09-10,2025-05-26,2025-07-13,107.0,1.0,Update_008,True,59.0,10.0,Initial
Alpha,tsk-037,Task 037,2025-05-18,2025-08-07,2025-05-16,2025-07-07,81.0,1.0,Update_008,False,31.0,10.0,Initial
Alpha,tsk-038,Task 038,2025-10-18,2025-12-18,2025-10-16,2025-10-30,61.0,1.0,Update_008,True,49.0,10.0,Initial
Alpha,tsk-039,Task 039,2025-09-07,2025-10-31,2025-09-04,2025-11-03,54.0,1.0,Update_008,False,-3.0,0.0,Initial
Alpha,tsk-040,Task 040,2025-10-18,2025-10-30,2025-10-18,2025-11-03,12.0,1.0,Update_008,True,-4.0,1.0,Initial
Alpha,tsk-041,Task 041,2025-03-28,NA,2025-03-30,2025-05-25,NA,0.8471016209759468,Update_008,True,0.0,0.0,Initial
Alpha,tsk-042,Task 042,2024-12-23,2025-01-25,2024-12-25,2025-01-12,33.0,0.14193171298788687,Update_008,False,13.0,10.0,Initial
Alpha,tsk-043,Task 043,2025-05-01,2025-05-31,2025-04-29,2025-05-23,30.0,1.0,Update_008,False,8.0,8.0,Initial
Alpha,tsk-044,Task 044,2025-07-13,2025-09-26,2025-07-14,2025-08-14,75.0,0.9087150157293142,Update_008,False,43.0,10.0,Initial
Alpha,tsk-045,Task 045,2025-04-21,2025-06-01,2025-04-22,2025-05-31,41.0,1.0,Update_008,False,1.0,1.0,Initial
Alpha,tsk-046,Task 046,2025-09-29,2025-11-05,2025-10-02,2025-11-07,37.0,1.0,Update_008,False,-2.0,0.0,Initial
Alpha,tsk-047,Task 047,2024-12-21,2025-02-05,2024-12-21,2024-12-31,46.0,0.15447931504042772,Update_008,True,36.0,10.0,Initial
Alpha,tsk-048,Task 048,2025-04-23,2025-07-07,2025-04-20,2025-06-05,75.0,1.0,Update_008,True,32.0,10.0,Initial
Alpha,tsk-049,Task 049,2025-01-03,2025-04-05,2025-01-04,2025-02-27,92.0,1.0,Update_008,True,37.0,10.0,Initial
Alpha,tsk-050,Task 050,2025-04-01,2025-05-01,2025-03-29,2025-04-19,30.0,1.0,Update_008,False,12.0,10.0,Initial
Alpha,tsk-051,Task 051,2025-10-21,2026-01-20,2025-10-20,2025-11-29,91.0,1.0,Update_008,False,52.0,10.0,Initial
Alpha,tsk-052,Task 052,2025-04-12,2025-05-25,2025-04-15,2025-04-29,43.0,0.6097561077310321,Update_008,False,26.0,10.0,Initial
Alpha,tsk-053,Task 053,2025-06-07,2025-08-07,2025-06-09,2025-07-15,61.0,1.0,Update_008,False,23.0,10.0,Initial
