project_name,task_id,task_name,update_phase,predicted_end_date,forecast_confidence,model_type,low_confidence_flag,severity_score
Beta,tsk-001,Task 001,latest,2025-02-04,0.5483920694912485,Synthetic Demo,True,0
Beta,tsk-002,Task 002,latest,2025-05-04,0.5128705377438848,Synthetic Demo,True,0
Beta,tsk-003,Task 003,latest,2025-07-11,0.8743722130976186,Synthetic Demo,False,0
Beta,tsk-004,Task 004,latest,2025-09-01,0.49196089451824754,Synthetic Demo,True,0
Beta,tsk-005,Task 005,latest,2025-07-24,0.5731509079942663,Synthetic Demo,True,0
Beta,tsk-006,Task 006,latest,2025-11-12,0.6599604440027406,Synthetic Demo,True,0
Beta,tsk-007,Task 007,latest,2025-07-11,0.9022480193587833,Synthetic Demo,False,0
Beta,tsk-008,Task 008,latest,2025-03-20,0.7609143810532869,Synthetic Demo,False,0
Beta,tsk-009,Task 009,latest,2025-10-07,0.6501900312035006,Synthetic Demo,True,0
Beta,tsk-010,Task 010,latest,2025-11-22,0.8377563131057959,Synthetic Demo,False,0
Beta,tsk-011,Task 011,latest,2025-01-12,0.7455235310742564,Synthetic Demo,False,0
Beta,tsk-012,Task 012,latest,2025-06-18,0.7085677802588437,Synthetic Demo,False,0
Beta,tsk-013,Task 013,latest,2025-11-15,0.5205967752373752,Synthetic Demo,True,0
Beta,tsk-014,Task 014,latest,2025-02-10,0.7539824726431005,Synthetic Demo,False,0
Beta,tsk-015,Task 015,latest,2025-07-30,0.8746680466710675,Synthetic Demo,False,0
