project_name,task_id,task_name,recommendation,severity,confidence,trigger
Beta,tsk-001,Task 001,"Task shows significant slippage (24 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-003,Task 003,"Task shows significant slippage (79 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-004,Task 004,"Task shows significant slippage (24 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-005,Task 005,"Task shows significant slippage (93 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-006,Task 006,"Task shows significant slippage (21 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-007,Task 007,"Task shows significant slippage (41 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-008,Task 008,"Task shows significant slippage (123 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-010,Task 010,"Task shows significant slippage (50 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-011,Task 011,"Task shows significant slippage (25 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-012,Task 012,"Task shows significant slippage (34 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-013,Task 013,"Task shows significant slippage (15 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-014,Task 014,"Task shows significant slippage (30 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-015,Task 015,"Task shows significant slippage (72 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-017,Task 017,"Task shows significant slippage (28 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-018,Task 018,"Task shows significant slippage (94 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-019,Task 019,"Task shows significant slippage (73 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Beta,tsk-020,Task 020,"Task shows significant slippage (71 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
