project_name,task_id,task_name,start_date,end_date,baseline_start,baseline_end,duration,percent_complete,update_phase,is_critical,slip_days,severity_score,change_type
Beta,tsk-001,Task 001,2025-01-08,2025-02-22,2025-01-06,2025-01-29,45.0,0.6412608437865553,Update_011,True,24.0,10.0,No Change
Beta,tsk-002,Task 002,2025-02-20,2025-02-26,2025-02-18,2025-04-19,6.0,1.0,Update_011,False,-52.0,0.0,No Change
Beta,tsk-003,Task 003,2025-04-28,2025-09-01,2025-04-30,2025-06-14,126.0,0.5603052243501304,Update_011,False,79.0,10.0,No Change
Beta,tsk-004,Task 004,2025-07-18,2025-09-29,2025-07-21,2025-09-05,73.0,1.0,Update_011,False,24.0,10.0,No Change
Beta,tsk-005,Task 005,2025-06-07,2025-09-09,2025-06-04,2025-07-16,94.0,1.0,Update_011,True,55.0,10.0,No Change
Beta,tsk-006,Task 006,2025-09-04,2025-11-23,2025-09-03,2025-11-02,80.0,0.7784461848534532,Update_011,False,21.0,10.0,No Change
Beta,tsk-007,Task 007,2025-06-01,2025-07-18,2025-05-29,2025-06-15,47.0,0.8137373109989952,Update_011,False,33.0,10.0,No Change
Beta,tsk-008,Task 008,2025-02-11,2025-04-29,2025-02-13,2025-03-07,77.0,0.4557424296291297,Update_011,False,53.0,10.0,No Change
Beta,tsk-009,Task 009,2025-09-08,2025-10-04,2025-09-10,2025-10-03,26.0,1.0,Update_011,False,1.0,1.0,No Change
Beta,tsk-010,Task 010,2025-10-11,2026-01-07,2025-10-13,2025-11-18,88.0,1.0,Update_011,False,50.0,10.0,No Change
Beta,tsk-011,Task 011,2024-11-20,2025-01-07,2024-11-17,2024-12-13,48.0,0.4714178648217335,Update_011,False,25.0,10.0,No Change
Beta,tsk-012,Task 012,2025-05-13,2025-07-27,2025-05-15,2025-06-23,75.0,1.0,Update_011,True,34.0,10.0,No Change
Beta,tsk-013,Task 013,2025-10-26,2025-11-28,2025-10-28,2025-11-13,33.0,0.9305148310851394,Update_011,False,15.0,10.0,No Change
Beta,tsk-014,Task 014,2024-12-10,2025-03-08,2024-12-09,2025-02-06,88.0,1.0,Update_011,True,30.0,10.0,No Change
Beta,tsk-015,Task 015,2025-07-12,2025-10-01,2025-07-10,2025-07-21,81.0,1.0,Update_011,False,72.0,10.0,No Change
Beta,tsk-016,Task 016,2025-10-25,2025-11-04,2025-10-25,2025-11-15,10.0,1.0,Update_011,False,-11.0,0.0,No Change
Beta,tsk-017,Task 017,2024-12-04,2025-01-07,2024-12-04,2024-12-15,34.0,1.0,Update_011,False,23.0,10.0,No Change
Beta,tsk-018,Task 018,2025-02-11,2025-05-27,2025-02-11,2025-02-22,105.0,1.0,Update_011,False,94.0,10.0,No Change
Beta,tsk-019,Task 019,2025-04-06,2025-07-28,2025-04-06,2025-05-26,113.0,0.8115429802443814,Update_011,False,63.0,10.0,No Change
Beta,tsk-020,Task 020,2025-01-15,2025-04-30,2025-01-17,2025-02-18,105.0,1.0,Update_011,False,71.0,10.0,No Change
Beta,tsk-021,Task 021,2024-12-05,2025-02-14,2024-12-03,2025-01-21,71.0,1.0,Update_011,True,24.0,10.0,No Change
Beta,tsk-022,Task 022,2025-03-08,2025-06-17,2025-03-11,2025-04-30,101.0,1.0,Update_011,True,48.0,10.0,No Change
Beta,tsk-023,Task 023,2025-10-21,2025-12-28,2025-10-22,2025-11-13,68.0,1.0,Update_011,True,45.0,10.0,No Change
Beta,tsk-024,Task 024,2025-02-15,2025-06-16,2025-02-13,2025-04-01,121.0,0.01416714741327908,Update_011,False,76.0,10.0,No Change
Beta,tsk-025,Task 025,2025-06-28,2025-09-29,2025-06-25,2025-07-18,93.0,0.01,Update_011,False,73.0,10.0,No Change
Beta,tsk-026,Task 026,2025-07-08,2025-07-22,2025-07-10,2025-07-20,14.0,0.904613040087026,Update_011,False,2.0,2.0,No Change
Beta,tsk-027,Task 027,2024-12-10,2025-03-11,2024-12-11,2025-01-20,91.0,0.44164343279382956,Update_011,False,50.0,10.0,No Change
Beta,tsk-028,Task 028,2025-06-08,2025-07-05,2025-06-11,2025-07-02,27.0,1.0,Update_011,False,3.0,3.0,No Change
Beta,tsk-029,Task 029,2025-02-05,2025-06-02,2025-02-04,2025-04-02,117.0,1.0,Update_011,False,61.0,10.0,No Change
Beta,tsk-030,Task 030,2025-06-01,2025-08-08,2025-05-29,2025-07-25,68.0,0.9032603594641604,Update_011,True,14.0,10.0,No Change
Beta,tsk-031,Task 031,2025-10-16,2025-12-21,2025-10-14,2025-11-06,66.0,0.6672340546282585,Update_011,False,45.0,10.0,No Change
Beta,tsk-032,Task 032,2025-10-10,2025-12-07,2025-10-11,2025-11-15,58.0,0.019607560572259833,Update_011,False,22.0,10.0,No Change
Beta,tsk-033,Task 033,2025-02-18,2025-06-18,2025-02-20,2025-03-30,120.0,0.6381540069280176,Update_011,False,80.0,10.0,No Change
Beta,tsk-034,Task 034,2025-04-26,2025-05-30,2025-04-23,2025-05-20,34.0,1.0,Update_011,True,10.0,10.0,No Change
Beta,tsk-035,Task 035,2025-03-29,2025-04-30,2025-03-31,2025-04-15,32.0,0.600878004132497,Update_011,False,15.0,10.0,No Change
Beta,tsk-036,Task 036,2024-11-24,2025-01-14,2024-11-25,2024-12-05,51.0,1.0,Update_011,True,40.0,10.0,No Change
Beta,tsk-037,Task 037,2024-11-20,2025-01-19,2024-11-23,2025-01-12,60.0,1.0,Update_011,True,7.0,10.0,No Change
Beta,tsk-038,Task 038,2024-12-08,2025-01-07,2024-12-10,2025-01-13,30.0,1.0,Update_011,False,-6.0,0.0,No Change
Beta,tsk-039,Task 039,2025-01-16,2025-04-12,2025-01-17,2025-02-14,86.0,1.0,Update_011,False,57.0,10.0,No Change
Beta,tsk-040,Task 040,2024-11-27,2025-01-26,2024-11-27,2024-12-08,60.0,1.0,Update_011,False,49.0,10.0,No Change
Beta,tsk-041,Task 041,2025-04-03,2025-06-02,2025-04-05,2025-04-29,60.0,0.2522831136053365,Update_011,False,34.0,10.0,No Change
Beta,tsk-042,Task 042,2025-02-09,2025-04-08,2025-02-09,2025-02-25,58.0,1.0,Update_011,False,42.0,10.0,No Change
