project_name,task_id,task_name,baseline_end_date,actual_finish,slip_days,severity_score,deviation_percentage,no_milestones
Delta,tsk-006,Task 006,2025-07-29,2025-07-20,-9.0,0.0,4.5,False
Delta,tsk-013,Task 013,2025-06-08,2025-07-01,23.0,10.0,78.30739345990621,False
Delta,tsk-018,Task 018,2025-04-02,2025-05-22,50.0,10.0,89.76495616342777,False
Delta,tsk-021,Task 021,2025-12-25,2026-02-08,45.0,10.0,88.19652410885509,False
Delta,tsk-025,Task 025,2025-05-22,2025-07-20,59.0,10.0,92.23529376342752,False
Delta,tsk-026,Task 026,2025-01-07,2025-01-31,24.0,10.0,78.92790030352131,False
Delta,tsk-031,Task 031,2025-06-20,2025-07-27,37.0,10.0,85.29242588158834,False
Delta,tsk-032,Task 032,2025-11-27,2025-12-08,11.0,10.0,67.77134361166686,False
Delta,tsk-034,Task 034,2025-06-02,2025-06-28,26.0,10.0,80.09773174556454,False
Delta,tsk-042,Task 042,2025-07-16,2025-09-24,70.0,10.0,94.79404220516763,False
Delta,tsk-046,Task 046,2025-08-17,2025-09-06,20.0,10.0,76.27767531568716,False
Delta,tsk-047,Task 047,2025-01-18,2025-01-29,11.0,10.0,67.77134361166686,False
Delta,tsk-048,Task 048,2025-01-14,2025-01-31,17.0,10.0,73.9345376786157,False
Delta,tsk-057,Task 057,2025-04-28,2025-05-31,29.0,10.0,81.69924391518819,False
Delta,tsk-058,Task 058,2025-07-10,2025-07-01,-9.0,0.0,4.5,False
Delta,tsk-059,Task 059,2025-07-26,2025-08-18,23.0,10.0,78.30739345990621,False
Delta,tsk-060,Task 060,2025-02-03,2025-04-16,72.0,10.0,95.21630010421595,False
Delta,tsk-061,Task 061,2025-07-06,2025-08-07,102.0,10.0,100.0,False
Delta,tsk-063,Task 063,2025-02-25,2025-04-24,58.0,10.0,91.97982040747505,False
Delta,tsk-064,Task 064,2025-09-15,2025-09-29,14.0,10.0,71.16319406694885,False
Delta,tsk-070,Task 070,2025-04-04,2025-05-02,28.0,10.0,81.18392992646346,False
Delta,tsk-006,Task 006,2025-07-29,2025-07-20,-9.0,0.0,4.5,False
Delta,tsk-013,Task 013,2025-06-08,2025-07-01,23.0,10.0,78.30739345990621,False
Delta,tsk-018,Task 018,2025-04-02,2025-05-22,50.0,10.0,89.76495616342777,False
Delta,tsk-021,Task 021,2025-12-25,2026-02-08,45.0,10.0,88.19652410885509,False
Delta,tsk-025,Task 025,2025-05-22,2025-07-20,59.0,10.0,92.23529376342752,False
Delta,tsk-026,Task 026,2025-01-07,2025-01-31,24.0,10.0,78.92790030352131,False
Delta,tsk-031,Task 031,2025-06-20,2025-07-27,37.0,10.0,85.29242588158834,False
Delta,tsk-032,Task 032,2025-11-27,2025-12-08,11.0,10.0,67.77134361166686,False
Delta,tsk-034,Task 034,2025-06-02,2025-06-28,26.0,10.0,80.09773174556454,False
Delta,tsk-042,Task 042,2025-07-16,2025-09-24,70.0,10.0,94.79404220516763,False
Delta,tsk-046,Task 046,2025-08-17,2025-09-06,20.0,10.0,76.27767531568716,False
Delta,tsk-047,Task 047,2025-01-18,2025-01-29,11.0,10.0,67.77134361166686,False
Delta,tsk-048,Task 048,2025-01-14,2025-01-31,17.0,10.0,73.9345376786157,False
Delta,tsk-057,Task 057,2025-04-28,2025-05-31,29.0,10.0,81.69924391518819,False
Delta,tsk-058,Task 058,2025-07-10,2025-07-01,-9.0,0.0,4.5,False
Delta,tsk-059,Task 059,2025-07-26,2025-08-18,23.0,10.0,78.30739345990621,False
Delta,tsk-060,Task 060,2025-02-03,2025-04-16,72.0,10.0,95.21630010421595,False
Delta,tsk-061,Task 061,2025-07-06,2025-08-07,102.0,10.0,100.0,False
Delta,tsk-063,Task 063,2025-02-25,2025-04-24,58.0,10.0,91.97982040747505,False
Delta,tsk-064,Task 064,2025-09-15,2025-09-29,14.0,10.0,71.16319406694885,False
Delta,tsk-070,Task 070,2025-04-04,2025-05-02,28.0,10.0,81.18392992646346,False
Delta,tsk-006,Task 006,2025-07-29,NA,-9.0,0.0,4.5,False
Delta,tsk-013,Task 013,2025-06-08,NA,23.0,10.0,78.30739345990621,False
Delta,tsk-018,Task 018,2025-04-02,NA,50.0,10.0,89.76495616342777,False
Delta,tsk-021,Task 021,2025-12-25,NA,45.0,10.0,88.19652410885509,False
Delta,tsk-025,Task 025,2025-05-22,NA,59.0,10.0,92.23529376342752,False
Delta,tsk-026,Task 026,2025-01-07,NA,24.0,10.0,78.92790030352131,False
Delta,tsk-031,Task 031,2025-06-20,NA,37.0,10.0,85.29242588158834,False
Delta,tsk-032,Task 032,2025-11-27,NA,11.0,10.0,67.77134361166686,False
Delta,tsk-034,Task 034,2025-06-02,NA,26.0,10.0,80.09773174556454,False
Delta,tsk-042,Task 042,2025-07-16,NA,70.0,10.0,94.79404220516763,False
Delta,tsk-046,Task 046,2025-08-17,NA,20.0,10.0,76.27767531568716,False
Delta,tsk-047,Task 047,2025-01-18,NA,11.0,10.0,67.77134361166686,False
Delta,tsk-048,Task 048,2025-01-14,NA,17.0,10.0,73.9345376786157,False
Delta,tsk-057,Task 057,2025-04-28,NA,29.0,10.0,81.69924391518819,False
Delta,tsk-058,Task 058,2025-07-10,NA,-9.0,0.0,4.5,False
Delta,tsk-059,Task 059,2025-07-26,NA,23.0,10.0,78.30739345990621,False
Delta,tsk-060,Task 060,2025-02-03,NA,72.0,10.0,95.21630010421595,False
Delta,tsk-061,Task 061,2025-07-06,NA,102.0,10.0,100.0,False
Delta,tsk-063,Task 063,2025-02-25,NA,58.0,10.0,91.97982040747505,False
Delta,tsk-064,Task 064,2025-09-15,NA,14.0,10.0,71.16319406694885,False
Delta,tsk-070,Task 070,2025-04-04,NA,28.0,10.0,81.18392992646346,False
Delta,tsk-006,Task 006,2025-07-29,2025-07-20,-9.0,0.0,4.5,False
Delta,tsk-013,Task 013,2025-06-08,2025-07-01,23.0,10.0,78.30739345990621,False
Delta,tsk-018,Task 018,2025-04-02,2025-05-22,50.0,10.0,89.76495616342777,False
