project_name,task_id,task_name,start_date,end_date,baseline_start,baseline_end,duration,percent_complete,update_phase,is_critical,slip_days,severity_score,change_type
Delta,tsk-001,Task 001,2025-06-13,2025-09-13,2025-06-12,2025-08-04,92.0,0.6753609585710945,Update_008,False,40.0,10.0,No Change
Delta,tsk-002,Task 002,2025-01-02,2025-02-12,2025-01-02,2025-01-19,41.0,1.0,Update_008,False,24.0,10.0,No Change
Delta,tsk-003,Task 003,2025-03-07,2025-05-16,2025-03-10,2025-03-24,70.0,0.4972688763997817,Update_008,False,53.0,10.0,No Change
Delta,tsk-004,Task 004,2025-03-13,2025-06-18,2025-03-12,2025-04-24,97.0,1.0,Update_008,False,55.0,10.0,No Change
Delta,tsk-005,Task 005,2025-06-22,2025-09-14,2025-06-23,2025-08-13,84.0,1.0,Update_008,False,32.0,10.0,No Change
Delta,tsk-006,Task 006,2025-07-11,2025-07-20,2025-07-13,2025-07-29,9.0,0.4819937181663284,Update_008,False,-9.0,0.0,No Change
Delta,tsk-007,Task 007,2025-06-18,2025-08-26,2025-06-16,2025-07-22,69.0,0.8446023511058827,Update_008,False,35.0,10.0,No Change
Delta,tsk-008,Task 008,2025-07-11,2025-10-01,2025-07-13,2025-07-23,82.0,0.553255411299799,Update_008,False,70.0,10.0,Slipped Further
Delta,tsk-009,Task 009,2025-06-23,2025-10-08,2025-06-22,2025-08-04,107.0,1.0,Update_008,False,65.0,10.0,No Change
Delta,tsk-010,Task 010,2025-09-12,2025-11-18,2025-09-14,2025-10-26,67.0,1.0,Update_008,False,23.0,10.0,No Change
Delta,tsk-011,Task 011,2025-06-12,2025-09-17,2025-06-15,2025-08-10,97.0,0.6496595631396537,Update_008,False,38.0,10.0,No Change
Delta,tsk-012,Task 012,2025-09-05,2025-12-07,2025-09-02,2025-10-22,93.0,1.0,Update_008,True,46.0,10.0,No Change
Delta,tsk-013,Task 013,2025-04-20,2025-07-01,2025-04-23,2025-06-08,72.0,0.9481583584604047,Update_008,True,23.0,10.0,No Change
Delta,tsk-014,Task 014,2025-10-20,2026-02-18,2025-10-19,2025-12-13,121.0,1.0,Update_008,False,67.0,10.0,No Change
Delta,tsk-015,Task 015,2025-05-21,2025-08-14,2025-05-23,2025-06-30,85.0,1.0,Update_008,False,45.0,10.0,No Change
Delta,tsk-016,Task 016,2025-08-31,2025-11-11,2025-08-28,2025-10-14,72.0,1.0,Update_008,False,28.0,10.0,No Change
Delta,tsk-017,Task 017,2025-04-29,2025-08-27,2025-05-02,2025-06-29,120.0,1.0,Update_008,False,59.0,10.0,No Change
