project_name,task_id,task_name,update_phase,predicted_end_date,forecast_confidence,model_type,low_confidence_flag,severity_score
Gamma,tsk-001,Task 001,latest,2025-09-18,0.8141814097036463,Synthetic Demo,False,0
Gamma,tsk-002,Task 002,latest,2025-12-06,0.5669986361972597,Synthetic Demo,True,0
Gamma,tsk-003,Task 003,latest,2025-05-08,0.9339736407322062,Synthetic Demo,False,2
Gamma,tsk-004,Task 004,latest,2025-09-06,0.8313265333617303,Synthetic Demo,False,0
Gamma,tsk-005,Task 005,latest,2025-05-25,0.6534171001980595,Synthetic Demo,True,3
Gamma,tsk-006,Task 006,latest,2025-04-04,0.9295153505856618,Synthetic Demo,False,1
Gamma,tsk-007,Task 007,latest,2025-01-22,0.7918664515499214,Synthetic Demo,False,0
Gamma,tsk-008,Task 008,latest,2025-05-13,0.5555098953095697,Synthetic Demo,True,0
Gamma,tsk-009,Task 009,latest,2024-12-17,0.9296793375444263,Synthetic Demo,False,0
Gamma,tsk-010,Task 010,latest,2025-01-14,0.4893551444648543,Synthetic Demo,True,0
Gamma,tsk-011,Task 011,latest,2024-11-21,0.84151088740761,Synthetic Demo,False,0
Gamma,tsk-012,Task 012,latest,2025-03-14,0.35348276279240204,Synthetic Demo,True,0
Gamma,tsk-013,Task 013,latest,2025-03-14,0.6637493400585178,Synthetic Demo,True,0
Gamma,tsk-014,Task 014,latest,2025-11-20,0.7675631604651428,Synthetic Demo,False,1
Gamma,tsk-015,Task 015,latest,2025-08-13,0.6401752945254741,Synthetic Demo,True,0
