project_name,task_id,task_name,start_date,end_date,baseline_start,baseline_end,duration,percent_complete,update_phase,is_critical,slip_days,severity_score,change_type
Gamma,tsk-001,Task 001,2025-08-14,2025-10-31,2025-08-11,2025-09-21,78.0,1.0,Update_005,True,40.0,10.0,No Change
Gamma,tsk-002,Task 002,2025-10-26,2025-12-09,2025-10-25,2025-11-15,44.0,1.0,Update_005,True,24.0,10.0,No Change
Gamma,tsk-003,Task 003,2025-04-15,NA,2025-04-15,2025-04-29,NA,0.026630125970038106,Update_005,False,0.0,0.0,Initial
Gamma,tsk-004,Task 004,2025-08-06,2025-09-28,2025-08-08,2025-09-04,53.0,0.6496595631396537,Update_005,False,24.0,10.0,No Change
Gamma,tsk-005,Task 005,2025-05-17,NA,2025-05-14,2025-05-24,NA,0.7780786967184166,Update_005,True,0.0,0.0,Initial
Gamma,tsk-006,Task 006,2025-02-26,NA,2025-02-27,2025-03-19,NA,0.47650078400608675,Update_005,False,0.0,0.0,Initial
Gamma,tsk-007,Task 007,2024-12-21,2025-02-16,2024-12-21,2025-01-08,57.0,1.0,Update_005,True,39.0,10.0,No Change
Gamma,tsk-008,Task 008,2025-03-28,2025-05-14,2025-03-25,2025-05-09,47.0,1.0,Update_005,False,5.0,5.0,No Change
Gamma,tsk-009,Task 009,2024-11-05,2024-12-15,2024-11-05,2024-11-21,40.0,0.6529057151678122,Update_005,False,24.0,10.0,No Change
Gamma,tsk-010,Task 010,2024-12-24,2025-01-26,2024-12-23,2025-01-16,33.0,0.8046774702591928,Update_005,True,10.0,10.0,No Change
Gamma,tsk-011,Task 011,2024-11-07,2024-12-17,2024-11-05,2024-11-20,40.0,0.758534327408448,Update_005,False,27.0,10.0,No Change
Gamma,tsk-012,Task 012,2025-01-04,2025-03-28,2025-01-05,2025-03-02,83.0,1.0,Update_005,False,26.0,10.0,No Change
Gamma,tsk-013,Task 013,2025-02-08,2025-03-27,2025-02-08,2025-03-09,47.0,1.0,Update_005,False,18.0,10.0,No Change
Gamma,tsk-014,Task 014,2025-09-26,2025-11-15,2025-09-24,2025-11-05,50.0,0.4820558561928029,Update_005,False,10.0,10.0,Initial
Gamma,tsk-015,Task 015,2025-06-04,2025-09-07,2025-06-02,2025-07-27,95.0,1.0,Update_005,False,42.0,10.0,No Change
Gamma,tsk-016,Task 016,2025-05-06,2025-07-30,2025-05-03,2025-06-26,85.0,1.0,Update_005,False,34.0,10.0,No Change
Gamma,tsk-017,Task 017,2025-06-23,2025-07-06,2025-06-25,2025-08-04,13.0,1.0,Update_005,True,-29.0,0.0,Initial
Gamma,tsk-018,Task 018,2024-11-27,2025-01-11,2024-11-24,2024-12-27,45.0,1.0,Update_005,True,15.0,10.0,No Change
Gamma,tsk-019,Task 019,2025-10-04,NA,2025-10-01,2025-11-05,NA,0.8471016209759468,Update_005,True,0.0,0.0,Initial
Gamma,tsk-020,Task 020,2025-11-01,2025-12-05,2025-10-29,2025-11-09,34.0,1.0,Update_005,False,26.0,10.0,No Change
Gamma,tsk-021,Task 021,2025-04-10,2025-06-18,2025-04-07,2025-06-03,69.0,1.0,Update_005,True,15.0,10.0,No Change
Gamma,tsk-022,Task 022,2025-04-20,2025-08-02,2025-04-17,2025-06-14,104.0,1.0,Update_005,False,49.0,10.0,No Change
Gamma,tsk-023,Task 023,2024-12-05,2025-03-28,2024-12-08,2025-02-03,113.0,0.941608900952992,Update_005,False,53.0,10.0,No Change
Gamma,tsk-024,Task 024,2025-03-20,NA,2025-03-22,2025-05-11,NA,0.8805067581682666,Update_005,False,0.0,0.0,Initial
Gamma,tsk-025,Task 025,2025-08-11,NA,2025-08-09,2025-08-25,NA,0.009899999999999999,Update_005,False,0.0,0.0,Initial
Gamma,tsk-026,Task 026,2025-05-16,2025-06-20,2025-05-16,2025-06-07,35.0,1.0,Update_005,True,13.0,10.0,No Change
Gamma,tsk-027,Task 027,2025-08-22,2025-12-03,2025-08-20,2025-10-04,103.0,1.0,Update_005,False,60.0,10.0,No Change
Gamma,tsk-028,Task 028,2025-02-13,2025-05-09,2025-02-12,2025-03-31,85.0,1.0,Update_005,False,39.0,10.0,No Change
Gamma,tsk-029,Task 029,2024-11-09,NA,2024-11-08,2024-12-20,NA,0.4112753248059926,Update_005,False,0.0,0.0,Initial
Gamma,tsk-030,Task 030,2025-01-03,2025-03-12,2025-01-04,2025-02-25,68.0,1.0,Update_005,False,15.0,10.0,Initial
Gamma,tsk-031,Task 031,2025-06-29,2025-09-10,2025-07-01,2025-08-13,73.0,0.01,Update_005,False,28.0,10.0,Initial
Gamma,tsk-032,Task 032,2025-09-13,2025-12-29,2025-09-14,2025-10-13,107.0,0.036695495947685085,Update_005,True,77.0,10.0,No Change
Gamma,tsk-033,Task 033,2025-06-30,NA,2025-06-27,2025-08-10,NA,0.5772583744593964,Update_005,False,0.0,0.0,Initial
Gamma,tsk-034,Task 034,2025-01-16,2025-04-14,2025-01-15,2025-03-10,88.0,0.9425356030731203,Update_005,False,35.0,10.0,No Change
Gamma,tsk-035,Task 035,2025-01-17,2025-04-18,2025-01-20,2025-03-03,91.0,0.48396223723823434,Update_005,False,46.0,10.0,Slipped Further
Gamma,tsk-036,Task 036,2025-07-05,2025-10-19,2025-07-02,2025-08-29,106.0,1.0,Update_005,True,51.0,10.0,No Change
Gamma,tsk-037,Task 037,2025-04-19,2025-04-27,2025-04-20,2025-05-20,8.0,0.01,Update_005,False,-23.0,0.0,No Change
Gamma,tsk-038,Task 038,2025-09-09,2025-12-28,2025-09-11,2025-10-27,110.0,1.0,Update_005,False,62.0,10.0,No Change
Gamma,tsk-039,Task 039,2025-06-06,2025-07-30,2025-06-06,2025-07-04,54.0,0.8533509074697424,Update_005,True,26.0,10.0,No Change
Gamma,tsk-040,Task 040,2025-04-19,NA,2025-04-17,2025-05-28,NA,0.3007391010998555,Update_005,False,0.0,0.0,Initial
Gamma,tsk-041,Task 041,2025-07-28,2025-09-08,2025-07-30,2025-08-24,42.0,0.5763050987752913,Update_005,False,15.0,10.0,No Change
Gamma,tsk-042,Task 042,2025-09-22,2025-11-12,2025-09-19,2025-10-20,51.0,0.2817324458070662,Update_005,False,23.0,10.0,No Change
Gamma,tsk-043,Task 043,2024-12-12,2025-03-06,2024-12-14,2025-02-12,84.0,0.5333996686764577,Update_005,False,22.0,10.0,No Change
Gamma,tsk-044,Task 044,2025-09-21,2025-11-05,2025-09-22,2025-10-14,45.0,1.0,Update_005,False,22.0,10.0,No Change
Gamma,tsk-045,Task 045,2025-06-02,2025-06-13,2025-06-02,2025-06-12,11.0,0.4018528092018412,Update_005,True,1.0,6.0,No Change
Gamma,tsk-046,Task 046,2025-07-29,2025-10-24,2025-07-29,2025-09-13,87.0,1.0,Update_005,True,41.0,10.0,No Change
Gamma,tsk-047,Task 047,2025-09-12,2025-11-17,2025-09-12,2025-11-09,66.0,1.0,Update_005,True,8.0,10.0,No Change
Gamma,tsk-048,Task 048,2025-10-26,2026-01-02,2025-10-29,2025-12-15,68.0,1.0,Update_005,True,18.0,10.0,No Change
Gamma,tsk-049,Task 049,2024-11-09,2025-01-30,2024-11-10,2024-12-21,82.0,0.01,Update_005,False,40.0,10.0,Recovered
Gamma,tsk-050,Task 050,2025-01-31,2025-05-13,2025-02-01,2025-03-30,102.0,1.0,Update_005,False,44.0,10.0,No Change
Gamma,tsk-051,Task 051,2025-06-26,NA,2025-06-27,2025-08-08,NA,0.6589963590734562,Update_005,True,0.0,0.0,Initial
Gamma,tsk-052,Task 052,2024-12-13,2025-02-01,2024-12-14,2024-12-27,50.0,1.0,Update_005,False,36.0,10.0,No Change
Gamma,tsk-053,Task 053,2025-06-06,2025-07-24,2025-06-09,2025-06-28,48.0,0.21935667971372252,Update_005,True,26.0,10.0,No Change
Gamma,tsk-054,Task 054,2024-12-26,2025-05-24,2024-12-26,2025-01-31,149.0,1.0,Update_005,False,113.0,10.0,No Change
Gamma,tsk-055,Task 055,2025-09-07,NA,2025-09-04,2025-11-01,NA,0.6643838689576027,Update_005,True,0.0,0.0,Initial
Gamma,tsk-056,Task 056,2025-09-08,2025-10-26,2025-09-08,2025-10-11,48.0,0.9199123818453468,Update_005,True,15.0,10.0,No Change
Gamma,tsk-057,Task 057,2025-05-14,2025-07-18,2025-05-12,2025-06-08,65.0,1.0,Update_005,False,40.0,10.0,No Change
Gamma,tsk-058,Task 058,2025-02-10,2025-02-27,2025-02-10,2025-02-25,17.0,1.0,Update_005,False,2.0,2.0,No Change
Gamma,tsk-059,Task 059,2025-05-18,2025-06-01,2025-05-17,2025-06-19,14.0,0.2995591662088601,Update_005,False,-18.0,0.0,No Change
Gamma,tsk-060,Task 060,2025-02-25,2025-06-04,2025-02-27,2025-04-20,99.0,1.0,Update_005,True,45.0,10.0,No Change
