project_name,task_id,task_name,update_phase,predicted_end_date,forecast_confidence,model_type,low_confidence_flag,severity_score
Slippages,tsk-001,Task 001,latest,2025-05-20,0.8977042452595148,Synthetic Demo,False,0
Slippages,tsk-002,Task 002,latest,2025-07-30,0.7323048117929879,Synthetic Demo,False,0
Slippages,tsk-003,Task 003,latest,2025-01-30,0.8746876717379776,Synthetic Demo,False,0
Slippages,tsk-004,Task 004,latest,2025-04-05,0.8700578467406611,Synthetic Demo,False,0
Slippages,tsk-005,Task 005,latest,2025-10-05,0.4232018305586299,Synthetic Demo,True,0
Slippages,tsk-006,Task 006,latest,2025-05-26,0.6947372671538542,Synthetic Demo,True,0
Slippages,tsk-007,Task 007,latest,2025-03-17,0.5895774251706669,Synthetic Demo,True,0
Slippages,tsk-008,Task 008,latest,2025-02-09,0.7092082975099312,Synthetic Demo,False,0
Slippages,tsk-009,Task 009,latest,2025-08-01,0.3841377915852724,Synthetic Demo,True,0
Slippages,tsk-010,Task 010,latest,2025-05-31,0.7393362033491414,Synthetic Demo,False,3
Slippages,tsk-011,Task 011,latest,2025-08-07,0.4244412836713453,Synthetic Demo,True,0
Slippages,tsk-012,Task 012,latest,2024-11-12,0.8428601048308157,Synthetic Demo,False,0
Slippages,tsk-013,Task 013,latest,2025-05-26,0.5768221650609467,Synthetic Demo,True,0
Slippages,tsk-014,Task 014,latest,2025-11-07,0.6669812827357257,Synthetic Demo,True,0
Slippages,tsk-015,Task 015,latest,2025-07-28,0.7326955055595461,Synthetic Demo,False,0
