project_name,task_id,update_phase,task_name,baseline_end,end_date,slip_days,severity_score,change_type
Slippages,tsk-001,update_1,Task 001,2025-09-07,2025-09-16,9,2,Delay
Slippages,tsk-013,update_1,Task 013,2025-03-19,2025-03-30,11,2,Delay
Slippages,tsk-031,update_1,Task 031,2025-01-28,2025-01-26,-2,0,Early Finish
Slippages,tsk-037,update_1,Task 037,2025-05-29,2025-05-24,-5,0,Early Finish
Slippages,tsk-047,update_1,Task 047,2025-10-25,2025-11-01,7,1,Delay
Slippages,tsk-001,update_2,Task 001,2025-09-07,2025-09-16,9,2,Delay
Slippages,tsk-013,update_2,Task 013,2025-03-19,2025-03-30,11,2,Delay
Slippages,tsk-020,update_2,Task 020,2025-09-18,2025-09-14,-4,0,Early Finish
Slippages,tsk-022,update_2,Task 022,2025-02-10,2025-02-17,7,1,Delay
Slippages,tsk-023,update_2,Task 023,2025-07-28,2025-07-24,-4,0,Early Finish
Slippages,tsk-029,update_2,Task 029,2025-05-03,2025-05-13,10,2,Delay
Slippages,tsk-031,update_2,Task 031,2025-01-28,2025-01-26,-2,0,Early Finish
Slippages,tsk-037,update_2,Task 037,2025-05-29,2025-05-29,0,0,On Time
Slippages,tsk-039,update_2,Task 039,2025-01-13,2025-01-16,3,1,Delay
Slippages,tsk-042,update_2,Task 042,2025-01-12,2025-01-14,2,1,Delay
Slippages,tsk-047,update_2,Task 047,2025-10-25,2025-11-03,9,2,Delay
Slippages,tsk-001,update_3,Task 001,2025-09-07,2025-09-16,9,2,Delay
Slippages,tsk-002,update_3,Task 002,2025-09-12,2025-09-11,-1,0,Early Finish
Slippages,tsk-003,update_3,Task 003,2024-12-10,2024-12-24,14,2,Delay
Slippages,tsk-004,update_3,Task 004,2025-08-07,2025-08-17,10,2,Delay
Slippages,tsk-009,update_3,Task 009,2025-06-15,2025-07-05,20,2,Delay
Slippages,tsk-012,update_3,Task 012,2025-06-15,2025-06-17,2,1,Delay
Slippages,tsk-013,update_3,Task 013,2025-03-19,2025-03-30,11,2,Delay
Slippages,tsk-016,update_3,Task 016,2024-12-26,2025-01-24,29,2,Delay
Slippages,tsk-020,update_3,Task 020,2025-09-18,2025-09-14,-4,0,Early Finish
Slippages,tsk-021,update_3,Task 021,2025-07-06,2025-07-01,-5,0,Early Finish
Slippages,tsk-022,update_3,Task 022,2025-02-10,2025-03-25,43,3,Delay
Slippages,tsk-023,update_3,Task 023,2025-07-28,2025-07-24,-4,0,Early Finish
