project_name,task_id,task_name,start_date,end_date,baseline_start,baseline_end,duration,percent_complete,update_phase,is_critical,slip_days,severity_score,change_type
Slippages,tsk-001,Task 001,2025-03-22,2025-03-27,2025-03-21 00:00:00,2025-05-01,5.0,0.5739309354414985,Update_012,False,-35.0,0.0,Initial
Slippages,tsk-002,Task 002,2025-05-21,2025-08-05,2025-05-23 00:00:00,2025-07-11,76.0,1.0,Update_012,False,25.0,10.0,Initial
Slippages,tsk-003,Task 003,2024-11-15,2025-01-11,2024-11-12 00:00:00,2025-01-06,57.0,0.4972688763997817,Update_012,False,5.0,5.0,Initial
Slippages,tsk-004,Task 004,2025-02-13,2025-04-19,2025-02-16 00:00:00,2025-03-17,65.0,1.0,Update_012,False,33.0,10.0,Initial
Slippages,tsk-005,Task 005,2025-09-04,2025-12-05,2025-09-03 00:00:00,2025-09-22,92.0,1.0,Update_012,False,74.0,10.0,Initial
Slippages,tsk-006,Task 006,2025-05-05,2025-06-25,2025-05-02 00:00:00,2025-05-19,51.0,0.4819937181663284,Update_012,False,37.0,10.0,Initial
Slippages,tsk-007,Task 007,2024-12-24,2025-04-13,2024-12-26 00:00:00,2025-02-19,110.0,0.9386594293064795,Update_012,False,53.0,10.0,Initial
Slippages,tsk-008,Task 008,2024-12-26,2025-03-27,2024-12-24 00:00:00,2025-02-05,91.0,0.553255411299799,Update_012,True,50.0,10.0,Initial
Slippages,tsk-009,Task 009,2025-07-07,2025-09-01,2025-07-09 00:00:00,2025-07-24,56.0,1.0,Update_012,True,39.0,10.0,Initial
Slippages,tsk-010,Task 010,2025-04-19,2025-04-24,2025-04-17 00:00:00,2025-05-14,5.0,1.0,Update_012,True,-20.0,0.0,Initial
Slippages,tsk-011,Task 011,2025-06-12,2025-08-12,2025-06-10 00:00:00,2025-07-08,61.0,0.6496595631396537,Update_012,False,35.0,10.0,Initial
Slippages,tsk-012,Task 012,2024-11-02,2024-11-26,2024-11-05 00:00:00,2024-11-16,24.0,1.0,Update_012,True,10.0,10.0,Initial
Slippages,tsk-013,Task 013,2025-03-19,2025-06-18,2025-03-21 00:00:00,2025-04-29,91.0,0.8641659700603793,Update_012,False,50.0,10.0,Initial
Slippages,tsk-014,Task 014,2025-10-11,2025-12-18,2025-10-11 00:00:00,2025-11-09,68.0,1.0,Update_012,False,39.0,10.0,Initial
Slippages,tsk-015,Task 015,2025-06-24,2025-08-16,2025-06-23 00:00:00,2025-08-01,53.0,1.0,Update_012,True,15.0,10.0,Initial
Slippages,tsk-016,Task 016,2025-05-18,2025-08-10,2025-05-18 00:00:00,2025-06-15,84.0,1.0,Update_012,False,56.0,10.0,Initial
Slippages,tsk-017,Task 017,2025-05-31,2025-08-22,2025-05-28 00:00:00,2025-06-08,83.0,1.0,Update_012,False,75.0,10.0,Initial
Slippages,tsk-018,Task 018,2024-12-25,2025-01-23,2024-12-25 00:00:00,2025-01-22,29.0,1.0,Update_012,True,1.0,6.0,Initial
Slippages,tsk-019,Task 019,2024-12-22,2025-05-21,2024-12-19 00:00:00,2025-02-12,150.0,0.9476125203798942,Update_012,False,98.0,10.0,Initial
Slippages,tsk-020,Task 020,2025-09-09,2025-09-22,2025-09-12 00:00:00,2025-11-07,13.0,1.0,Update_012,False,-46.0,0.0,Initial
Slippages,tsk-021,Task 021,2025-02-03,2025-04-18,2025-02-03 00:00:00,2025-03-26,74.0,1.0,Update_012,False,23.0,10.0,Initial
Slippages,tsk-022,Task 022,2025-02-26,2025-06-19,2025-02-27 00:00:00,2025-03-13,113.0,1.0,Update_012,True,98.0,10.0,Initial
Slippages,tsk-023,Task 023,2024-12-19,2025-04-18,2024-12-18 00:00:00,2025-02-15,120.0,1.0,Update_012,False,62.0,10.0,Initial
Slippages,tsk-024,Task 024,2025-02-27,2025-04-04,2025-03-02 00:00:00,2025-03-20,36.0,0.03380261285933772,Update_012,False,15.0,10.0,Initial
Slippages,tsk-025,Task 025,2025-05-15,2025-07-14,2025-05-18 00:00:00,2025-07-13,60.0,0.8036601172334807,Update_012,False,1.0,1.0,Initial
Slippages,tsk-026,Task 026,2025-06-16,2025-08-09,2025-06-15 00:00:00,2025-06-28,54.0,0.6361179770059231,Update_012,False,42.0,10.0,Initial
Slippages,tsk-027,Task 027,2025-09-29,2025-12-11,2025-09-30 00:00:00,2025-11-04,73.0,1.0,Update_012,False,37.0,10.0,Initial
Slippages,tsk-028,Task 028,2025-01-14,2025-01-30,2025-01-13 00:00:00,2025-02-02,16.0,1.0,Update_012,True,-3.0,2.0,Initial
Slippages,tsk-029,Task 029,2024-11-10,2025-02-01,2024-11-10 00:00:00,2024-12-07,83.0,0.8059140217052759,Update_012,True,56.0,10.0,Initial
Slippages,tsk-030,Task 030,2025-05-07,2025-06-13,2025-05-06 00:00:00,2025-05-22,37.0,0.7578208907576366,Update_012,True,22.0,10.0,Initial
Slippages,tsk-031,Task 031,2024-11-25,2024-12-05,2024-11-22 00:00:00,2024-12-04,10.0,0.01,Update_012,False,1.0,1.0,Initial
Slippages,tsk-032,Task 032,2025-05-18,2025-08-05,2025-05-18 00:00:00,2025-07-07,79.0,5.147399228166982e-05,Update_012,True,29.0,10.0,Initial
Slippages,tsk-033,Task 033,2025-09-28,2025-11-30,2025-09-28 00:00:00,2025-11-03,63.0,0.5634936684392386,Update_012,True,27.0,10.0,Initial
Slippages,tsk-034,Task 034,2025-02-12,2025-03-20,2025-02-11 00:00:00,2025-03-20,36.0,1.0,Update_012,False,0.0,0.0,Initial
Slippages,tsk-035,Task 035,2025-06-04,2025-06-14,2025-06-01 00:00:00,2025-06-17,10.0,0.6575998172956063,Update_012,False,-3.0,0.0,Initial
Slippages,tsk-036,Task 036,2025-04-06,2025-06-10,2025-04-04 00:00:00,2025-06-02,65.0,1.0,Update_012,False,8.0,8.0,Initial
Slippages,tsk-037,Task 037,2025-09-28,2026-03-01,2025-09-30 00:00:00,2025-11-16,154.0,1.0,Update_012,False,105.0,10.0,Initial
Slippages,tsk-038,Task 038,2025-10-26,2026-01-08,2025-10-28 00:00:00,2025-12-19,74.0,1.0,Update_012,False,20.0,10.0,Initial
Slippages,tsk-039,Task 039,2025-09-06,2025-11-26,2025-09-04 00:00:00,2025-10-02,81.0,1.0,Update_012,False,55.0,10.0,Initial
Slippages,tsk-040,Task 040,2025-03-09,2025-04-17,2025-03-12 00:00:00,2025-03-26,39.0,1.0,Update_012,True,22.0,10.0,Initial
Slippages,tsk-041,Task 041,2025-07-04,2025-07-21,2025-07-05 00:00:00,2025-08-29,17.0,0.14193171298788687,Update_012,True,-39.0,0.0,Initial
Slippages,tsk-042,Task 042,2025-05-21,2025-07-17,2025-05-19 00:00:00,2025-07-11,57.0,1.0,Update_012,True,6.0,10.0,Initial
Slippages,tsk-043,Task 043,2025-01-17,2025-03-12,2025-01-19 00:00:00,2025-02-04,54.0,0.8472935506745916,Update_012,False,36.0,10.0,Initial
Slippages,tsk-044,Task 044,2025-03-09,2025-04-30,2025-03-10 00:00:00,2025-03-24,52.0,1.0,Update_012,False,37.0,10.0,Initial
Slippages,tsk-045,Task 045,2025-07-29,2025-11-12,2025-08-01 00:00:00,2025-09-05,106.0,1.0,Update_012,True,68.0,10.0,Initial
Slippages,tsk-046,Task 046,2025-04-22,2025-06-23,2025-04-19 00:00:00,2025-06-03,62.0,0.15447931504042772,Update_012,False,20.0,10.0,Initial
Slippages,tsk-047,Task 047,2025-07-28,2025-11-16,2025-07-30 00:00:00,2025-09-07,111.0,1.0,Update_012,False,70.0,10.0,Initial
Slippages,tsk-048,Task 048,2025-09-27,2025-11-12,2025-09-25 00:00:00,2025-10-17,46.0,1.0,Update_012,False,26.0,10.0,Initial
Slippages,tsk-049,Task 049,2025-09-17,2025-12-17,2025-09-15 00:00:00,2025-11-03,91.0,1.0,Update_012,False,44.0,10.0,Initial
Slippages,tsk-050,Task 050,2025-08-04,2025-10-23,2025-08-02 00:00:00,2025-09-19,80.0,1.0,Update_012,True,34.0,10.0,Initial
Slippages,tsk-051,Task 051,2024-12-10,2025-01-28,2024-12-10 00:00:00,2025-01-06,49.0,0.6097561077310321,Update_012,True,22.0,10.0,Initial
Slippages,tsk-052,Task 052,2025-09-02,2025-11-08,2025-09-05 00:00:00,2025-10-17,67.0,1.0,Update_012,False,22.0,10.0,Initial
Slippages,tsk-053,Task 053,2024-11-26,2025-02-01,2024-11-27 00:00:00,2025-01-10,67.0,0.9408601547769344,Update_012,False,22.0,10.0,Initial
Slippages,tsk-054,Task 054,2024-12-31,2025-03-01,2024-12-30 00:00:00,2025-01-15,60.0,1.0,Update_012,True,45.0,10.0,Initial
Slippages,tsk-055,Task 055,2025-04-05,2025-04-23,2025-04-04 00:00:00,2025-04-24,18.0,1.0,Update_012,True,-1.0,4.0,Initial
Slippages,tsk-056,Task 056,2025-10-08,2025-12-16,2025-10-10 00:00:00,2025-10-30,69.0,0.5172590921044053,Update_012,False,47.0,10.0,Initial
Slippages,tsk-057,Task 057,2025-04-26,2025-06-17,2025-04-28 00:00:00,2025-05-25,52.0,0.7199421023789261,Update_012,False,23.0,10.0,Initial
Slippages,tsk-058,Task 058,2024-11-30,2025-01-15,2024-11-28 00:00:00,2024-12-23,46.0,0.8938837064655514,Update_012,False,23.0,10.0,Initial
Slippages,tsk-059,Task 059,2025-10-05,2025-12-27,2025-10-03 00:00:00,2025-11-22,83.0,1.0,Update_012,False,35.0,10.0,Initial
Slippages,tsk-060,Task 060,2024-11-25,2025-02-13,2024-11-27 00:00:00,2025-01-09,80.0,1.0,Update_012,True,35.0,10.0,Initial
Slippages,tsk-061,Task 061,2025-09-21,2025-12-16,2025-09-23 00:00:00,2025-11-07,86.0,0.1463088145822607,Update_012,False,39.0,10.0,Initial
Slippages,tsk-062,Task 062,2025-04-29,2025-09-25,2025-04-29 00:00:00,2025-06-02,149.0,0.773746805907606,Update_012,False,115.0,10.0,Initial
Slippages,tsk-063,Task 063,2025-03-23,2025-07-25,2025-03-24 00:00:00,2025-05-16,124.0,0.8165711169697092,Update_012,True,70.0,10.0,Initial
Slippages,tsk-064,Task 064,2025-09-27,2025-12-14,2025-09-30 00:00:00,2025-11-03,78.0,1.0,Update_012,False,41.0,10.0,Initial
Slippages,tsk-065,Task 065,2025-04-19,2025-07-18,2025-04-20 00:00:00,2025-06-05,90.0,0.3819496370840426,Update_012,False,43.0,10.0,Initial
Slippages,tsk-066,Task 066,2025-06-22,2025-10-25,2025-06-23 00:00:00,2025-08-21,125.0,1.0,Update_012,True,65.0,10.0,Initial
Slippages,tsk-067,Task 067,2025-05-27,2025-06-26,2025-05-24 00:00:00,2025-06-30,30.0,0.6999841881596711,Update_012,True,-4.0,1.0,Initial
Slippages,tsk-068,Task 068,2025-07-20,2025-09-19,2025-07-19 00:00:00,2025-09-05,61.0,0.7683367530469489,Update_012,False,14.0,10.0,Initial
Slippages,tsk-069,Task 069,2025-09-16,2025-10-27,2025-09-17 00:00:00,2025-10-17,41.0,0.011502684151571697,Update_012,False,10.0,10.0,Initial
Slippages,tsk-070,Task 070,2024-12-25,2025-03-21,2024-12-28 00:00:00,2025-02-03,86.0,1.0,Update_012,False,46.0,10.0,Initial
Slippages,tsk-071,Task 071,2025-08-02,2025-10-12,2025-08-03 00:00:00,2025-09-21,71.0,0.9209841721792175,Update_012,False,21.0,10.0,Initial
Slippages,tsk-072,Task 072,2025-01-28,2025-04-24,2025-01-28 00:00:00,2025-03-28,86.0,0.04950741863753236,Update_012,True,27.0,10.0,Initial
Slippages,tsk-073,Task 073,2025-03-17,2025-05-09,2025-03-17 00:00:00,2025-04-28,53.0,1.0,Update_012,True,11.0,10.0,Initial
Slippages,tsk-074,Task 074,2024-11-17,2024-12-15,2024-11-17 00:00:00,2024-12-16,28.0,0.17553971767208584,Update_012,False,-1.0,0.0,Initial
Slippages,tsk-075,Task 075,2025-01-13,2025-03-20,2025-01-10 00:00:00,2025-02-18,66.0,0.8711321324986195,Update_012,False,30.0,10.0,Initial
Slippages,tsk-001,Task 001,NA,NA,2025-03-21,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-002,Task 002,NA,NA,2025-05-23,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-003,Task 003,NA,NA,2024-11-12,NA,NA,0.041296038289994834,Update_008,False,0.0,0.0,Initial
Slippages,tsk-004,Task 004,NA,NA,2025-02-16,NA,NA,0.6687570974394914,Update_008,False,0.0,0.0,Initial
Slippages,tsk-005,Task 005,NA,NA,2025-09-03,NA,NA,0.7844281269877821,Update_008,False,0.0,0.0,Initial
Slippages,tsk-006,Task 006,NA,NA,2025-05-02,NA,NA,0.638031172280102,Update_008,False,0.0,0.0,Initial
Slippages,tsk-007,Task 007,NA,NA,2024-12-26,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-008,Task 008,NA,NA,2024-12-24,NA,NA,0.4557424296291297,Update_008,True,0.0,0.0,Initial
Slippages,tsk-009,Task 009,NA,NA,2025-07-09,NA,NA,0.7199664341492757,Update_008,True,0.0,0.0,Initial
Slippages,tsk-010,Task 010,NA,NA,2025-04-17,NA,NA,0.8358165718652454,Update_008,True,0.0,0.0,Initial
Slippages,tsk-011,Task 011,NA,NA,2025-06-10,NA,NA,0.5072254563291505,Update_008,False,0.0,0.0,Initial
Slippages,tsk-012,Task 012,NA,NA,2024-11-05,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-013,Task 013,NA,NA,2025-03-21,NA,NA,0.1492797393792979,Update_008,False,0.0,0.0,Initial
Slippages,tsk-014,Task 014,NA,NA,2025-10-11,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-015,Task 015,NA,NA,2025-06-23,NA,NA,0.01859167646193623,Update_008,True,0.0,0.0,Initial
Slippages,tsk-016,Task 016,NA,NA,2025-05-18,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-017,Task 017,NA,NA,2025-05-28,NA,NA,0.01,Update_008,False,0.0,0.0,Initial
Slippages,tsk-018,Task 018,NA,NA,2024-12-25,NA,NA,0.8669008659436934,Update_008,True,0.0,0.0,Initial
Slippages,tsk-019,Task 019,NA,NA,2024-12-19,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-020,Task 020,NA,NA,2025-09-12,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-021,Task 021,NA,NA,2025-02-03,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-022,Task 022,NA,NA,2025-02-27,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-023,Task 023,NA,NA,2024-12-18,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-024,Task 024,NA,NA,2025-03-02,NA,NA,0.3449798318414732,Update_008,False,0.0,0.0,Initial
Slippages,tsk-025,Task 025,NA,NA,2025-05-18,NA,NA,0.4106128815495279,Update_008,False,0.0,0.0,Initial
Slippages,tsk-026,Task 026,NA,NA,2025-06-15,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-027,Task 027,NA,NA,2025-09-30,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-028,Task 028,NA,NA,2025-01-13,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-029,Task 029,NA,NA,2024-11-10,NA,NA,0.6889067727422638,Update_008,True,0.0,0.0,Initial
Slippages,tsk-030,Task 030,NA,NA,2025-05-06,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-031,Task 031,NA,NA,2024-11-22,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-032,Task 032,NA,NA,2025-05-18,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-033,Task 033,NA,NA,2025-09-28,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-034,Task 034,NA,NA,2025-02-11,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-035,Task 035,NA,NA,2025-06-01,NA,NA,0.11901249114183032,Update_008,False,0.0,0.0,Initial
Slippages,tsk-036,Task 036,NA,NA,2025-04-04,NA,NA,0.9186084747258445,Update_008,False,0.0,0.0,Initial
Slippages,tsk-037,Task 037,NA,NA,2025-09-30,NA,NA,0.49242991863522856,Update_008,False,0.0,0.0,Initial
Slippages,tsk-038,Task 038,NA,NA,2025-10-28,NA,NA,0.7211413794392046,Update_008,False,0.0,0.0,Initial
Slippages,tsk-039,Task 039,NA,NA,2025-09-04,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-040,Task 040,NA,NA,2025-03-12,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-041,Task 041,NA,NA,2025-07-05,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-042,Task 042,NA,NA,2025-05-19,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-043,Task 043,NA,NA,2025-01-19,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-044,Task 044,NA,NA,2025-03-10,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-045,Task 045,NA,NA,2025-08-01,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-046,Task 046,NA,NA,2025-04-19,NA,NA,0.45604527030658104,Update_008,False,0.0,0.0,Initial
Slippages,tsk-047,Task 047,NA,NA,2025-07-30,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-048,Task 048,NA,NA,2025-09-25,NA,NA,0.002896023027939915,Update_008,False,0.0,0.0,Initial
Slippages,tsk-049,Task 049,NA,NA,2025-09-15,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-050,Task 050,NA,NA,2025-08-02,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-051,Task 051,NA,NA,2024-12-10,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-052,Task 052,NA,NA,2025-09-05,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
Slippages,tsk-053,Task 053,NA,NA,2024-11-27,NA,NA,0.43663282933065367,Update_008,False,0.0,0.0,Initial
Slippages,tsk-054,Task 054,NA,NA,2024-12-30,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-055,Task 055,NA,NA,2025-04-04,NA,NA,1.0,Update_008,True,0.0,0.0,Initial
Slippages,tsk-056,Task 056,NA,NA,2025-10-10,NA,NA,1.0,Update_008,False,0.0,0.0,Initial
