project_name,task_id,task_name,update_phase,predicted_end_date,forecast_confidence,model_type,low_confidence_flag,severity_score
Updates,tsk-001,Task 001,latest,2025-08-12,0.7511615436636755,Synthetic Demo,False,0
Updates,tsk-002,Task 002,latest,2025-07-17,0.7363776068942067,Synthetic Demo,False,0
Updates,tsk-003,Task 003,latest,2025-05-21,0.8902092951829306,Synthetic Demo,False,0
Updates,tsk-004,Task 004,latest,2025-08-11,0.6849530611600019,Synthetic Demo,True,7
Updates,tsk-005,Task 005,latest,2025-03-26,0.6529570363250695,Synthetic Demo,True,0
Updates,tsk-006,Task 006,latest,2024-12-29,0.3966978981735225,Synthetic Demo,True,0
Updates,tsk-007,Task 007,latest,2025-03-24,0.6246615263892983,Synthetic Demo,True,0
Updates,tsk-008,Task 008,latest,2025-03-31,0.5672024516582137,Synthetic Demo,True,0
Updates,tsk-009,Task 009,latest,2025-05-09,0.9268648249485493,Synthetic Demo,False,0
Updates,tsk-010,Task 010,latest,2025-07-09,0.8629574277237355,Synthetic Demo,False,0
Updates,tsk-011,Task 011,latest,2025-10-25,0.5033803933126946,Synthetic Demo,True,0
Updates,tsk-012,Task 012,latest,2025-04-29,0.7286385361450712,Synthetic Demo,False,0
Updates,tsk-013,Task 013,latest,2025-06-25,0.7561936020761371,Synthetic Demo,False,0
Updates,tsk-014,Task 014,latest,2025-03-01,0.6807326119948772,Synthetic Demo,True,0
Updates,tsk-015,Task 015,latest,2025-06-18,0.5017250720651678,Synthetic Demo,True,0
