project_name,task_id,task_name,recommendation,severity,confidence,trigger
Updates,tsk-001,Task 001,"Task shows significant slippage (26 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-002,Task 002,"Task shows significant slippage (25 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-003,Task 003,"Task shows significant slippage (17 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-004,Task 004,"Task shows significant slippage (52 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-005,Task 005,"Task shows significant slippage (60 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-007,Task 007,"Task shows significant slippage (90 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-009,Task 009,"Task shows significant slippage (17 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-010,Task 010,"Task shows significant slippage (85 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-011,Task 011,"Task shows significant slippage (28 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-013,Task 013,"Task shows significant slippage (31 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-014,Task 014,"Task shows significant slippage (37 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-015,Task 015,"Task shows significant slippage (154 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-016,Task 016,"Task shows significant slippage (79 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-017,Task 017,"Task shows significant slippage (34 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-018,Task 018,"Task shows significant slippage (23 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-019,Task 019,"Task shows significant slippage (49 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-020,Task 020,"Task shows significant slippage (82 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-021,Task 021,"Task shows significant slippage (21 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-022,Task 022,"Task shows significant slippage (20 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-023,Task 023,"Task shows significant slippage (8 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-024,Task 024,"Task shows significant slippage (84 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-025,Task 025,"Task shows significant slippage (80 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-026,Task 026,"Task shows significant slippage (25 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-027,Task 027,"Task shows significant slippage (23 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-028,Task 028,"Task shows significant slippage (23 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-029,Task 029,"Task shows significant slippage (12 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
Updates,tsk-031,Task 031,"Task shows significant slippage (35 days). Investigate root causes (resource constraints, scope creep, dependencies).",High,0.85,Slippage > 7 days
