project_name,task_id,update_phase,task_name,baseline_end,end_date,slip_days,severity_score,change_type
Updates,tsk-010,update_1,Task 010,2024-11-30,2024-12-08,8,2,Delay
Updates,tsk-022,update_1,Task 022,2025-08-16,2025-08-18,2,1,Delay
Updates,tsk-036,update_1,Task 036,2025-08-27,2025-08-27,0,0,On Time
Updates,tsk-049,update_1,Task 049,2025-06-03,2025-05-30,-4,0,Early Finish
Updates,tsk-010,update_2,Task 010,2024-11-30,2024-12-08,8,2,Delay
Updates,tsk-013,update_2,Task 013,2025-10-31,2025-10-29,-2,0,Early Finish
Updates,tsk-022,update_2,Task 022,2025-08-16,2025-08-24,8,2,Delay
Updates,tsk-023,update_2,Task 023,2025-10-13,2025-10-10,-3,0,Early Finish
Updates,tsk-024,update_2,Task 024,2025-04-26,2025-05-09,13,2,Delay
Updates,tsk-026,update_2,Task 026,2025-06-05,2025-06-02,-3,0,Early Finish
Updates,tsk-027,update_2,Task 027,2025-04-08,2025-04-05,-3,0,Early Finish
Updates,tsk-036,update_2,Task 036,2025-08-27,2025-08-27,0,0,On Time
Updates,tsk-044,update_2,Task 044,2025-05-03,2025-04-29,-4,0,Early Finish
Updates,tsk-049,update_2,Task 049,2025-06-03,2025-05-30,-4,0,Early Finish
Updates,tsk-002,update_3,Task 002,2025-08-27,2025-08-22,-5,0,Early Finish
Updates,tsk-003,update_3,Task 003,2024-12-08,2024-12-14,6,1,Delay
Updates,tsk-010,update_3,Task 010,2024-11-30,2024-12-08,8,2,Delay
Updates,tsk-013,update_3,Task 013,2025-10-31,2025-10-29,-2,0,Early Finish
Updates,tsk-015,update_3,Task 015,2025-07-04,2025-07-06,2,1,Delay
Updates,tsk-017,update_3,Task 017,2025-06-24,2025-06-29,5,1,Delay
Updates,tsk-020,update_3,Task 020,2025-09-12,2025-09-23,11,2,Delay
Updates,tsk-022,update_3,Task 022,2025-08-16,2025-08-26,10,2,Delay
Updates,tsk-023,update_3,Task 023,2025-10-13,2025-10-10,-3,0,Early Finish
Updates,tsk-024,update_3,Task 024,2025-04-26,2025-05-09,13,2,Delay
Updates,tsk-026,update_3,Task 026,2025-06-05,2025-06-02,-3,0,Early Finish
Updates,tsk-027,update_3,Task 027,2025-04-08,2025-04-05,-3,0,Early Finish
Updates,tsk-032,update_3,Task 032,2025-10-20,2025-10-26,6,1,Delay
Updates,tsk-036,update_3,Task 036,2025-08-27,2025-08-27,0,0,On Time
Updates,tsk-044,update_3,Task 044,2025-05-03,2025-04-29,-4,0,Early Finish
Updates,tsk-049,update_3,Task 049,2025-06-03,2025-05-30,-4,0,Early Finish
Updates,tsk-050,update_3,Task 050,2025-09-08,2025-09-24,16,2,Delay
Updates,tsk-001,update_4,Task 001,2025-06-19,2025-06-29,10,2,Delay
