project_name,task_id,task_name,start_date,end_date,baseline_start,baseline_end,duration,percent_complete,update_phase,is_critical,slip_days,severity_score,change_type
Updates,tsk-001,Task 001,2025-07-09,2025-08-24,2025-07-11,2025-07-29,46.0,0.44263930125350875,Update_009,False,26.0,10.0,No Change
Updates,tsk-002,Task 002,2025-05-04,2025-07-14,2025-05-07,2025-06-19,71.0,1.0,Update_009,False,25.0,10.0,No Change
Updates,tsk-003,Task 003,2025-04-27,2025-05-27,2025-04-30,2025-05-10,30.0,0.7199664341492757,Update_009,True,17.0,10.0,No Change
Updates,tsk-004,Task 004,2025-05-25,2025-09-10,2025-05-24,2025-07-20,108.0,1.0,Update_009,True,52.0,10.0,No Change
Updates,tsk-005,Task 005,2025-01-20,2025-04-24,2025-01-17,2025-02-28,94.0,1.0,Update_009,False,55.0,10.0,No Change
Updates,tsk-006,Task 006,2024-11-25,2024-12-12,2024-11-26,2024-12-09,17.0,0.4972688763997817,Update_009,False,3.0,3.0,No Change
Updates,tsk-007,Task 007,2025-02-09,2025-04-08,2025-02-08,2025-03-22,58.0,0.8270863017691,Update_009,False,17.0,10.0,No Change
Updates,tsk-008,Task 008,2025-01-28,2025-03-06,2025-01-28,2025-03-08,37.0,0.6660146698185022,Update_009,True,-2.0,3.0,No Change
Updates,tsk-009,Task 009,2025-04-08,2025-05-16,2025-04-07,2025-04-29,38.0,1.0,Update_009,True,17.0,10.0,No Change
Updates,tsk-010,Task 010,2025-04-23,2025-09-05,2025-04-24,2025-06-12,135.0,1.0,Update_009,True,85.0,10.0,No Change
Updates,tsk-011,Task 011,2025-10-10,2025-11-11,2025-10-07,2025-10-21,32.0,0.7269774246953764,Update_009,True,21.0,10.0,No Change
Updates,tsk-012,Task 012,2025-03-09,2025-04-21,2025-03-12,2025-04-16,43.0,1.0,Update_009,False,5.0,5.0,No Change
Updates,tsk-013,Task 013,2025-04-17,2025-07-09,2025-04-14,2025-06-08,83.0,0.8430858487481123,Update_009,True,31.0,10.0,No Change
Updates,tsk-014,Task 014,2024-12-12,2025-03-19,2024-12-14,2025-02-10,97.0,1.0,Update_009,False,37.0,10.0,No Change
Updates,tsk-015,Task 015,2025-05-12,2025-08-04,2025-05-15,2025-06-05,84.0,1.0,Update_009,False,60.0,10.0,No Change
Updates,tsk-016,Task 016,2025-06-16,2025-10-03,2025-06-17,2025-07-16,109.0,1.0,Update_009,False,79.0,10.0,No Change
Updates,tsk-017,Task 017,2025-02-17,2025-03-28,2025-02-15,2025-03-03,39.0,1.0,Update_009,False,25.0,10.0,No Change
Updates,tsk-018,Task 018,2024-12-31,2025-02-11,2024-12-31,2025-01-19,42.0,1.0,Update_009,False,23.0,10.0,No Change
Updates,tsk-019,Task 019,2025-07-17,2025-10-02,2025-07-18,2025-08-14,77.0,0.8526067723177565,Update_009,False,49.0,10.0,No Change
Updates,tsk-020,Task 020,2025-04-10,2025-07-08,2025-04-07,2025-05-24,89.0,1.0,Update_009,False,45.0,10.0,No Change
Updates,tsk-021,Task 021,2024-12-21,2025-02-25,2024-12-23,2025-02-04,66.0,1.0,Update_009,False,21.0,10.0,No Change
Updates,tsk-022,Task 022,2025-08-22,2025-09-21,2025-08-21,2025-09-01,30.0,1.0,Update_009,False,20.0,10.0,No Change
Updates,tsk-023,Task 023,2025-01-11,2025-01-30,2025-01-14,2025-01-30,19.0,1.0,Update_009,False,0.0,0.0,No Change
Updates,tsk-024,Task 024,2025-02-11,2025-06-19,2025-02-14,2025-03-27,128.0,0.18658916597207675,Update_009,False,84.0,10.0,No Change
Updates,tsk-025,Task 025,2025-05-06,2025-06-22,2025-05-07,2025-06-21,47.0,0.9186084747258445,Update_009,False,1.0,1.0,No Change
Updates,tsk-026,Task 026,2025-06-22,2025-08-14,2025-06-19,2025-07-25,53.0,0.5685698202369992,Update_009,False,20.0,10.0,No Change
Updates,tsk-027,Task 027,2025-08-29,2025-11-19,2025-08-29,2025-10-27,82.0,1.0,Update_009,True,23.0,10.0,Slipped Further
Updates,tsk-028,Task 028,2025-07-25,2025-09-03,2025-07-22,2025-08-11,40.0,1.0,Update_009,False,23.0,10.0,No Change
Updates,tsk-029,Task 029,2025-03-22,2025-04-25,2025-03-22,2025-04-13,34.0,0.9273793477347978,Update_009,False,12.0,10.0,No Change
Updates,tsk-030,Task 030,2024-12-02,2024-12-20,2024-12-04,2024-12-17,18.0,0.5744506116541267,Update_009,False,3.0,3.0,No Change
Updates,tsk-031,Task 031,2025-05-26,2025-08-05,2025-05-26,2025-07-01,71.0,0.1463088145822607,Update_009,False,35.0,10.0,No Change
Updates,tsk-032,Task 032,2025-04-12,2025-05-23,2025-04-15,2025-05-17,41.0,0.7784461848534532,Update_009,True,6.0,10.0,No Change
Updates,tsk-033,Task 033,2025-06-03,2025-07-22,2025-06-03,2025-07-08,49.0,1.0,Update_009,False,14.0,10.0,No Change
