Project Name,Department,Annual Report Category,Project Description,IPA Delivery Confidence Assessment,SRO Delivery Confidence Assessment,Departmental Commentary on Delivery Confidence Assessment Rating,Start Date,End Date,Schedule Narrative,Financial Year Baseline (£m),Financial Year Forecast (£m),Financial Year Variance (%),In Year Variance Narrative,Whole Life Cost (£m),Costs Narrative,Benefits (£m),Benefits Narrative,Does the project have an evaluation plan? (self reported),Senior Responsible Owner (SRO) Name,GMPP ID
Government Hubs and Whitehall Campus Programme,CO,Government Transformation and Service Delivery,"The Government Hubs and Whitehall Campus (WHC) programme is transformative, delivering the Government’s priorities: providing a smaller, better and greener public estate; strengthening the UK’s economic recovery from Covid-19; levelling up economic opportunity, maximising productivity and improving value; supporting the government’s ambition to reach net zero carbon emissions; strengthening the Union of the United Kingdom",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
The Government Hubs and Whitehall Campus programme remains Amber in line with the IPA rating given in July 2024. In the period the Programme has delivered a further two government hubs in Croydon, 2 Ruskin Square and London, 22 Whitehall plus a project previously within the programme is now a GMPP in its own right. Since the last IPA Review the programme has successfully addressed recommendations including reviewing ways of working with strategic partners and greater involvement in cross-government committees. The operating model is under review as part of a wider GPA organisational design review, which along with an accelerated Plan for London and  our SR settlement, will inform an updated Business Case to be submitted to CO and HMT",01/05/2015,31/03/2030,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2030. This is primarily due to the following factors‚
The GPA Government Hubs and Whitehall Campus Programme will support the Government’s Strategic requirements to relocate 22,000 Civil Servants out of London and into regional Hubs, and consolidate 53,400 FTE in the Regions by 2030 to promote economic growth",166.9,145.56,12.79,"The budget variance exceeds 5%. This is primarily due to the following factors‚
Variance due to delays in key projects (Manchester, First ST, Darlington Brunswick St) with costs now falling in future years",558,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 558. This is primarily due to the following factors‚
The baseline costs for the programme remain unchanged pending SR outcomes
",2546,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 2546. This is primarily due to the following factors‚
The baseline benefits for the programme remain unchanged pending SR outcomes
",Yes - Published on the Government Evaluation Registry,Yvette Greener,CO_0133_2223-Q1
Manchester Digital Campus,CO,Government Transformation and Service Delivery,Section 24 - National security,AMBER,,Section 24 - National security,05/04/2025,27/12/2030,"The project's end-date at 24/25-Q4 is scheduled to be 27/12/2030. This is primarily due to the following factors‚
Project delivery remains Dec 30. ",0,0,,"The budget variance is less than or equal to 5%.
Agreed",1443.7,Section 24 - National security,Section 24 - National security,Section 24 - National security,Section 24 - National security,Philippa Harvey,CO_0438_2425-Q3
WORKPLACE SERVICES TRANSFORMATION PROGRAMME,CO,Government Transformation and Service Delivery,The Workplace Services Transformation Programme has been established to realise the ambition of a transformed workplace experience for all Government Property Agency (GPA) customers (end users) and to ensure better value for our clients (Departments).,,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors…
The programme is now complete, recommendations made by IPA/NISTA are nearing completion.",01/07/2020,"Low: 31/03/2025, Mid: 30/04/2025, High: 31/05/2025","Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 01/07/2024 to 30/04/2025. This is primarily due to the following factors…
The programme is now complete, live services have been fully integrated into GPAs daily operations.  Programme activity has now ceased.",94.46,87.37,7.5,"The budget variance exceeds 5%. This is primarily due to the following factors…
The competitive bid process generated an annual saving compared to the Should Cost Model utilised in the
OBC, with those savings driven mainly form the Hard and Soft FM elements of the contracts.",1059,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 1059. This is primarily due to the following factors…
The agreed baseline was set at the OBC stage which was submitted during 2022. The project has
subsequently tracked an updated Forecasted WLC at £1,019m, as a result of a more competitive bid
process and fully amended for variations agreed following mobilisation of the contracts.",-31,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at -£31m. This is primarily due to the following factors…
The agreed baseline was set at the OBC stage which was submitted during 2022. The project has
subsequently tracked an updated Forecasted Benefits at £11m, as a result of a more competitive bid
process and fully amended for variations agreed following mobilisation of the contracts.",No,Dominic Brankin,CO_0029_2021-Q4
Civil Service Pensions 2015 Remedy,CO,Government Transformation and Service Delivery,To remove age discrimination within the Civil Service Pension Scheme and remediate impacted member pensions as identified in the 2018 McCloud judgment,,RED,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 decreased from AMBER to RED. This is primarily due to the following factors; the current supplier has delivered the majority of the requirements, it is now on track to complete the agreed remaining work within their contract. In the Gate 5 review undertaken in February 2025, the IPA agreed that the residual work should be completed as a separate project (Remedy Project 7) and rated the programme AMBER
We have in place a contract change notice with our current suppliers to issue a minimum 44% of the remedial service statements to retired members by 31 March 2025 and to have processed all returned member decisions received up to 30 October by 28 November (final payroll run before transition to Capita)",20/05/2020,30/06/2024,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 changed from 30/07/2024 to 30/06/2025. This is primarily due to the following factors; the original programme closure date was predicated on the associated legislation being in place in 2022.  The scheme regulations needed to remediate members did not come into force until 1 October 2023 which gave schemes 18 months to provide members with a choice i.e. 31 March 2025.
Following our IPA review in February 2024 it was agreed that the Programme should be extended to 30 June 2025 then move to a portfolio delivery for the remaining 4 projects",11.5,13.5,17.39,"The budget has no variance.  
We received approval from the CO Investment Committee to increase our spend from £36.5M to £50.5M in February 2025",50.5,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) increased from 34 to 50. 
The initial budget as set out in the SOC was £57M.  This has been proven to be closer than the reduction estimated at FBC in 2022.  The higher costs has been due to a number of factors such as: lack of automation necessitating more manual interventions, complexity of member accounts as we need to rebuild alternative benefit calculations and data issues",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. 
This is a legally required rectification programme with no tangible benefits",Yes - Published on the Government Evaluation Registry,Muna Rowe,CO_0024_2021-Q2
ATS Transformation,CO,Government Transformation and Service Delivery,Government People Group (GPG) needs to replace the existing Civil Service Jobs recruitment platform with a new system that can drive increased efficiencies and improved outcomes after the current supplier contract ends in May 2027. Civil Service Jobs is a highly successful central service with 219 customers enabling HMG to function as one Civil Service in the UK jobs market and maintain strong branding for applicants. Central provision remains the best way the Civil Service can drive value for money for the UK taxpayer. The enhanced functionalities offered by the new Civil Service Jobs will play a significant role in ensuring that a smaller and leaner Civil Service has the right technology in place to enable exceptional recruitment in the most efficient way.,,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
The programme is on a positive trajectory. However, delivering it poses significant challenges due to the diverse range of customers and their complex needs. The development timeline is both challenging and fixed, dictated by the end of the existing contract. Any delays in delivery could diminish the anticipated value of non-cash releasing benefits. While the programme is actively managing a range of risks, the current risk level precludes a green status. To address this, the programme is continuously evaluating resourcing to ensure that the teams possess the necessary capability and capacity. Additionally, there is a strong emphasis on governance to facilitate effective decision-making. The programme continues to undertake NISTA gateway reviews. The gateway 3 review in November 2024 and the gateway 4 review in March 2025 both returned amber ratings. ",01/01/2022,30/09/2027,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 30/09/2027. This is primarily due to the following factors‚
The contract with the current supplier is set to expire on 12 May 2027, and due to commercial constraints and high likelihood of legal challenges from the ATS technology Marketplace, we are unable to extend the current ATS contract beyond the existing extension period in May 2027. The programme aims to begin onboarding customers to the new service in March 2026, with the objective of transferring all departments within the same year. This timeline will facilitate adequate offboarding from the current supplier and ensure a complete data transfer prior to exit. The planned end date also allows for some contingency and provides sufficient time for the handover to live service teams.  ",3.54,3.92,10.73,"The budget variance exceeds 5%. This is primarily due to the following factors‚
Following the successful procurement of a supplier in August 2024, it became necessary to extend the standstill period to address questions and ensure full compliance with commercial processes. This extension resulted in a brief delay before the contract could be signed and the supplier onboarded. Consequently, this led to delays in recruiting and onboarding essential skills for the programme, resulting in a lower-than-anticipated resource cost for FY24/25. This underspend will be deferred to FY25/26 to accommodate an adjusted resourcing profile, allowing for the recruitment of additional skills to meet demand. Additionally, costs associated with Welsh Translation and modifications to the existing system have also been lower than forecast for this financial year. Although web hosting costs, costs for User Research, Accessibility Audit and IT Security testing fees have slightly exceeded initial projections, the programme remains on track to complete within its overall budget. Overall, the programme is positioned to meet the full period forecast outlined in the business case through to FY31/32.",42.12,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 43 to 42. This is primarily due to the following factors‚
The Whole Life Costs reported in FY23/24-Q4 were derived from the Outline Business Case (OBC) approved in June 2023, whereas the figures for FY24/25-Q4 were based on the updated and approved Full Business Case (FBC). During the early stages of the procurement process, it became evident that the initial estimates for annual service charges had been overestimated, while the anticipated costs for the implementation phase had been underestimated. Additionally, forecasts for resource costs were revised downwards due to an improved understanding of the roles that the supplier would be providing. These changes were reflected in the updated FBC reported for FY24/25-Q4.",112.31,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) decreased from 167 to 112. This is primarily due to the following factors‚
The COAB approved the Government People Group Beta/ATS replacement Outline Business Case in June 2023, which outlined £162 million in monetizable benefits over seven years, spanning from FY23-24 to FY29-30. Due to Net present value terms and a 40% optimism bias the total benefits value dropped. At FBC, the monetizable benefits have been remodelled using a more detailed benefits analysis of recent data, actual supplier costs and conservative assumptions. Optimism bias is set to 20% on costs and 30% on benefits. This resulted in the decrease in forecast benefits to £112m.",Yes - Not published on the Government Evaluation Registry,Gerri Clement,CO_0281_2324-Q2
Future Service Programme,CO,ICT,The purpose of the programme is to put in place new administration models for the Civil Service Pension Scheme and the Royal Mail Statutory Pension Scheme. The new models will enable Ministers to meet their statutory duties to administer these schemes and will provide continuity of service to the two million scheme members. The strategic vision is to 'transform the Civil Service Pension Scheme into the best managed and administered UK public service pension scheme,,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
There are still significant challenges that the programme is addressing to ensure a successful transition CSPS Pensions Administration of services from MyCSP to Capita in December 2025.  

The contract with Capita was signed on the 17th November 2023 and the two year transition commenced on 8th December 2023.  To ensure that the Cabinet Office was able to maximise the success of the complex transition of Services, a schedule of 12 Transition Milestones, each with defined deliverables and timescales, was negotiated and embedded within the Contract in Schedule 6.1 Transition Plan.  Each Transition Milestone has payments associated with it which is documented in Schedule 7.1: Charges and Invoicing .  

Of the 6 Transition Milestones that Capita should have delivered by May 2025, 3 were late: 
 - TM 4 was delivered 3rd June 2025 (original schedule date 30 Sept 24)
 - TM 6 was delivered 3rd June 2025 (original schedule date 31st April 24)
 - TM 5  is still to be delivered and the date is tbc (original schedule date 31st December 24)

TM5 continues to be delayed due to some of the calculations not being on track for automation, as per the contractual requirements. Capita have provide Cabinet office with the detailed assessment of which Work Package 4 & 5 calculations will be run manually between December 2025 and March 2026, as well as providing CO with a details summary of the Scope of Day 1 (December 25) and Day 2 (March 26) delivery.  Both of these products are being reviewed by Cabinet Office to ensure that there is no visible impact to Employers or members, and are scrutinising Capita resource plans to ensure that they have an appropriate level of FTEs to run the service with manual calculations for a short period of time. 

Furthermore due to internal delays within Capita's internal programme which is developing the core generic functionality for the Pension Administration Solution, CSPS will be adopting an duel release approach. The 1st release of functionality on  01/12/25 will ensure that we can move from MyCSP with a fully functional service.  The 2nd release, scheduled for March 26, will delivery the remaining functionality which will meet the full contractual requirements.   This effectively extends the transition by 3 months. However, Capital will begin running the CSPS service from 01/12/25 and will be required to adhere to all KPI and SLs outlined in Schedule 2.2 of the contract. 

The Cabinet office Programme Team are working closely with colleagues within the Markets Suppliers Team, Technical Design Authority and Security teams to ensure that, despite delays on some functionality, that implementation is technical sounds and secures the sensitive data set and retains significant commercial leverage over Capita to ensure that contract requirements are fulfilled.

To ensure that The Programme is prepared for all eventualities, work on contingency options is underway, should there be any Red Lines (as defined by the Cabinet Office Minimum Viable Product) breached by Capita's delivery.  All contingencies would be at the cost of Capita, as a liability clause up to the value of £60 million for failure to deliver transition within the 2 year window was negotiated into the contract.
",01/10/2020,"Low: 31/03/2026, Mid: 30/09/2026, High: 31/12/2026","Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/12/2024 to 30/09/2026. This is primarily due to the following factors‚
The delivery schedule for CSPS Pensions Administration transfer is driven by the contractual obligations of the incoming supplier to delivery transition within a 2 year window. This window ends on 8th December 2025. Furthermore the Termination Assistance Period with the incumbent supplier, MyCSP comes to an end on 31st December 2025.  

Due to  internal delays within Capita's internal programme which is developing the core generic functionality for the Pension Administration Solution, CSPS will be adopting an duel release approach. The 1st release of functionality on  01/12/25 will ensure that we can move from MyCSP with a fully functional service, which is prior to the end of the Termination Assistance Period. 

 The 2nd release, scheduled for March 26, will delivery the remaining functionality which will meet the full contractual requirements.   This effectively extends the transition by 3 months. However, Capital will begin running the CSPS service from 01/12/25 and will be required to adhere to all KPI and SLs outlined in Schedule 2.2 of the contract. 
",21.5,21.5,0.0,"The budget variance is less than or equal to 5%.
Programme remains within budget variance as the contracts being delivered are a fixed price (including transition).",239,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 239. This is primarily due to the following factors‚
Baseline Whole life cost for the programme Programme remains the same as the contracts being delivered are a fixed price (including transition).",11,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 11. This is primarily due to the following factors‚
Benefits Realisation Process is being designed and delivered as part of Transition. Benefits will be tracked once the Programme hands over to Service Commencement.  Baselined Benefits as per the FBC remain the same. 
",Yes - Not published on the Government Evaluation Registry,Muna Rowe,CO_0027_2021-Q4
Transforming Public Procurement,CO,Government Transformation and Service Delivery,"The Transforming Public Procurement Programme aims to improve the way public procurement is regulated in order to:
• Create a simpler and more flexible, commercial system that better meets our country’s needs while remaining compliant with our international obligations
• Open up public procurement to new entrants such as small businesses and social enterprises so that they can compete for and win more public contracts
• Embed transparency throughout the commercial lifecycle so that the spending of taxpayers’ money can be properly scrutinised.
",,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 increased from AMBER to GREEN. This is primarily due to the following factors‚
The programme achieved a successful go-live on the 24th February 2025 as planned, with the commencement of the Procurement Act and successful launch of the central digital platform. In the first month of operation, over 2000 procurement notices were  published and 13,000 suppliers registered. Overall take up of the learning and development products remains high, with nearly 19,000 learners having completed the e-learning and over 14,500 enrolled on the advanced ‘deep dive’ training. The National Procurement Policy Statement laid in Parliament prior to go-live constituted the final major workstream of the Policy and Legislation project and this has now subsequently entered closedown, along with the Learning and Development project. With the major components now delivered, the programme is focused on further development of the central digital platform. Evaluation planning is underway, with an interim evaluation planned to assess the first year of delivery, ahead of full evaluation after 5 years. We anticipate the programme to enter closure as planned at the end of 2025/26. ",01/01/2021,31/03/2026,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 increased from 31/03/2025 to 31/03/2026. This is primarily due to the following factors‚
The project end date was moved to 31/03/2026 in financial year 23/24, as a result of the later than anticipated royal assent of the Procurement Act in October 2023. There has been no further change to project end date during 24/25.",10.35,8.98,13.24,"The budget variance is -13%. This is primarily due to the following factors‚
There has been some underspend on the central digital platform project in 2024/25, largely relating to slight delays and therefore reduced costs relating to hosting, data reporting and analytics development work (moving the development work into 2025/26). This did not affect the successful launch of the platform and wider programme in February 2025. ",31.5,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 31.5. This is primarily due to the following factors‚
The project's baseline has stabilised at £31.5m and expected whole life costs are in line with this.",205,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 205. This is primarily due to the following factors‚
Benefits realisation will start later than previously planned due to delays in the commencement act, causing the figure to remain stable.  ",No,Sam Rowbury,CO_0120_2223-Q1
Falcon Programme,CO,Government Transformation and Service Delivery,"The Falcon programme is an important initiative to update the Cabinet Office's main IT systems. We are moving our staff from Google Workspace to Microsoft 365 (M365).

The initial approach was for the Cabinet Office to build its own new IT system for this change. However, after review, we found this was not the most cost-effective option. We have now approved a new plan. This involves moving our digital services to a shared government service called Integrated Corporate Services (ICS), which is managed by the Department for Energy Security and Net Zero (DESNZ).

While this new approach means the project will take a bit longer to complete, it will save money in the long run by using an existing government service.

Why is this change important?

The Cabinet Office is the central headquarters for the government. Currently, we use Google Workspace, which is different from the Microsoft systems used by most of our partners both inside and outside of government. This difference can make working together and sharing information difficult.

Moving to Microsoft 365 will help us work more effectively and efficiently. It's becoming more and more important for us to collaborate easily with people from other organisations, who might be in different places, using different devices, and working at different times. This change will also allow us to use new Artificial Intelligence (AI) tools that are being developed across government.

What will the Falcon programme deliver?

The programme has two main goals:

A new IT system for the Cabinet Office: This will include a new Microsoft 365 setup, built and managed by Integrated Corporate Services.

Moving our staff and their data: We will carefully move our employees and their information from Google Workspace to Microsoft 365. This will bring us in line with the rest of government and open up better ways to work together.
",,RED,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at RED. This is primarily due to the following factors‚
The Infrastructure Project Authority's Delivery Confidence Assessment rating for 24/25-Q4 remains at RED. This is primarily due to concerns that the Programme does not have the resources to transition the Cabinet Office Business Units (BUs) to the new services within the planned time frame. The delay in the Pilot, now projected for completion by September 2025, has contributed to this assessment. An IPA Gateway took place where the Review Team expressed concerns about the pace of BU migrations and the rising costs associated with the Programme. The issues are being addressed as part of an action plan with NISTA support.",01/05/2022,"Mid: 31/03/2026, High: 31/12/2026","Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2026. This is primarily due to the following factors‚
The programmes end date is now forecast to be complete by 31 December 2026. The initial approach was for the Cabinet Office to build its own new IT system for this change. However, after review, we found this was not the most cost-effective option. We have now approved a new plan with an extended delivery window. This involves moving our digital services to a shared government service called Integrated Corporate Services (ICS), which is managed by the Department for Energy Security and Net Zero (DESNZ). ",7.2,6.78,5.83,"The budget variance exceeds 5%. This is primarily due to the following factors‚
This is due to reduced spend against the baseline due to resourcing delays. ",23.7,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) decreased from 51 to 23. This is primarily due to the following factors‚
This is due to a revised business case submission which changed from building our own platform, to outsourcing to another government department and securing migration resource from Microsoft and partners at no investment cost. ",88.2,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) increased from 60 to 88. This is primarily due to the following factors‚
As part of the business case submission we revised the benefit profiling in line with CDDO economist recommendations.",No,Steve Holborow,CO_0176_2223-Q3
ROSA RENEWAL PROJECT,CO,ICT,"To avoid obsolescence, enhance resilience and usability and introduce new capabilities to the Rosa shared IT service for HMG working at SECRET.",,GREEN,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at GREEN. This is primarily due to the following factors; 
The Gate 5 review was successfully completed in April 2025. The project was assessed as GREEN.
Recommendations from the review are being assessed and will be considered in future BAU planning.",01/04/2022,31/03/2025,"Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2025. This is primarily due to the following factors‚
RRP successfully closed in line with the agreed baseline of March 2025",13.6,13.6,0.0,"The budget variance is less than or equal to 5%.
RRP successfully closed in March 2025 and did not exceed a budget variance of more than 5%",51,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 51. This is primarily due to the following factors‚
RRP was delivered within the agreed baseline budget.",205,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 205. This is primarily due to the following factors‚
 RRP met its objective to improve efficiency when working at SECRET by providing more interoperability, more applications, and making Rosa easier to work on. RRP increased the security and resilience of Rosa as a secure place for departments to store and work with their critical and sensitive information. The project scaled Rosa to meet all known demand.  It exceeded its financial targets, achieving a 381% ROI, delivering on time and within budget. The final Gate 5 closure review RAG rated RRP GREEN.",No,Michael Brennan,CO_0210_2223-Q4
AUTOMOTIVE TRANSFORMATION FUND (ATF),DBT,Infrastructure and Construction,"The Automotive Transformation Fund (ATF) aims to support the creation of an internationally competitive electric vehicle supply chain in the UK. It provides support to late-stage R&D and capital investments in strategically important technologies. This includes unlocking strategic investments in gigafactories, motors and drives, power electronics, and fuel cell systems.	",,AMBER,"Compared to financial year 23/24-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 24/25-Q4 remained at AMBER. This is primarily due to the following factors‚
ATF funding has already helped secure key investments, including Nissan’s  £2 billion investment to produce two new electric vehicle models in Sunderland building on the £1 billion electric vehicle hub announced by Nissan and their battery partner AESC in 2021,Ford’s investment of £380m in the production of electric power units at Halewood, Johnson Matthey’s investment of more than £60 million in Hertfordshire to develop hydrogen technologies.  

Alongside this, significant resourcing challenges impacted the programme’s ability to meet its objectives including a lack of capacity to onboard new ATF cases.​

The current programme ended-March 2025 but as part of the Advanced Manufacturing Plan, DBT will announced a £2bn of capital and R&D funding to 2030, building on the work of the Automotive Transformation Fund and the Advanced Propulsion Centre R&D programmes. ",31/07/2020,"Low: 31/03/2025, Mid: 31/03/2025, High: 31/03/2025","Compared to financial year 23/24-Q4, the project's end-date at 24/25-Q4 remained at 31/03/2025. This is primarily due to the following factors‚
The Automotive Transformation Fund is funded until March 2025. However, as part of the Advanced Manufacturing Plan, we have announced over £2bn of capital and R&D funding to 2030, boosting the UK’s competitiveness and unlocking strategic investments in our automotive industry.  This funding will be delivered via DRIVE35, an ambitious programme building on the work of the Automotive Transformation Fund and the Advanced Propulsion Centre R&D programmes, ensuring continuity in HMG support.",260,162.14,37.64,"The budget variance exceeds 5%. This is primarily due to the following factors‚
The Automotive Transformation Fund has surrendered some programme budget in the past year. The ATF team will assess the impact of this on benefits realisation. ",671,"Compared to financial year 23/24-Q4, the project's departmentally agreed Whole Life Cost at 24/25-Q4 (measured in £m) remained at 671. This is primarily due to the following factors‚
The baseline costs have been updated to reflect the funding awarded to the Automotive Transformation Fund until March 2025.",0,"Compared to financial year 23/24-Q4, the project's departmentally agreed Benefits at 24/25-Q4 (measured in £m) remained at 0. This is primarily due to the following factors‚
The ATF will deliver monetised benefits. These are direct employment in the automotive and electrical equipment (i.e. battery) sectors, indirect employment in their supply chains, and R&D spillover returns. The ATF analysts are in the process of reviewing/updating the ATF business case to produce an updated benefits section according to best practice principles. It will ensure alignment of the identified benefits with the GMPP’s format and will address reductions in the ATF budget which have occurred to date.  

Furthermore, there are significant wider benefits such as global CO2 emissions savings and a contribution to reducing regional inequalities in the UK, which will not be included in the monetised appraisal.",Yes - Published on the Government Evaluation Registry,Graham Zebedee,BEIS_0090_2122-Q4
